time,close,open,high,low,volume
1716793320,56.3,56.35,56.35,56.3,200
1716793680,56.25,56.25,56.25,56.25,50
1716794460,56.25,56.25,56.25,56.25,1000
1716794520,56.25,56.25,56.25,56.25,750
1716794640,56.3,56.3,56.3,56.3,2000
1716794820,56.35,56.35,56.35,56.35,2000
1716794880,56.4,56.4,56.4,56.4,1
1716794940,56.4,56.4,56.4,56.4,5
1716795000,56.4,56.4,56.4,56.4,500
1716795060,56.4,56.4,56.5,56.4,5044
1716795120,56.5,56.5,56.5,56.5,3501
1716795180,56.5,56.5,56.5,56.5,1500
1716795360,56.5,56.5,56.5,56.5,2
1716795540,56.5,56.5,56.5,56.5,300
1716795660,56.5,56.5,56.5,56.5,250
1716795840,56.5,56.5,56.5,56.5,11
1716795900,56.5,56.5,56.5,56.5,1090
1716796560,56.5,56.5,56.5,56.5,1
1716796740,56.4,56.4,56.4,56.4,1461
1716797160,56.35,56.35,56.35,56.35,3
1716797700,56.35,56.35,56.35,56.35,300
1716797760,56.0,56.0,56.0,56.0,1501
1716798300,56.35,56.35,56.35,56.35,1
1716798600,56.2,56.2,56.2,56.2,8
1716798780,55.0,56.2,56.2,55.0,181
1716798960,50.05,54.05,54.05,50.05,32
1716799020,50.0,50.0,50.0,50.0,104
1716799080,56.2,56.2,56.2,56.2,1
1716799140,56.2,56.2,56.2,56.2,1
1716799200,56.15,35.45,56.15,35.4,6
1716799440,56.2,55.8,56.2,55.8,50
1716799560,56.2,56.2,56.2,56.2,1
1716800160,55.0,55.0,55.0,55.0,1
1716800520,50.0,50.0,50.0,50.0,5
1716800880,55.0,55.0,55.0,55.0,2
1716801120,56.25,55.0,56.25,55.0,1000
1716801480,56.25,56.25,56.25,56.25,1
1716806400,55.9,55.9,55.9,55.9,1
1716806460,55.9,55.9,55.9,55.9,3
1716806640,50.15,50.15,50.15,50.15,1
1716806760,50.05,55.85,55.9,50.05,430
1716806940,50.95,50.95,50.95,50.95,1
1716807180,53.0,52.95,53.0,52.95,1000
1716807300,53.0,53.0,53.0,53.0,20
1716807780,52.0,52.05,52.05,52.0,100
1716808140,52.95,52.95,52.95,52.95,2
1716808740,52.95,52.95,52.95,52.95,1
1716808800,52.95,52.95,52.95,52.95,10
1716808980,52.95,52.95,52.95,52.95,2
1716809100,53.0,52.95,53.0,52.95,635
1716809640,53.0,53.0,53.0,53.0,2
1716813300,53.0,53.0,53.0,53.0,1
1716813720,54.9,54.9,54.9,54.9,1
1716816240,53.0,53.0,53.0,53.0,500
1716816600,53.0,53.0,53.0,53.0,499
1716816900,55.15,53.0,55.15,53.0,2000
1716818040,55.15,55.15,55.15,55.15,1
1716818220,55.0,55.0,55.0,55.0,1
1716818580,54.8,54.8,54.8,54.8,1
1716818760,53.2,53.2,53.2,53.2,50
1716818820,53.15,53.15,53.15,53.15,40
1716819240,53.2,53.25,53.25,53.2,335
1716819540,55.0,53.0,55.0,53.0,2288
1716820500,55.0,55.0,55.0,55.0,712
1716821160,55.0,55.0,55.0,55.0,1
1716821340,52.05,52.05,52.05,52.05,1
1716822480,55.0,54.9,55.0,54.9,588
1716823020,56.0,56.0,56.0,56.0,1
1716823200,55.1,55.1,55.1,55.1,40
1716823980,55.95,55.95,55.95,55.95,10
1716824280,55.95,55.95,55.95,55.95,10
1716879600,56.05,56.05,56.05,56.05,20
1716879660,55.0,56.05,56.05,55.0,164
1716881820,54.0,54.3,54.3,54.0,1265
1716882780,53.9,53.9,53.9,53.9,100
1716884160,53.85,53.85,53.85,53.85,1
1716884280,53.9,53.9,53.9,53.9,1
1716884340,53.9,53.9,53.9,53.9,57
1716884640,54.05,53.9,54.05,53.9,1111
1716884760,54.25,54.25,54.25,54.25,100
1716885480,54.25,54.25,54.25,54.25,11
1716885600,54.25,54.25,54.25,54.25,1
1716885660,54.25,54.25,54.25,54.25,1
1716885720,54.25,54.25,54.25,54.25,26
1716885900,54.25,54.25,54.25,54.25,212
1716886260,54.25,54.25,54.25,54.25,1
1716886320,54.05,54.15,54.15,54.05,55
1716886380,54.0,54.0,54.0,54.0,1
1716886620,54.0,54.0,54.0,54.0,2
1716887640,54.0,54.0,54.0,54.0,5
1716887940,54.0,54.0,54.0,54.0,305
1716888240,54.0,54.0,54.0,54.0,1
1716889320,54.0,54.0,54.0,54.0,1
