time,close,open,high,low,volume
1514966160,0.139,0.139,0.139,0.139,1
1514975400,0.1385,0.1385,0.1385,0.1385,1
1514984280,0.136,0.138,0.138,0.136,5
1514987940,0.138,0.1375,0.138,0.1375,2
1514989020,0.137,0.137,0.137,0.137,1
1515138840,0.1385,0.1385,0.1385,0.1385,1
1515482940,0.1375,0.138,0.138,0.1375,16
1515483780,0.1375,0.1375,0.1375,0.1375,15
1515570180,0.1375,0.1375,0.1375,0.1375,2
1515572040,0.137,0.137,0.137,0.137,1
1515577800,0.1385,0.1385,0.1385,0.1385,1
1515579480,0.137,0.137,0.137,0.137,1
1515654480,0.137,0.137,0.137,0.137,1
1516024980,0.1365,0.1365,0.1365,0.1365,1
1516096560,0.1375,0.1375,0.1375,0.1375,1
1516098780,0.137,0.137,0.137,0.137,1
1516108920,0.135,0.1365,0.1365,0.135,5
1516184220,0.1345,0.1345,0.1345,0.1345,1
1516187340,0.134,0.134,0.134,0.134,1
1516280340,0.134,0.134,0.134,0.134,1
1516285500,0.1325,0.1335,0.1335,0.1325,2
1516615500,0.12,0.13,0.13,0.12,53
1516616160,0.1305,0.1305,0.1305,0.1305,1
1516616580,0.1305,0.1305,0.1305,0.1305,1
1516623900,0.1325,0.1325,0.1325,0.1325,2
1516624980,0.1325,0.1325,0.1325,0.1325,2
1516632480,0.133,0.133,0.133,0.133,1
1516710660,0.13,0.13,0.13,0.13,10
1516789020,0.132,0.132,0.132,0.132,5
1516791900,0.135,0.132,0.135,0.132,5
1516792860,0.135,0.135,0.135,0.135,5
1516808040,0.1365,0.136,0.1365,0.136,3
1516884360,0.135,0.135,0.135,0.135,1
1516978980,0.1335,0.135,0.135,0.1335,4
1517219460,0.133,0.1335,0.1335,0.133,2
1517221140,0.1325,0.1325,0.1325,0.1325,1
1517222760,0.1285,0.1285,0.1285,0.1285,1
1517317560,0.134,0.1335,0.134,0.1335,2
1517326440,0.135,0.1345,0.135,0.1345,31
1517484900,0.135,0.135,0.135,0.135,50
1517554860,0.135,0.135,0.135,0.135,7
1517833560,0.135,0.135,0.135,0.135,5
1517906580,0.1395,0.1395,0.1395,0.1395,1
1517920980,0.131,0.131,0.131,0.131,1
1518161580,0.136,0.136,0.136,0.136,7
1518433500,0.137,0.137,0.137,0.137,1
1518433680,0.1375,0.1375,0.1375,0.1375,1
1518777000,0.14,0.14,0.14,0.14,7
1518777180,0.14,0.14,0.14,0.14,1
1518783420,0.1425,0.1425,0.1425,0.1425,1
1518783600,0.1425,0.1425,0.1425,0.1425,1
1518784920,0.1425,0.1425,0.1425,0.1425,1
1518784980,0.15,0.1445,0.15,0.1445,11
1518785040,0.15,0.15,0.15,0.15,1
1518788700,0.15,0.15,0.15,0.15,1
1518789180,0.15,0.15,0.15,0.15,3
1518789600,0.155,0.1525,0.155,0.1525,11
1518789660,0.155,0.155,0.155,0.155,1
1518790800,0.155,0.155,0.155,0.155,3
1518791040,0.155,0.155,0.155,0.155,1
1518795120,0.155,0.155,0.155,0.155,1
1518795540,0.155,0.155,0.155,0.155,9
1519026120,0.16,0.1565,0.16,0.1565,8
1519026660,0.16,0.1585,0.16,0.1585,13
1519026720,0.1615,0.1615,0.1615,0.1615,1
1519026840,0.165,0.1625,0.165,0.1625,4
1519026900,0.17,0.1655,0.17,0.1655,9
1519026960,0.17,0.17,0.17,0.17,1
1519027020,0.174,0.1695,0.175,0.1695,46
1519027080,0.175,0.1745,0.175,0.1745,4
1519027200,0.175,0.175,0.175,0.175,1
1519027260,0.1765,0.1755,0.1765,0.1755,2
1519027620,0.179,0.1765,0.179,0.1765,3
1519027920,0.175,0.175,0.175,0.175,1
1519028040,0.173,0.173,0.173,0.173,5
1519028580,0.175,0.175,0.175,0.172,169
1519028640,0.177,0.177,0.177,0.177,1
1519029300,0.1795,0.1755,0.1795,0.1755,10
1519029600,0.1795,0.1795,0.1795,0.1795,2
1519030920,0.1795,0.1795,0.1795,0.1795,1
