time,close,open,high,low,volume
1514963520,0.138,0.138,0.138,0.138,1
1514963700,0.1375,0.1375,0.1375,0.1375,1
1514963940,0.1365,0.137,0.137,0.1365,2
1514964240,0.1355,0.136,0.136,0.1355,3
1514964300,0.135,0.135,0.135,0.135,1
1514964420,0.1345,0.1345,0.1345,0.1345,1
1514964540,0.137,0.136,0.137,0.136,3
1514965140,0.135,0.135,0.135,0.135,1
1514967240,0.136,0.136,0.136,0.136,1
1514974080,0.1345,0.1345,0.1345,0.1345,1
1514974260,0.134,0.1345,0.1345,0.134,2
1514981520,0.1335,0.1335,0.1335,0.1335,2
1514984760,0.135,0.135,0.135,0.135,1
1514985180,0.133,0.1335,0.1335,0.133,9
1514985960,0.133,0.133,0.133,0.133,1
1514991720,0.1325,0.1325,0.1325,0.1325,2
1514993940,0.134,0.134,0.134,0.134,1
1515050520,0.1325,0.1325,0.1325,0.1325,1
1515050580,0.1315,0.132,0.132,0.1315,2
1515050640,0.131,0.131,0.131,0.131,1
1515051600,0.13,0.1305,0.1305,0.13,2
1515051660,0.13,0.13,0.13,0.13,1
1515051720,0.129,0.1295,0.1295,0.129,2
1515051960,0.1285,0.1285,0.1285,0.1285,1
1515052260,0.128,0.128,0.128,0.128,2
1515056640,0.1295,0.1295,0.1295,0.1295,1
1515057240,0.13,0.13,0.13,0.13,1
1515057480,0.1305,0.1305,0.1305,0.1305,1
1515074760,0.1315,0.1315,0.1315,0.1315,1
1515074820,0.132,0.132,0.132,0.132,1
1515074940,0.133,0.1325,0.133,0.1325,2
1515075060,0.1335,0.1335,0.1335,0.1335,1
1515075420,0.134,0.134,0.134,0.134,1
1515076440,0.1345,0.1345,0.1345,0.1345,1
1515076560,0.135,0.135,0.135,0.135,1
1515077100,0.135,0.135,0.135,0.135,1
1515077580,0.1355,0.1355,0.1355,0.1355,1
1515077640,0.136,0.136,0.136,0.136,1
1515077820,0.1365,0.1365,0.1365,0.1365,1
1515077940,0.137,0.137,0.137,0.137,1
1515078000,0.1375,0.1375,0.1375,0.1375,1
1515078120,0.138,0.138,0.138,0.138,1
1515078180,0.1385,0.1385,0.1385,0.1385,1
1515078600,0.139,0.139,0.139,0.139,1
1515080100,0.137,0.137,0.137,0.137,1
1515138840,0.1365,0.1365,0.1365,0.1365,1
1515154800,0.134,0.136,0.136,0.134,5
1515157380,0.1335,0.1335,0.1335,0.1335,1
1515486840,0.132,0.1335,0.1335,0.132,4
1515494640,0.132,0.132,0.132,0.132,1
1515567840,0.132,0.132,0.132,0.132,1
1515572100,0.1315,0.1315,0.1315,0.1315,1
1515577860,0.133,0.133,0.133,0.133,1
1515597000,0.132,0.132,0.132,0.132,1
1515659940,0.1315,0.1315,0.1315,0.1315,1
1515660420,0.131,0.131,0.131,0.131,2
1515661320,0.13,0.1305,0.1305,0.13,3
1515681780,0.131,0.131,0.131,0.131,1
1515682860,0.13,0.13,0.13,0.13,5
1515742980,0.1295,0.1295,0.1295,0.1295,1
1515745500,0.129,0.129,0.129,0.129,2
1515756720,0.128,0.1285,0.1285,0.128,2
1515756780,0.1275,0.1275,0.1275,0.1275,1
1515757920,0.1295,0.129,0.1295,0.129,2
1515999600,0.125,0.1265,0.1265,0.125,7
1516022100,0.13,0.13,0.13,0.13,2
1516090020,0.129,0.129,0.129,0.129,1
1516090500,0.131,0.1305,0.131,0.1305,2
1516090980,0.1295,0.1295,0.1295,0.1295,1
1516102800,0.131,0.131,0.131,0.131,1
1516181880,0.1295,0.1295,0.1295,0.1295,1
1516182060,0.129,0.129,0.129,0.129,3
1516182180,0.1285,0.1285,0.1285,0.1285,1
1516185060,0.1275,0.128,0.128,0.1275,2
1516185120,0.127,0.127,0.127,0.127,1
1516185900,0.127,0.127,0.127,0.127,2
1516186560,0.127,0.127,0.127,0.127,1
1516187340,0.127,0.127,0.127,0.127,1
1516189140,0.127,0.127,0.127,0.127,1
1516189200,0.1275,0.1275,0.1275,0.1275,1
1516189320,0.128,0.128,0.128,0.128,1
1516190160,0.1285,0.1285,0.1285,0.1285,1
1516202040,0.1295,0.1295,0.1295,0.1295,1
1516288200,0.13,0.13,0.13,0.13,1
1516288260,0.1305,0.1305,0.1305,0.1305,1
1516288560,0.131,0.131,0.131,0.131,1
1516348500,0.131,0.131,0.131,0.131,5
1516348560,0.1315,0.1315,0.1315,0.1315,1
1516348740,0.132,0.132,0.132,0.132,1
1516348920,0.1325,0.1325,0.1325,0.1325,1
1516348980,0.1335,0.133,0.1335,0.133,2
1516349040,0.134,0.134,0.134,0.134,1
1516349340,0.135,0.1345,0.135,0.1345,8
1516349640,0.1355,0.1355,0.1355,0.1355,1
1516606500,0.138,0.138,0.138,0.138,1
1516607460,0.1375,0.1375,0.1375,0.1375,1
1516615020,0.137,0.1365,0.137,0.1365,2
1516623120,0.137,0.137,0.137,0.137,1
1516634880,0.137,0.137,0.137,0.137,1
1516693440,0.127,0.127,0.127,0.127,1
1516693560,0.1375,0.1375,0.1375,0.1375,1
1516699860,0.1375,0.1375,0.1375,0.1375,1
1516699920,0.138,0.138,0.138,0.138,1
1516708380,0.1385,0.138,0.1385,0.138,3
1516708920,0.1385,0.138,0.1385,0.138,7
1516709040,0.1385,0.1385,0.1385,0.1385,1
1516710780,0.138,0.138,0.138,0.138,1
1516710840,0.138,0.138,0.138,0.138,1
1516711380,0.138,0.138,0.138,0.138,1
1516792740,0.1365,0.1365,0.1365,0.1365,2
1516792980,0.137,0.137,0.137,0.137,1
1516798080,0.137,0.137,0.137,0.137,56
1516798560,0.137,0.137,0.137,0.137,1
1516798620,0.137,0.137,0.137,0.137,1
1516798680,0.137,0.137,0.137,0.137,1
1516801380,0.137,0.1365,0.137,0.1365,2
1516802160,0.137,0.137,0.137,0.137,1
1516870200,0.137,0.137,0.137,0.137,1
1516870260,0.137,0.137,0.137,0.137,1
1516870440,0.137,0.137,0.137,0.137,1
1516873740,0.1365,0.1365,0.1365,0.1365,1
1516874760,0.137,0.137,0.137,0.137,2
1516881780,0.137,0.137,0.137,0.137,5
1516892880,0.1365,0.1365,0.1365,0.1365,1
1516950960,0.136,0.136,0.136,0.136,1
1516964280,0.136,0.136,0.136,0.136,1
1516970160,0.136,0.136,0.136,0.136,1
1516970580,0.1345,0.1355,0.1355,0.1345,3
1516979040,0.1355,0.1355,0.1355,0.1355,5
1517227620,0.1335,0.134,0.134,0.1335,2
1517310180,0.134,0.134,0.134,0.134,1
1517314140,0.1355,0.135,0.1355,0.135,2
1517317500,0.136,0.136,0.136,0.136,1
1517318880,0.1345,0.1345,0.1345,0.1345,1
1517326440,0.136,0.136,0.136,0.136,26
1517326620,0.1365,0.1365,0.1365,0.1365,1
1517389740,0.137,0.137,0.137,0.137,1
1517390220,0.1375,0.1375,0.1375,0.1375,2
1517390400,0.138,0.138,0.138,0.138,1
1517390460,0.139,0.1385,0.139,0.1385,2
1517394660,0.1375,0.1375,0.1375,0.1375,1
1517401200,0.1365,0.137,0.137,0.1365,2
1517403540,0.1355,0.136,0.136,0.1355,2
1517412600,0.135,0.135,0.135,0.135,1
1517478600,0.1365,0.1365,0.1365,0.1365,1
1517496960,0.1365,0.1365,0.1365,0.1365,1
1517814240,0.136,0.136,0.136,0.136,1
1517815260,0.1365,0.1365,0.1365,0.1365,1
1517815320,0.136,0.1345,0.136,0.134,4
1517831280,0.136,0.136,0.136,0.136,11
1517831520,0.1365,0.1365,0.1365,0.1365,22
1517831700,0.137,0.137,0.137,0.137,1
1517836440,0.1375,0.1375,0.1375,0.1375,1
1517836560,0.138,0.138,0.138,0.138,1
1517900700,0.138,0.138,0.138,0.138,1
1517900820,0.1365,0.1365,0.1365,0.1365,1
1517901060,0.136,0.136,0.136,0.136,1
1517906460,0.1365,0.1365,0.1365,0.1365,1
1517913240,0.134,0.134,0.134,0.134,1
1517913720,0.1365,0.1365,0.1365,0.1365,1
1518012360,0.128,0.128,0.128,0.128,1
1518013440,0.136,0.136,0.136,0.136,1
1518160800,0.1365,0.1365,0.1365,0.1365,2
1518160980,0.1365,0.1365,0.1365,0.1365,2
1518161100,0.1365,0.1365,0.1365,0.1365,4
1518161160,0.1365,0.1365,0.1365,0.1365,2
1518161220,0.159,0.159,0.159,0.159,1
1518161460,0.15,0.14,0.15,0.14,5
1518161520,0.14,0.14,0.14,0.14,2
1518161580,0.14,0.14,0.14,0.14,1
1518418800,0.175,0.175,0.175,0.175,1
1518418920,0.14,0.14,0.14,0.14,2
1518419160,0.141,0.138,0.141,0.138,4
1518419220,0.145,0.145,0.145,0.145,1
1518419280,0.1455,0.1455,0.1455,0.1455,1
1518419340,0.146,0.146,0.146,0.146,1
1518433500,0.1435,0.1435,0.1435,0.1435,1
1518435240,0.141,0.141,0.141,0.141,1
1518437460,0.146,0.1435,0.146,0.1435,2
1518437580,0.1465,0.1465,0.1465,0.1465,1
1518438000,0.147,0.147,0.147,0.147,1
1518439140,0.147,0.147,0.147,0.147,1
1518449580,0.1435,0.1435,0.1435,0.1435,1
1518505140,0.155,0.155,0.155,0.155,1
1518518040,0.141,0.141,0.141,0.141,1
1518518100,0.1435,0.1435,0.1435,0.1435,1
1518519720,0.146,0.146,0.146,0.146,1
1518524580,0.1435,0.1435,0.1435,0.1435,1
1518525720,0.141,0.141,0.141,0.141,1
1518532380,0.136,0.1385,0.1385,0.136,2
1518532440,0.136,0.134,0.1385,0.134,3
1518532500,0.134,0.135,0.135,0.134,2
1518621000,0.134,0.134,0.134,0.134,1
1518691980,0.1335,0.1335,0.1335,0.1335,1
1518705480,0.135,0.135,0.135,0.135,3
1518772620,0.131,0.131,0.131,0.131,1
1518774780,0.1335,0.1335,0.1335,0.1335,1
1518783600,0.136,0.136,0.136,0.136,1
1518784980,0.1385,0.1385,0.1385,0.1385,1
1518788460,0.1365,0.1365,0.1365,0.1365,1
1518788700,0.141,0.141,0.141,0.141,1
1518789660,0.14,0.14,0.14,0.14,1
1518790920,0.143,0.143,0.143,0.143,1
1518790980,0.1435,0.1435,0.1435,0.1435,1
1518794400,0.141,0.1445,0.1445,0.141,2
1519023540,0.145,0.145,0.145,0.145,1
1519024260,0.139,0.139,0.139,0.139,1
1519026900,0.1495,0.1435,0.1495,0.1435,12
1519026960,0.155,0.151,0.156,0.15,6
1519027020,0.1555,0.153,0.156,0.153,5
1519027080,0.161,0.156,0.161,0.156,12
1519027140,0.161,0.161,0.161,0.161,1
1519027380,0.162,0.162,0.162,0.162,1
1519027440,0.162,0.162,0.162,0.162,1
1519027560,0.1585,0.1585,0.1585,0.156,9
1519028220,0.156,0.156,0.156,0.156,1
1519028280,0.155,0.1535,0.157,0.1535,5
1519028640,0.158,0.158,0.158,0.158,1
1519028760,0.1535,0.1535,0.1535,0.1535,1
1519028880,0.156,0.156,0.156,0.156,1
1519029120,0.1535,0.1535,0.1535,0.1535,1
1519029240,0.1535,0.1515,0.1535,0.151,3
1519029300,0.157,0.151,0.157,0.1485,8
1519030680,0.16,0.156,0.16,0.156,10
1519031700,0.156,0.156,0.156,0.156,1
1519034640,0.1535,0.1535,0.1535,0.1535,1
1519034820,0.152,0.152,0.152,0.152,1
1519035120,0.15,0.151,0.151,0.15,2
1519035180,0.153,0.153,0.153,0.153,1
1519035420,0.1535,0.1535,0.1535,0.1535,1
1519036080,0.151,0.1515,0.1515,0.151,3
1519036260,0.1485,0.1485,0.1485,0.1485,1
1519037040,0.151,0.151,0.151,0.151,1
1519040040,0.1485,0.1485,0.1485,0.1485,1
1519040160,0.1485,0.1485,0.1485,0.1485,9
1519040340,0.1465,0.1465,0.1465,0.1465,1
