time,close,open,high,low,volume
1514964600,1224,1224,1224,1224,11
1514964900,1224,1224,1224,1224,1
1514966280,1224,1224,1224,1224,1
1514968860,1224,1224,1224,1224,1
1514971260,1224,1224,1224,1224,1
1514979600,1224,1224,1224,1224,2
1515049560,1300,1297,1300,1297,70
1515049680,1244,1244,1244,1244,2
1515049740,1297,1250,1297,1250,10
1515064080,1244,1244,1244,1244,1
1515065820,1244,1244,1244,1244,1
1515068340,1238,1238,1238,1238,1
1515069360,1238,1238,1238,1238,1
1515149580,1224,1224,1224,1224,38
1515160080,1241,1240,1241,1240,10
1515482700,1223,1223,1223,1223,3
1515488880,1233,1233,1233,1233,2
1515492600,1216,1229,1229,1216,10
1515500040,1225,1225,1225,1225,165
1515500100,1225,1225,1225,1225,165
1515577800,1217,1218,1218,1217,7
1515578160,1215,1215,1215,1215,1
1515578700,1215,1215,1215,1215,2
1515583320,1215,1215,1215,1215,170
1515583380,1215,1215,1215,1215,170
1515593820,1215,1215,1215,1215,1
1515597240,1221,1220,1221,1220,14
1515657480,1215,1215,1215,1215,3
1515659940,1214,1214,1214,1214,4
1515660480,1214,1214,1214,1214,1
1515660600,1210,1213,1213,1210,100
1515660720,1211,1211,1211,1211,1
1515660780,1211,1211,1211,1211,1
1515661440,1200,1210,1210,1200,78
1515661500,1200,1205,1205,1200,60
1515669840,1209,1208,1209,1208,3
1515675120,1202,1202,1202,1202,170
1515675300,1202,1202,1202,1202,170
1515681180,1200,1201,1201,1200,300
1515685020,1200,1200,1200,1200,200
1515685500,1210,1210,1210,1210,2
1515743100,1211,1210,1211,1210,9
1515745200,1211,1210,1211,1210,2
1515750660,1199,1200,1200,1199,5
1515752880,1210,1210,1210,1210,1
1515771900,1220,1220,1220,1220,2
1516000740,1202,1203,1203,1202,4
1516031100,1218,1218,1218,1218,1
1516091040,1219,1219,1219,1219,1
1516095240,1216,1216,1216,1216,2
1516110240,1216,1216,1216,1216,29
1516112880,1220,1220,1220,1220,7
1516175040,1225,1225,1225,1225,8
1516195500,1221,1221,1221,1221,25
1516198800,1224,1224,1224,1224,1
1516264200,1229,1229,1229,1229,1
1516266360,1222,1222,1222,1222,1
1516271700,1227,1227,1227,1227,1
1516278240,1221,1221,1221,1221,39
1516290300,1226,1226,1226,1226,1
