time,close,open,high,low,volume
1514964780,0.381,0.381,0.381,0.381,1
1514968380,0.375,0.375,0.375,0.375,1
1514989020,0.38,0.38,0.38,0.38,1
1514992800,0.38,0.38,0.38,0.38,2
1515079140,0.38,0.38,0.38,0.38,1
1515079260,0.384,0.384,0.384,0.384,2
1515512700,0.374,0.374,0.374,0.374,1
1515575280,0.373,0.373,0.373,0.373,1
1515755280,0.37,0.371,0.371,0.37,3
1515755340,0.37,0.37,0.37,0.37,1
1515755700,0.366,0.366,0.366,0.366,1
1515755820,0.355,0.36,0.36,0.355,2
1515756240,0.375,0.375,0.375,0.375,1
1515759840,0.374,0.374,0.374,0.374,3
1515759900,0.374,0.374,0.374,0.374,2
1515759960,0.374,0.374,0.374,0.374,1
1515771360,0.375,0.375,0.375,0.375,1
1515771480,0.376,0.376,0.376,0.376,1
1516000380,0.377,0.377,0.377,0.377,1
1516003140,0.377,0.377,0.377,0.377,1
1516017360,0.378,0.378,0.378,0.378,4
1516017420,0.378,0.378,0.378,0.378,8
1516017540,0.379,0.379,0.379,0.379,1
1516108500,0.37,0.37,0.37,0.37,3
1516113540,0.378,0.378,0.378,0.378,1
1516261680,0.383,0.383,0.383,0.383,1
1516269540,0.38,0.38,0.38,0.38,1
1516286040,0.38,0.38,0.38,0.38,1
1516289880,0.38,0.38,0.38,0.38,1
1516350780,0.379,0.379,0.379,0.379,1
1516356000,0.379,0.379,0.379,0.379,1
1516371420,0.381,0.381,0.381,0.381,1
1516372980,0.381,0.381,0.381,0.381,1
1516374420,0.382,0.382,0.382,0.382,1
1516374480,0.381,0.381,0.381,0.381,1
1516374540,0.378,0.38,0.38,0.378,2
1516632180,0.383,0.383,0.383,0.383,1
1516807500,0.384,0.384,0.384,0.384,1
1517581140,0.376,0.376,0.376,0.376,4
1517814660,0.377,0.377,0.377,0.377,1
1517820180,0.372,0.372,0.372,0.372,2
1518436260,0.37,0.37,0.37,0.37,2
1518513780,0.365,0.365,0.365,0.365,1
1518527460,0.362,0.363,0.363,0.362,7
1518599220,0.368,0.368,0.368,0.368,1
1519024140,0.37,0.37,0.37,0.37,1
1519041660,0.367,0.367,0.367,0.367,2
1519051200,0.365,0.365,0.365,0.365,1
1519052940,0.361,0.361,0.361,0.361,3
1519119540,0.361,0.361,0.361,0.361,7
1519196940,0.37,0.37,0.37,0.37,1
1519204560,0.37,0.37,0.37,0.37,1
1519205940,0.37,0.37,0.37,0.37,1
1519207080,0.37,0.37,0.37,0.37,1
1519207680,0.37,0.37,0.37,0.37,1
1519207860,0.37,0.37,0.37,0.37,1
1519212720,0.37,0.37,0.37,0.37,1
1519212780,0.37,0.37,0.37,0.37,1
1519224000,0.37,0.37,0.37,0.37,1
1519225740,0.37,0.37,0.37,0.37,3
1519294380,0.359,0.365,0.365,0.359,5
1519294500,0.365,0.364,0.365,0.364,2
1519295640,0.366,0.366,0.366,0.366,3
1519303740,0.374,0.37,0.374,0.37,2
1519307160,0.36,0.365,0.365,0.36,8
1519307460,0.36,0.36,0.36,0.36,55
1519313940,0.365,0.365,0.365,0.365,1
1519648500,0.37,0.37,0.37,0.37,1
1519648560,0.37,0.37,0.37,0.37,1
1519730700,0.366,0.366,0.366,0.366,1
1519733340,0.366,0.366,0.366,0.366,1
1519734240,0.366,0.366,0.366,0.366,1
1519736460,0.366,0.366,0.366,0.366,1
1519737120,0.366,0.366,0.366,0.366,1
1519737600,0.366,0.366,0.366,0.366,1
1519745340,0.365,0.365,0.365,0.365,1
1519745460,0.365,0.365,0.365,0.365,1
1519746480,0.368,0.368,0.368,0.368,4
1519832700,0.37,0.37,0.37,0.37,1
1519902120,0.365,0.365,0.365,0.365,1
1519911480,0.361,0.361,0.361,0.361,1
1519911900,0.36,0.36,0.36,0.36,1
1519912020,0.36,0.36,0.36,0.36,1
1519912200,0.358,0.358,0.358,0.358,1
1519914360,0.358,0.358,0.358,0.358,1
1519914540,0.357,0.358,0.358,0.357,2
1519914660,0.356,0.356,0.356,0.356,1
1520236020,0.363,0.363,0.363,0.363,1
1520238360,0.368,0.366,0.368,0.366,7
1520238480,0.345,0.348,0.348,0.345,7
1520250240,0.363,0.363,0.363,0.363,1
1520345280,0.365,0.363,0.365,0.363,2
1520345880,0.363,0.363,0.363,0.363,1
1520345940,0.363,0.363,0.363,0.363,1
1520436840,0.36,0.36,0.36,0.36,1
1520847060,0.36,0.36,0.36,0.36,1
1520946720,0.359,0.359,0.359,0.359,1
1521015480,0.36,0.36,0.36,0.36,1
1521121380,0.355,0.356,0.356,0.355,2
1521121500,0.353,0.353,0.353,0.353,7
1521184140,0.353,0.353,0.353,0.353,3
1521184200,0.353,0.353,0.353,0.353,2
1521213360,0.359,0.358,0.359,0.358,2
1521547560,0.354,0.354,0.354,0.354,1
1522320480,0.358,0.358,0.358,0.358,1
1522423200,0.347,0.347,0.347,0.347,1
1522914240,0.359,0.359,0.359,0.359,1
1523267220,0.346,0.346,0.346,0.346,1
1523267280,0.35,0.35,0.35,0.35,1
1523280960,0.346,0.346,0.346,0.346,1
1523281020,0.346,0.346,0.346,0.346,1
