time,close,open,high,low,volume
1514964120,0.375,0.375,0.375,0.375,5
1514964780,0.375,0.375,0.375,0.375,5
1514966340,0.375,0.375,0.375,0.375,5
1514985480,0.379,0.379,0.379,0.379,1
1514985540,0.38,0.38,0.38,0.38,3
1514990940,0.38,0.38,0.38,0.38,1
1515062280,0.381,0.381,0.381,0.381,1
1515063180,0.38,0.38,0.38,0.38,1
1515065640,0.38,0.38,0.38,0.38,2
1515068160,0.38,0.38,0.38,0.38,1
1515153060,0.387,0.381,0.387,0.381,25
1515157260,0.385,0.385,0.385,0.385,7
1515157740,0.386,0.386,0.386,0.386,1
1515158220,0.386,0.386,0.386,0.386,4
1515482520,0.382,0.382,0.382,0.382,1
1515482700,0.382,0.382,0.382,0.382,2
1515487140,0.382,0.382,0.382,0.382,1
1515487200,0.382,0.382,0.382,0.382,3
1515501540,0.384,0.384,0.384,0.384,1
1515511800,0.381,0.381,0.381,0.381,3
1515511980,0.384,0.384,0.384,0.384,1
1515577080,0.385,0.383,0.385,0.383,3
1515581940,0.383,0.383,0.383,0.383,1
1515654180,0.384,0.384,0.384,0.384,2
1515654900,0.383,0.383,0.383,0.383,7
1515655320,0.383,0.383,0.383,0.383,1
1515655620,0.383,0.383,0.383,0.383,5
1515660060,0.384,0.384,0.384,0.384,1
1515661260,0.384,0.384,0.384,0.384,5
1515661740,0.383,0.383,0.383,0.383,2
1515667740,0.384,0.384,0.384,0.384,1
1515680220,0.384,0.384,0.384,0.384,1
1515753420,0.384,0.384,0.384,0.384,1
1515759660,0.384,0.384,0.384,0.384,1
1515760020,0.384,0.384,0.384,0.384,2
1515760080,0.384,0.384,0.384,0.384,1
1515764460,0.383,0.383,0.383,0.383,2
1515764700,0.383,0.383,0.383,0.383,1
1516005600,0.381,0.381,0.381,0.381,1
1516006020,0.383,0.383,0.383,0.383,2
1516017480,0.383,0.383,0.383,0.383,1
1516017600,0.386,0.383,0.387,0.383,22
1516017660,0.387,0.386,0.387,0.386,21
1516020900,0.385,0.385,0.385,0.385,2
1516024200,0.384,0.384,0.384,0.384,1
1516091100,0.377,0.377,0.377,0.377,1
1516092600,0.384,0.384,0.384,0.384,1
1516100160,0.385,0.385,0.385,0.385,2
1516108980,0.381,0.381,0.381,0.381,2
1516109160,0.384,0.384,0.384,0.384,1
1516113540,0.383,0.383,0.383,0.383,1
1516261800,0.383,0.383,0.383,0.383,1
1516262040,0.383,0.383,0.383,0.383,1
1516263420,0.383,0.383,0.383,0.383,1
1516263480,0.385,0.384,0.385,0.384,2
1516269480,0.385,0.385,0.385,0.385,1
1516273140,0.382,0.382,0.382,0.382,7
1516276440,0.384,0.384,0.384,0.384,1
1516276620,0.382,0.382,0.382,0.382,1
1516276980,0.384,0.383,0.384,0.383,2
1516284960,0.382,0.382,0.382,0.382,1
1516285260,0.384,0.384,0.384,0.384,1
1516286040,0.384,0.384,0.384,0.384,1
1516286520,0.383,0.383,0.383,0.383,1
1516289820,0.385,0.384,0.385,0.384,5
1516355040,0.385,0.385,0.385,0.385,4
1516359780,0.384,0.384,0.384,0.384,1
1516360980,0.384,0.384,0.384,0.384,1
1516361040,0.385,0.385,0.385,0.385,3
1516366860,0.382,0.382,0.382,0.382,1
1516367280,0.383,0.383,0.383,0.383,4
1516373880,0.384,0.384,0.384,0.384,1
1516374240,0.385,0.385,0.385,0.385,5
1516375980,0.388,0.386,0.388,0.386,11
1516376340,0.384,0.384,0.384,0.384,1
1516608720,0.387,0.386,0.387,0.386,4
1516608900,0.381,0.383,0.383,0.381,12
1516609020,0.38,0.38,0.38,0.38,1
1516609200,0.38,0.38,0.38,0.38,3
1516609260,0.38,0.38,0.38,0.38,2
1516609320,0.38,0.38,0.38,0.38,1
1516610160,0.384,0.38,0.384,0.38,3
1516613820,0.389,0.384,0.389,0.384,13
1516614060,0.391,0.388,0.391,0.388,56
1516614120,0.39,0.39,0.39,0.39,2
1516619460,0.391,0.39,0.391,0.39,10
1516620360,0.391,0.391,0.391,0.391,5
1516630560,0.386,0.386,0.386,0.386,3
1516632120,0.389,0.389,0.389,0.389,1
1516633860,0.381,0.386,0.386,0.381,15
1516635360,0.387,0.387,0.387,0.387,1
1516695720,0.387,0.387,0.387,0.387,1
1516698120,0.38,0.382,0.382,0.38,20
1516699080,0.387,0.387,0.387,0.387,2
1516700340,0.38,0.381,0.381,0.38,4
1516700400,0.387,0.381,0.387,0.38,9
1516718100,0.386,0.386,0.386,0.386,1
1516786740,0.382,0.382,0.382,0.382,1
1516798080,0.385,0.385,0.385,0.385,1
1516807980,0.386,0.386,0.386,0.386,1
1516893300,0.386,0.386,0.386,0.386,1
1516971000,0.381,0.381,0.381,0.381,1
1516972500,0.385,0.385,0.385,0.385,1
1516972560,0.381,0.381,0.381,0.381,1
1516976040,0.379,0.379,0.379,0.379,1
1516977180,0.374,0.374,0.374,0.374,11
1516977300,0.386,0.385,0.386,0.385,5
1516977360,0.381,0.381,0.381,0.381,2
1516977480,0.381,0.381,0.381,0.381,1
1516980000,0.374,0.374,0.374,0.374,8
1516981140,0.383,0.383,0.383,0.383,1
1517409840,0.387,0.385,0.387,0.385,13
1517470320,0.387,0.387,0.387,0.387,3
1517476800,0.387,0.387,0.387,0.387,15
1517477340,0.387,0.387,0.387,0.387,2
1517479440,0.387,0.387,0.387,0.387,2
1517485440,0.38,0.381,0.381,0.38,4
1517485620,0.378,0.378,0.378,0.378,1
1517486100,0.384,0.384,0.384,0.384,1
1517491080,0.383,0.384,0.384,0.383,2
1517493360,0.378,0.378,0.378,0.378,2
1517566920,0.384,0.383,0.384,0.383,2
1517566980,0.384,0.384,0.384,0.384,3
1517569500,0.381,0.381,0.381,0.381,1
1517569560,0.378,0.381,0.381,0.378,5
1517569620,0.378,0.378,0.378,0.378,1
1517569860,0.378,0.378,0.378,0.378,1
1517573100,0.383,0.383,0.383,0.383,2
1517574480,0.377,0.378,0.378,0.377,3
1517580840,0.377,0.377,0.377,0.377,1
1517581080,0.376,0.376,0.376,0.376,1
1517581800,0.375,0.376,0.376,0.375,5
1517581860,0.374,0.374,0.374,0.374,1
1517820240,0.375,0.375,0.375,0.375,2
1517820420,0.375,0.375,0.375,0.375,1
1517822880,0.374,0.374,0.374,0.374,1
1517830020,0.374,0.374,0.374,0.374,1
1517831340,0.373,0.373,0.373,0.373,1
1517833320,0.373,0.373,0.373,0.373,3
1517840760,0.377,0.377,0.377,0.377,1
1517840940,0.373,0.374,0.374,0.373,2
1517841180,0.377,0.377,0.377,0.377,1
1517903040,0.373,0.373,0.373,0.373,7
1517903280,0.373,0.373,0.373,0.373,8
1517903340,0.372,0.372,0.372,0.372,2
1517904960,0.371,0.371,0.371,0.371,3
1517905020,0.371,0.371,0.371,0.371,1
1517905140,0.37,0.37,0.37,0.37,2
1517905200,0.372,0.371,0.372,0.371,2
1517906040,0.348,0.37,0.37,0.348,23
1517906820,0.365,0.365,0.365,0.365,1
1517909640,0.367,0.367,0.367,0.367,1
1517910300,0.368,0.368,0.368,0.368,1
1517910720,0.367,0.367,0.367,0.367,1
1517912940,0.368,0.368,0.368,0.368,1
1517915520,0.371,0.371,0.371,0.371,1
1517915580,0.372,0.372,0.372,0.372,1
1517915760,0.372,0.372,0.372,0.372,1
1517916600,0.364,0.366,0.366,0.364,18
1517917020,0.37,0.37,0.37,0.37,1
1517918100,0.371,0.371,0.371,0.371,3
1517923140,0.367,0.367,0.367,0.367,1
1517923200,0.368,0.367,0.368,0.367,2
1517923920,0.369,0.369,0.369,0.369,4
1517924040,0.371,0.371,0.371,0.371,3
1517927520,0.368,0.369,0.369,0.368,2
1517930700,0.368,0.368,0.368,0.368,1
1518004680,0.372,0.372,0.372,0.372,1
1518014880,0.37,0.37,0.37,0.37,2
1518015840,0.369,0.369,0.369,0.369,1
1518091800,0.37,0.37,0.37,0.37,1
1518102240,0.368,0.368,0.368,0.368,1
1518103380,0.367,0.367,0.367,0.367,1
1518103980,0.368,0.368,0.368,0.368,1
1518160800,0.367,0.367,0.367,0.367,3
1518166260,0.37,0.37,0.37,0.37,1
1518181380,0.368,0.368,0.368,0.368,9
1518187200,0.365,0.365,0.365,0.365,1
1518191340,0.365,0.365,0.365,0.365,4
1518421140,0.377,0.376,0.377,0.376,6
1518421740,0.361,0.362,0.362,0.361,3
1518424020,0.376,0.376,0.376,0.376,1
1518435840,0.37,0.37,0.37,0.37,1
1518527580,0.362,0.367,0.367,0.361,35
1518527640,0.362,0.362,0.362,0.362,3
1518527700,0.362,0.368,0.368,0.362,2
1518527760,0.36,0.361,0.361,0.36,6
1518527820,0.365,0.365,0.365,0.365,1
1518527940,0.365,0.365,0.365,0.365,1
1518533700,0.353,0.362,0.362,0.353,43
1518594480,0.364,0.364,0.364,0.364,1
1518595140,0.364,0.364,0.364,0.364,1
1518598740,0.365,0.365,0.365,0.365,2
1518599160,0.367,0.367,0.367,0.367,2
1518605640,0.364,0.365,0.365,0.364,2
1518617880,0.366,0.365,0.366,0.365,5
1518706680,0.363,0.363,0.363,0.363,6
1518708480,0.365,0.365,0.365,0.365,1
1518708660,0.365,0.365,0.365,0.365,1
1518709140,0.363,0.363,0.363,0.363,5
1518771060,0.361,0.361,0.361,0.361,1
1518771300,0.365,0.365,0.365,0.365,4
1518771360,0.365,0.365,0.365,0.365,1
1518781860,0.369,0.369,0.369,0.369,2
1518790080,0.369,0.369,0.369,0.369,1
1519024440,0.37,0.37,0.37,0.37,1
1519025340,0.37,0.37,0.37,0.37,1
1519034160,0.374,0.372,0.374,0.372,5
1519036080,0.374,0.374,0.374,0.374,2
1519036500,0.375,0.375,0.375,0.375,4
1519040160,0.375,0.375,0.375,0.375,2
1519042920,0.374,0.374,0.374,0.374,1
1519043100,0.374,0.374,0.374,0.374,8
1519055100,0.374,0.374,0.374,0.374,3
1519115040,0.377,0.376,0.377,0.376,7
1519115400,0.377,0.377,0.377,0.377,6
1519116720,0.377,0.377,0.377,0.377,1
1519117080,0.377,0.377,0.377,0.377,2
1519126320,0.377,0.377,0.377,0.377,1
1519133520,0.377,0.377,0.377,0.377,23
1519133640,0.377,0.377,0.377,0.377,5
1519135800,0.378,0.378,0.378,0.378,1
1519140600,0.378,0.378,0.378,0.378,2
1519201560,0.378,0.378,0.378,0.378,3
1519205520,0.378,0.378,0.378,0.378,10
1519209720,0.378,0.378,0.378,0.378,1
1519225800,0.378,0.378,0.378,0.378,4
1519228080,0.378,0.378,0.378,0.378,1
1519306140,0.379,0.379,0.379,0.379,1
1519307460,0.379,0.379,0.379,0.379,10
1519635960,0.371,0.372,0.372,0.371,3
1519641300,0.372,0.372,0.372,0.372,1
1519649400,0.379,0.379,0.379,0.379,1
1519649460,0.38,0.38,0.38,0.38,1
1519657560,0.38,0.38,0.38,0.38,1
1519718400,0.383,0.383,0.383,0.383,1
