time,close,open,high,low,volume
1514987400,770,770,770,770,1
1515049620,785,775,785,775,3
1515060120,795,780,795,780,4
1515061200,785,785,785,785,1
1515074880,785,785,785,785,1
1515137280,785,785,785,785,1
1515151200,800,790,800,790,10
1515153480,810,800,810,800,6
1515155520,805,805,805,805,1
1515158280,800,800,800,800,1
1515158340,800,800,800,800,1
1515158400,795,795,795,795,1
1515158700,805,805,805,805,1
1515161820,795,795,795,795,2
1515487440,800,800,800,800,1
1515488160,790,790,790,790,2
1515490080,785,785,785,785,1
1515493380,800,790,800,790,4
1515493560,800,800,800,800,1
1515493620,810,795,810,795,4
1515494040,815,815,815,815,2
1515494880,815,815,815,815,4
1515495180,810,810,810,810,3
1515495240,800,805,805,800,2
1515495540,795,795,795,795,1
1515496020,810,805,810,805,7
1515497160,805,810,810,805,5
1515497760,805,810,810,805,2
1515572760,820,820,820,820,1
1515573480,810,810,810,810,2
1515577140,820,810,820,810,10
1515578580,820,815,820,815,5
1515585600,810,810,810,810,1
1515595020,820,815,820,815,2
1515657240,825,825,825,825,2
1515660960,810,810,810,770,80
1515668580,810,810,810,810,1
1515670200,810,810,810,810,1
1515679200,810,810,810,810,1
1515682500,815,815,815,815,2
1515684540,815,815,815,815,7
1515745560,805,805,805,805,1
1515756720,810,810,810,810,10
1515756780,820,815,820,815,70
1515757140,815,815,815,815,20
1515762240,815,815,815,815,1
1515765600,815,815,815,815,1
1515770400,810,810,810,810,21
1515771480,815,815,815,815,3
1516001220,825,820,825,820,3
1516088220,815,815,815,815,1
1516095900,815,815,815,815,1
1516097340,805,810,810,805,2
1516100220,800,805,805,800,3
1516100400,800,800,800,800,3
1516103040,805,805,805,805,1
1516110180,805,805,805,805,1
1516173840,825,810,825,810,5
1516182300,800,810,810,800,5
1516186260,805,805,805,805,1
1516193100,780,795,795,780,5
1516193340,790,790,790,790,1
1516268280,795,795,795,795,1
1516283160,800,800,800,800,1
1516290300,795,795,795,795,12
1516376160,825,805,825,805,9
1516607340,820,820,820,820,8
1516609920,825,820,825,820,10
1516710480,800,800,800,800,2
1516719720,800,800,800,800,20
1516784820,820,820,820,820,51
1516785120,800,800,800,800,2
1516785660,800,800,800,800,1
1516793880,825,825,825,825,36
1516794180,805,805,805,805,38
1516794240,805,805,805,805,32
1516796760,820,820,820,820,1
1516798380,800,800,800,800,3
1516800840,800,800,800,800,1
1516808700,800,800,800,800,24
1516864020,795,795,795,795,1
1516868520,800,800,800,800,25
1516869840,800,800,800,800,87
1516870320,820,790,820,790,3
1516870440,825,825,825,825,1
1516870620,815,815,815,815,1
1516885260,810,810,810,810,1
1516891080,805,810,810,805,2
1516893120,800,800,800,800,1
1516894620,800,800,800,800,1
1516959180,795,795,795,795,1
1517297820,795,795,795,795,1
1517301660,800,800,800,800,15
1517316960,805,805,805,805,2
1517318640,805,805,805,805,1
1517389320,795,800,800,795,2
1517555340,790,790,790,790,1
1517562300,790,790,790,790,3
1517822400,800,800,800,800,1
1517834580,800,800,800,800,50
1517834640,815,805,815,805,3
1517834700,820,820,820,820,4
1517834760,840,820,840,820,74
1517834820,840,840,840,840,12
1517834880,840,840,840,840,4
1517835300,860,840,865,840,11
1517835360,890,870,890,870,8
1517835420,880,880,880,880,1
1517835480,900,880,900,880,31
1517835540,900,900,900,900,19
1517835720,885,885,885,885,1
1517835780,880,880,880,880,1
1517835960,885,885,885,885,5
1517836020,900,890,900,885,13
1517836080,885,885,885,885,1
1517836140,850,880,880,850,9
1517836740,840,845,845,840,2
1517836800,835,840,840,835,2
1517837220,845,845,845,845,2
1517837340,845,845,845,845,2
1517839260,830,840,840,830,5
1517840280,840,840,840,840,1
1517840760,830,830,830,830,2
1517841900,820,825,825,820,2
1517842740,820,820,820,820,20
1517843880,815,820,820,815,37
1517844480,825,825,825,825,1
1517844900,830,830,830,830,1
1517905320,805,820,820,805,61
1517908980,800,805,805,800,39
1517909400,800,800,800,800,4
1517911680,795,795,795,795,7
1517912040,795,795,795,795,56
1517914800,810,810,810,810,3
1517915940,800,800,800,800,1
1517919840,795,795,795,795,1
1517923020,795,795,795,795,4
1517989260,820,810,850,810,11
1517989500,840,840,840,840,1
1517991660,830,830,830,830,1
1517995380,820,820,820,820,1
1517995440,820,820,820,820,1
1518017100,800,810,810,800,14
1518075360,790,800,800,790,35
1518090900,800,800,800,800,1
1518091140,810,810,810,810,1
1518091260,810,810,810,810,15
1518104700,800,800,800,800,1
1518162120,820,800,820,800,40
1518164760,800,775,800,775,2
1518174900,795,795,795,795,5
1518183360,790,790,790,790,3
1518187680,795,795,795,795,5
1518430260,765,765,765,765,1
1518432900,790,790,790,790,1
1518446160,790,790,790,790,1
1518448140,785,785,785,785,1
1518621960,795,795,795,795,150
1518686520,795,795,795,795,250
1518686760,795,795,795,795,4
1518703440,795,795,795,795,1
1518704400,795,795,795,795,14
1518709020,810,800,810,800,26
1518768060,790,800,800,790,2
1518768180,780,780,780,780,1
