time,close,open,high,low,volume
1514963280,8000,8000,8000,8000,5
1514969280,8070,8070,8070,8070,2
1514969340,8090,8090,8090,8090,1
1514971920,8270,8270,8270,8270,3
1514974320,8270,8270,8270,8270,2
1515053520,8240,8230,8240,8230,3
1515053580,8250,8250,8250,8250,4
1515054540,8270,8250,8270,8250,10
1515584400,8270,8270,8270,8270,1
1515588300,8270,8270,8270,8270,1
1515685500,8270,8270,8270,8270,17
1515747180,8300,8260,8300,8260,36
1515755700,8350,8300,8350,8300,23
1515763800,8480,8480,8480,8480,1
1515768240,8400,8400,8400,8400,1
1515768840,8480,8480,8480,8480,1
1515771180,8480,8470,8480,8470,9
1516003920,8480,8480,8480,8480,1
1516007040,8370,8370,8370,8370,1
1516014060,8480,8480,8480,8480,1
1516086120,8500,8440,8500,8440,14
1516098300,8530,8500,8530,8500,2
1516100460,8550,8530,8550,8530,6
1516112820,8420,8420,8420,8420,1
1516112880,8940,8540,8940,8540,23
1516112940,8810,8810,8810,8810,1
1516113000,8550,8550,8550,8550,1
1516116480,8360,8360,8360,8360,1
1516116840,8350,8360,8360,8350,2
1516117500,8210,8210,8210,8210,1
1516117560,8210,8210,8210,8210,12
1516191600,8220,8220,8220,8220,11
1516191660,8220,8220,8220,8220,14
1516202280,8490,8490,8490,8490,26
1516202640,8370,8370,8370,8370,1
1516346580,8200,8200,8200,8200,2
1516347360,8200,8200,8200,8200,5
1516347780,8200,8200,8200,8200,1
1516347840,8200,8200,8200,8200,2
1516351020,8400,8340,8400,8340,6
1516351980,8230,8230,8230,8230,1
1516373040,8500,8380,8500,8380,18
1516627860,8270,8270,8270,8270,1
1516630080,8190,8190,8190,8190,1
1516692600,8500,8390,8500,8390,16
1516803360,8030,8270,8270,8030,10
1516803420,8440,8440,8440,8440,1
1516804440,8540,8540,8540,8540,6
1516805520,8420,8420,8420,8420,1
1516806000,8340,8340,8340,8340,1
1516807140,8500,8500,8500,8500,4
1516808700,8580,8580,8580,8580,6
1516950360,8200,8500,8500,8200,10
1516953420,8480,8480,8480,8480,4
1516958460,8470,8470,8470,8470,1
1516961640,8700,8640,8700,8640,3
1516968660,8590,8590,8590,8590,10
1516968780,8500,8500,8500,8500,3
1516972020,8430,8430,8430,8430,1
1517320860,8250,8250,8250,8250,1
1517322900,8380,8380,8380,8380,1
1517409900,8580,8580,8580,8580,6
1517556060,8600,8600,8600,8600,9
1517575320,8590,8590,8590,8590,1
1517575500,8600,8600,8600,8600,8
1517581020,8700,8690,8700,8690,3
1517818320,8500,8500,8500,8500,1
1517823720,8700,8700,8700,8700,1
1517840640,8700,8700,8700,8700,1
1517900820,8500,8500,8500,8500,1
1517904660,8400,8400,8400,8400,2
1517907660,8540,8540,8540,8540,1
1517925900,8330,8330,8330,8330,1
1517987160,8440,8440,8440,8440,1
1518016800,8600,8600,8600,8600,1
1518095160,8360,8360,8360,8360,1
1518101100,8480,8480,8480,8480,1
1518161280,8270,8280,8280,8270,2
1518161940,8180,8190,8190,8180,2
1518165240,8200,8200,8200,8200,1
1518172620,8070,8070,8070,8070,1
1518176640,8000,8100,8100,8000,15
1518176940,7910,8000,8000,7910,18
1518422280,7440,7440,7440,7440,1
1518449280,7810,7810,7810,7810,1
1518450300,7940,7940,7940,7940,1
1518530100,8000,8000,8000,8000,1
1518534780,8170,8170,8170,8170,1
1518535500,8200,8170,8200,8170,13
1518535560,8200,8200,8200,8200,2
1518536880,8200,8200,8200,8200,4
1518684000,8290,8290,8290,8290,1
1518688800,8290,8290,8290,8290,1
1518706860,7970,7970,7970,7970,1
1518767340,8080,8080,8080,8080,1
1518781200,7900,7910,7910,7900,3
1519037940,8000,7610,8000,7560,6
1519038000,7800,7800,7800,7800,1
1519038420,7730,7730,7730,7730,3
1519050840,8000,8010,8040,8000,4
1519122720,8400,8400,8400,8400,1
1519199340,7960,7960,7960,7960,1
1519222500,8080,8080,8080,8080,1
1519297380,8250,8250,8250,8250,6
1519297680,8200,8200,8200,8200,1
1519305660,8000,7900,8000,7900,2
1519314300,8250,8250,8250,8250,1
1519633140,7890,7890,7890,7890,1
1519639320,8400,8400,8400,8400,1
1519639560,8200,8200,8200,8200,1
1519643640,8440,8400,8440,8400,15
1519655700,8230,8230,8230,8230,1
1519715280,8250,8250,8250,8250,5
1519723200,8200,7830,8200,7830,3
1520003760,8010,8010,8010,8010,1
1520429580,7870,7870,7870,7870,1
1520434740,8000,7980,8000,7980,6
1520860800,8000,8000,8000,8000,15
1520868360,8100,8100,8100,8100,2
1520868420,8200,8140,8200,8140,9
1520868480,8200,8200,8200,8200,1
1521021600,8200,8200,8200,8200,4
1521098580,8200,8200,8200,8200,16
1521112200,8200,8180,8200,8180,11
1521127320,8190,8190,8190,8190,10
1521185220,8010,8010,8010,8010,1
1521198420,8100,8100,8100,8100,1
1521209940,8100,8100,8100,8100,1
1521445260,8200,8140,8200,8140,2
1521446160,8200,8200,8200,8200,9
1521459840,7270,8030,8030,7270,16
1521460680,8000,8000,8000,8000,1
1521460800,8000,8000,8000,8000,1
1521472560,8000,8000,8000,8000,1
1521536340,8180,8180,8180,8180,1
1521537120,8380,8380,8380,8380,1
1521538140,8200,8200,8200,8200,1
1521620460,8100,8110,8110,8100,16
1521704340,7970,7970,7970,7970,1
1521712080,8080,8080,8080,8080,1
1521730740,8420,8230,8420,8230,10
1521730800,8420,8400,8420,8400,2
1521804240,8200,8200,8200,8200,1
1521809580,8200,8200,8200,8200,1
1521809700,8030,8030,8030,8030,1
1522065660,8140,8140,8140,8140,1
1522067340,8350,8350,8350,8350,2
1522067400,8400,8400,8400,8400,1
1522141500,8350,8350,8350,8350,3
1522141620,8350,8350,8350,8350,4
1522141680,8350,8350,8350,8350,4
1522148160,8000,8100,8100,8000,11
1522149120,8000,8000,8000,8000,2
1522149480,8000,8000,8000,8000,52
1522155960,8000,8000,8000,8000,6
1522163880,7800,7800,7800,7800,1
1522164240,7890,7890,7890,7890,1
1522164600,8000,8000,8000,8000,1
1522220700,7950,7950,7950,7950,2
1522241520,8050,8050,8050,8050,1
1522247640,7800,7700,7800,7700,2
1522247700,7730,7730,7730,7730,15
1522247820,7790,7790,7790,7790,1
1522250340,7790,7800,7800,7790,3
1522310160,7890,7890,7890,7890,1
1522325760,7450,7860,7860,7450,16
1522327260,7980,7980,7980,7980,1
1522329660,7800,7800,7800,7800,1
1522332180,7800,7810,7810,7800,2
1522395720,7940,7940,7940,7940,1
1522402560,7750,7750,7750,7750,1
1522406700,7750,7750,7750,7750,2
1522407300,7840,7840,7840,7840,1
1522420980,8000,8040,8040,8000,4
1522421100,8040,8040,8040,8040,1
1522421160,8040,8040,8040,8040,1
1522656600,8030,8030,8030,8030,5
1522671900,7800,7800,7800,7800,6
1522675680,7600,7770,7770,7500,70
1522680900,7640,7640,7640,7640,1
1522681560,7800,7890,8040,7800,36
1522681860,8000,8000,8000,8000,15
1522683000,8000,8000,8000,8000,1
1522739820,7970,7970,7970,7970,1
1522763760,7980,7980,7980,7980,2
1522768380,7980,7980,7980,7980,1
1522852380,7990,7990,7990,7990,1
1522854840,7990,7990,7990,7990,22
1522854900,7990,7990,7990,7990,1
1522855020,7990,7990,7990,7990,1
1523007900,7970,7970,7970,7970,7
1523008560,7990,7970,7990,7970,29
1523259600,7900,7900,7900,7900,1
1523259660,7710,7750,7750,7710,4
1523262960,7710,7710,7710,7710,3
1523270220,7630,7630,7630,7630,2
1523270940,7740,7740,7740,7740,1
1523345940,7560,7610,7610,7560,3
1523346960,7690,7690,7690,7690,1
1523431560,7610,7610,7610,7610,1
1523433360,7690,7690,7690,7690,1
1523433960,7610,7610,7610,7610,4
1523437980,7770,7770,7770,7770,1
1523444700,7600,7500,7600,7400,14
1523452080,7970,7970,7970,7970,1
1523452140,7800,7800,7800,7800,1
1523536440,7550,7600,7600,7550,2
1523537760,7680,7680,7680,7680,1
1523616060,7620,7620,7620,7620,1
1523620260,7740,7740,7740,7740,1
1523871060,8000,8040,8040,8000,2
1523871120,8150,8150,8150,8150,1
1523881800,8000,8000,8000,8000,10
1524036120,7870,7870,7870,7870,1
1524223260,7970,7970,7970,7970,1
1524235020,7950,7950,7950,7950,2
1524468240,7710,7710,7710,7710,1
1524468300,7800,7800,7800,7800,1
1524471720,7800,7800,7800,7800,2
1524479700,7800,7800,7800,7800,4
1524481140,7800,7800,7800,7800,5
1524481320,7800,7800,7800,7800,2
1524483360,7800,7800,7800,7800,1
1524495900,7840,7840,7840,7840,1
1524567900,7840,7840,7840,7840,1
1524814020,7850,7850,7850,7850,1
1524817860,7820,7820,7820,7820,1
1524838560,7830,7830,7830,7830,1
1524844080,7840,7840,7840,7840,1
1524905700,7700,7700,7700,7700,1
1524907680,7700,7700,7700,7700,1
1524913320,7670,7670,7670,7670,2
1524913920,7700,7700,7700,7700,1
1524919320,7640,7640,7640,7640,1
1524926760,7780,7780,7780,7780,1
