time,close,open,high,low,volume
1514964060,9.29,9.02,9.29,9.02,21
1514965500,9.19,9.19,9.19,9.19,1
1514965620,9.19,9.19,9.19,9.19,6
1514969340,8.93,8.93,8.93,8.93,1
1514975700,8.94,8.93,8.94,8.93,13
1514984340,9.04,9.04,9.04,9.04,1
1514988480,9.04,9.04,9.04,9.04,1
1515049440,9.51,9.6,9.65,9.51,19
1515049920,9.5,9.51,9.51,9.5,120
1515049980,9.5,9.5,9.5,9.5,1
1515050040,9.5,9.5,9.5,9.5,10
1515050100,9.5,9.5,9.5,9.5,2
1515050520,9.5,9.5,9.5,9.5,5
1515051120,9.5,9.5,9.5,9.5,11
1515051480,9.01,9.47,9.47,8.58,26
1515053220,9.05,9.05,9.05,9.05,4
1515055500,9.06,9.06,9.06,9.06,1
1515059220,9.07,9.07,9.07,9.07,1
1515061200,9.15,9.15,9.15,9.15,3
1515069240,9.3,9.26,9.3,9.26,45
1515070140,9.3,9.3,9.3,9.3,3
1515073500,9.33,9.32,9.33,9.32,12
1515073560,9.35,9.35,9.35,9.35,3
1515074160,9.35,9.35,9.35,9.35,1
1515074220,9.37,9.35,9.37,9.35,2
1515074760,9.37,9.37,9.37,9.37,4
1515075600,9.31,9.31,9.31,9.31,2
1515075840,9.31,9.31,9.31,9.31,3
1515076380,9.3,9.31,9.31,9.3,62
1515079800,9.27,9.09,9.27,9.09,12
1515079860,9.2,9.2,9.2,9.2,1
1515080160,9.25,9.25,9.25,9.25,3
1515135720,8.96,8.96,8.96,8.96,7
1515135960,9.36,9.41,9.41,9.36,2
1515136080,9.02,9.24,9.25,9.02,3
1515137340,9.02,9.02,9.02,9.02,3
1515137700,9.02,9.02,9.02,9.02,1
1515137760,9.02,9.02,9.02,9.02,5
1515141240,9.05,9.05,9.05,9.05,1
1515143220,9.24,9.24,9.24,9.24,1
1515148500,9.2,9.18,9.2,9.18,400
1515150000,9.17,9.16,9.17,9.16,5
1515156300,9.11,9.11,9.11,9.11,1
1515160500,9.15,9.15,9.15,9.15,279
1515481620,8.94,8.94,8.94,8.94,50
1515481740,9.09,9.09,9.09,9.09,1
1515483900,9.07,9.07,9.07,9.07,5
1515484020,9.02,9.02,9.02,9.02,1
1515484080,9.01,9.02,9.02,9.01,18
1515484140,9.05,9.06,9.06,9.05,9
1515484980,9.0,9.0,9.0,9.0,50
1515485640,9.0,8.99,9.0,8.99,190
1515487860,9.0,9.0,9.0,9.0,3
1515489060,8.82,8.93,8.93,8.82,130
1515489120,8.82,8.82,8.82,8.82,50
1515489180,8.8,8.81,8.81,8.8,27
1515489240,8.8,8.8,8.8,8.8,4
1515489540,8.8,8.8,8.8,8.8,6
1515489660,8.82,8.82,8.82,8.82,2
1515489720,8.8,8.8,8.8,8.8,4
1515490020,8.82,8.82,8.82,8.82,10
1515490260,8.82,8.81,8.82,8.81,50
1515490680,8.81,8.81,8.81,8.81,1
1515493260,8.81,8.81,8.81,8.81,8
1515493440,8.82,8.82,8.82,8.82,2
1515494220,8.82,8.82,8.82,8.82,76
1515494340,8.9,8.9,8.9,8.9,10
1515494400,8.96,8.92,8.96,8.92,30
1515494700,8.9,8.91,8.91,8.9,5
1515499980,8.91,8.91,8.91,8.91,1
1515500040,8.95,8.91,8.95,8.91,9
1515500160,8.93,8.93,8.93,8.93,5
1515502080,8.9,8.9,8.9,8.9,2
1515502140,8.9,8.9,8.9,8.9,27
1515502500,8.95,8.9,8.95,8.9,24
1515502620,8.82,8.86,8.86,8.82,5
1515502740,9.0,8.91,9.0,8.91,20
1515504060,8.89,8.89,8.89,8.89,1
1515504900,8.89,8.9,8.9,8.89,9
1515505560,8.89,8.89,8.89,8.89,2
1515506100,8.89,8.89,8.89,8.89,1
1515508320,8.86,8.86,8.86,8.86,1
1515508680,8.85,8.86,8.86,8.85,59
1515508980,8.84,8.84,8.84,8.84,14
1515509400,8.8,8.84,8.84,8.8,27
1515512280,8.91,8.91,8.91,8.91,3
1515571920,9.22,8.9,9.22,8.9,10
1515572220,8.99,8.99,8.99,8.99,5
1515575760,8.93,8.93,8.93,8.93,1
1515576840,9.24,9.0,9.24,9.0,15
1515577320,9.19,9.19,9.19,9.19,5
1515577680,9.19,9.19,9.19,9.19,3
1515581460,9.01,9.02,9.02,9.01,4
1515598140,9.04,9.03,9.04,9.03,10
1515599340,9.04,9.04,9.04,9.04,5
1515656040,9.21,9.21,9.21,9.21,1
1515680220,9.07,9.03,9.07,9.03,29
1515680280,9.07,9.07,9.07,9.07,17
1515681900,9.09,9.09,9.09,9.09,1
1515682560,9.07,9.07,9.07,9.07,4
1515740340,9.0,9.0,9.0,9.0,780
1515740520,8.97,8.97,8.97,8.97,7
1515740580,9.0,8.99,9.0,8.99,743
1515742440,9.48,9.25,9.48,9.25,50
1515743700,9.19,9.3,9.3,9.19,17
1515743760,9.19,9.19,9.19,9.19,22
1515743880,9.19,9.19,9.19,9.19,1
1515745200,9.15,9.15,9.15,9.15,1
1515746520,9.12,9.12,9.12,9.12,8
1515747180,9.11,9.11,9.11,9.11,6
1515747420,9.07,9.09,9.09,9.07,45
1515747720,8.81,9.07,9.07,8.81,47
1515747840,9.05,9.05,9.05,9.05,1
1515747900,9.1,9.1,9.1,9.1,13
