time,close,open,high,low,volume
1637910000,138.82,138.82,138.82,138.82,550
1637910060,137.7,138.06,138.06,137.7,300
1637910180,138.78,138.78,138.78,138.78,1
1637910240,138.72,138.72,138.72,138.72,20
1637910360,138.42,138.46,138.46,138.42,110
1637910780,140.1,140.1,140.1,140.1,3
1637910900,140.18,140.18,140.18,140.18,6
1637911440,139.72,139.72,139.72,139.72,1
1637911500,139.72,139.72,139.72,139.72,5
1637911620,139.72,139.76,139.76,139.72,2
1637911800,139.68,139.68,139.68,139.68,1
1637912040,139.9,139.9,139.9,139.9,1
1637912100,140.14,140.14,140.14,140.14,1
1637912460,140.26,140.24,140.26,140.24,2
1637912520,139.8,139.8,139.8,139.8,10
1637912580,140.12,140.12,140.12,140.12,1
1637912760,140.08,140.04,140.08,140.04,11
1637912880,140.08,140.08,140.08,140.08,3
1637913180,140.02,140.02,140.02,140.02,1
1637913360,140.14,140.14,140.14,140.14,2
1637913420,140.14,140.14,140.14,140.14,32
1637913480,140.14,140.14,140.14,140.14,1
1637913540,140.0,140.0,140.0,140.0,1
1637913600,139.36,139.58,139.58,139.36,1000
1637913780,139.44,139.72,139.72,139.44,4
1637913840,141.0,140.56,141.0,140.56,1000
1637913900,141.06,141.06,141.06,141.06,1
1637914200,140.94,140.94,140.94,140.94,1
1637914380,140.0,140.0,140.0,140.0,20
1637914440,139.7,139.7,139.7,139.7,1
1637915100,139.84,139.78,139.84,139.62,329
1637915160,139.78,139.78,139.78,139.78,1
1637915220,138.4,139.2,139.26,138.4,4
1637915280,138.52,138.52,138.52,138.52,2
1637915460,139.48,139.48,139.48,139.48,2
1637916060,139.28,139.28,139.28,139.28,26
1637916120,138.46,138.46,138.46,138.46,1
1637916240,139.26,139.26,139.26,139.26,1
1637916360,139.26,139.26,139.26,139.26,8
1637916480,139.12,139.0,139.12,139.0,12
1637916720,139.12,139.12,139.12,139.12,1
1637917200,138.46,139.12,139.12,138.46,17
1637917260,138.02,138.0,138.8,138.0,130
1637917320,138.9,138.9,138.9,138.9,19
1637918040,136.66,136.08,136.66,135.72,568
1637918220,136.0,136.0,136.0,136.0,1
1637918280,137.44,137.42,138.38,137.42,455
1637918340,136.22,136.22,136.22,136.22,1
1637918400,136.0,136.0,136.0,136.0,1
1637918460,135.5,135.5,135.5,135.5,1
1637918520,135.6,135.16,135.6,135.16,4
1637918640,136.36,136.36,136.36,136.36,1
1637918700,138.08,138.06,138.08,138.06,228
1637918760,137.52,137.52,137.52,137.52,20
1637919000,138.06,138.06,138.06,138.06,1
1637919060,137.54,137.54,137.54,137.54,1
1637919180,137.54,137.54,137.54,137.54,2
1637919240,137.74,137.24,137.74,137.24,111
1637920140,138.34,138.34,138.34,138.34,1
1637920260,138.16,138.16,138.16,138.16,6
1637920380,137.28,137.28,137.28,137.28,4
1637920800,138.24,138.24,138.24,138.24,1
1637920860,137.32,137.32,137.32,137.32,6
1637921100,137.32,137.32,137.32,137.32,1
1637921460,138.06,138.06,138.06,138.06,1
1637922540,137.62,137.62,138.78,137.62,571
1637922660,138.12,138.12,138.12,138.12,1
1637923380,137.82,137.82,137.82,137.82,1
1637925600,137.0,137.4,137.4,137.0,4
1637926080,137.2,137.06,137.2,137.06,236
1637926140,137.7,137.7,137.7,137.7,1
1637927340,137.64,137.64,137.64,137.64,1
1637927700,137.44,137.44,137.44,137.44,500
1637928060,137.44,137.8,137.8,137.44,89
1637928360,137.44,137.44,137.44,137.44,1
1637928480,137.44,137.44,137.44,137.44,48
1637929680,137.46,137.46,137.46,137.46,1
1637930220,136.4,136.9,136.9,136.38,597
1637930340,136.0,136.02,136.04,136.0,5
1637930820,136.0,136.0,136.0,136.0,1
1637931660,135.62,135.62,135.62,135.62,1
1637931840,135.8,135.8,135.8,135.8,1
1637931960,135.7,135.7,135.7,135.7,1
1637932140,135.74,135.74,135.74,135.74,3
1637932920,135.26,135.26,135.26,135.26,1
1637935080,135.26,135.26,135.26,135.26,2
1637935260,135.2,135.58,135.58,135.2,505
1637935920,140.0,136.6,140.0,136.6,586
1637936040,137.0,137.0,137.0,137.0,150
1637936160,137.42,137.42,137.42,137.42,500
1637936340,137.9,137.9,137.9,137.9,43
1637936400,137.94,137.94,137.94,137.94,1
1637937000,135.2,137.08,140.0,135.2,548
1637937060,135.0,135.3,137.94,134.9,118
1637937120,134.98,134.98,134.98,134.98,1
1637937420,135.96,135.96,135.96,135.96,100
1637937480,135.3,135.96,135.96,135.3,11
1637937660,134.64,134.64,134.64,134.64,1
1637937780,134.64,134.64,134.64,134.64,1
1637937960,133.02,133.02,133.02,133.02,1
1637938020,135.6,135.6,135.6,135.6,3
1637938200,135.0,135.0,135.0,135.0,3
1637938680,135.0,135.0,135.0,135.0,2
1637938860,135.0,135.0,135.0,135.0,410
1637938920,135.0,135.0,135.0,135.0,100
1637938980,135.0,135.0,135.0,135.0,490
1637939520,135.98,135.98,135.98,135.98,1
1637939640,133.14,133.14,133.14,133.14,1
1637942820,135.94,135.94,135.94,135.94,1
1637943780,133.6,133.6,133.6,133.6,1
1637943840,134.44,134.46,134.46,134.44,4
1637943960,133.5,133.6,133.6,133.5,200
1637944320,134.12,134.12,134.12,134.12,50
1637945040,133.42,133.42,133.42,133.42,1
1637945520,134.22,133.66,134.22,133.66,2
1637945940,133.38,133.38,133.38,133.38,1
1637946120,133.38,133.38,133.38,133.38,6
1637946300,133.38,133.38,133.38,133.38,10
1637946600,133.36,133.36,133.36,133.36,1
1637946780,133.36,133.36,133.36,133.36,1
1637947200,133.36,133.36,133.36,133.36,1
1637947740,133.16,133.16,133.16,133.16,1
1637948280,133.24,133.16,133.24,133.16,23
1637948340,136.6,136.6,136.6,136.6,36
1637948880,135.54,135.54,135.54,135.54,36
1637949600,136.3,136.3,136.3,136.3,25
1637949840,136.34,136.34,136.34,136.34,1
1637950500,137.26,137.26,137.26,137.26,3
1637951100,136.36,136.36,136.36,136.36,1
1637951220,136.64,136.64,136.64,136.64,1
1637951640,136.5,136.5,136.5,136.5,1
1637952240,136.5,136.5,136.5,136.5,1
1637952420,136.5,136.5,136.5,136.5,10
1637952540,137.2,137.2,137.2,137.2,1
1637952780,133.12,133.12,133.12,133.12,1
1637953080,137.2,137.2,137.2,137.2,7
1637953920,137.2,137.2,137.2,137.2,1
1637955180,137.2,137.2,137.2,137.2,3
1637955900,137.2,137.2,137.2,137.2,2
1637957160,137.2,137.2,137.2,137.2,1
1637958000,139.98,137.1,139.98,137.1,7
1637959200,133.16,133.16,133.16,133.16,7
1637959320,165.0,165.0,165.0,165.0,1
1637959440,141.0,141.0,141.0,141.0,7
1637959620,139.0,139.0,139.0,139.0,12
1638170220,135.66,135.78,135.78,135.6,101
1638170280,136.64,136.64,136.64,136.64,2
1638170340,137.46,137.46,137.46,137.46,1
