time,close,open,high,low,volume
1514973720,0.995,0.995,0.995,0.995,10
1515153120,1.015,1.015,1.015,1.015,1
1515153180,1.02,1.02,1.02,1.02,4
1515483360,1.0,1.01,1.01,1.0,3
1515592380,1.015,1.015,1.015,1.015,3
1515663000,1.02,1.02,1.02,1.02,1
1515665280,1.03,1.025,1.03,1.025,3
1515670920,1.03,1.03,1.03,1.03,2
1515741780,1.04,1.04,1.04,1.04,1
1515741840,1.05,1.04,1.05,1.04,4
1515741900,1.065,1.05,1.065,1.05,24
1515742020,1.05,1.05,1.05,1.05,1
1515742260,1.06,1.06,1.06,1.06,1
1515742320,1.065,1.065,1.065,1.065,4
1515742380,1.07,1.065,1.07,1.065,33
1515742560,1.07,1.07,1.07,1.07,8
1515744480,1.05,1.05,1.05,1.05,1
1515744660,1.05,1.05,1.05,1.05,1
1515747180,1.055,1.055,1.055,1.055,4
1515747960,1.055,1.055,1.055,1.055,1
1515752040,1.055,1.055,1.055,1.055,4
1515755160,1.045,1.045,1.045,1.045,1
1515755460,1.02,1.04,1.04,1.02,5
1515758760,1.035,1.035,1.035,1.035,1
1516090560,1.05,1.05,1.05,1.05,1
1516090920,1.055,1.055,1.055,1.055,1
1516095180,1.06,1.06,1.06,1.06,1
1516097400,1.04,1.04,1.04,1.04,1
1516106940,1.07,1.055,1.07,1.055,6
1516109580,1.055,1.055,1.055,1.055,1
1516177560,1.05,1.05,1.05,1.05,1
1516192320,1.045,1.045,1.045,1.045,1
1516201620,1.045,1.045,1.045,1.045,1
1516374900,1.065,1.065,1.065,1.065,1
1516616940,1.005,1.01,1.01,1.005,15
1516617060,1.0,1.0,1.0,1.0,22
1516624020,1.04,1.04,1.04,1.04,1
1516630860,1.065,1.065,1.065,1.065,1
1516630920,1.05,1.05,1.05,1.05,1
1516630980,1.07,1.065,1.07,1.065,2
1516871280,1.055,1.06,1.06,1.055,3
1516871340,1.05,1.05,1.05,1.05,1
1516871580,1.045,1.045,1.045,1.045,1
1516890120,1.025,1.04,1.04,1.025,5
1516951020,1.02,1.025,1.025,1.02,3
1516969920,1.035,1.035,1.035,1.035,2
1516980600,1.025,1.025,1.025,1.025,1
1517213040,1.03,1.03,1.03,1.03,2
1517307840,1.02,1.02,1.02,1.02,1
1517310120,1.02,1.02,1.02,1.02,11
1517478480,1.03,1.03,1.03,1.03,1
1517560680,1.035,1.035,1.035,1.035,1
1517569260,1.035,1.035,1.035,1.035,1
1517838840,1.02,1.02,1.02,1.02,1
1517909220,1.065,1.045,1.065,1.045,7
1517911620,1.02,1.02,1.02,1.02,1
1518178320,1.06,1.06,1.06,1.06,1
1518534780,1.0,0.995,1.0,0.995,2
1518606180,0.985,0.985,0.985,0.985,1
1518607020,0.975,0.975,0.975,0.975,1
1518607740,0.98,0.98,0.98,0.98,2
1518608040,0.99,0.99,0.99,0.99,1
1518609000,0.975,0.975,0.975,0.975,1
1518611760,0.99,0.99,0.99,0.99,1
1518685020,0.995,0.995,0.995,0.995,1
1518685980,0.995,0.995,0.995,0.995,1
1518701220,1.0,0.995,1.0,0.995,2
1518701280,1.0,1.0,1.0,1.0,1
1518766980,0.99,0.99,0.99,0.99,4
1518778800,0.995,0.995,0.995,0.995,1
1518784920,0.995,0.995,0.995,0.995,3
1519025940,1.01,1.01,1.01,1.01,1
1519026120,1.02,1.02,1.02,1.02,1
1519026780,1.01,1.01,1.01,1.01,1
1519027860,1.03,1.03,1.03,1.03,1
1519029060,1.04,1.04,1.04,1.04,1
1519029540,1.05,1.05,1.05,1.05,3
1519030020,1.06,1.06,1.06,1.06,1
1519030500,1.05,1.05,1.05,1.05,1
1519030560,1.05,1.05,1.05,1.05,1
1519030680,1.05,1.05,1.05,1.05,1
1519030860,1.06,1.06,1.06,1.06,1
1519031040,1.055,1.055,1.055,1.055,1
1519031100,1.055,1.05,1.055,1.05,2
1519031160,1.05,1.05,1.05,1.05,1
1519032780,1.05,1.05,1.05,1.05,1
1519033320,1.05,1.05,1.05,1.05,1
1519033560,1.055,1.055,1.055,1.055,1
1519033620,1.05,1.05,1.05,1.05,1
1519033680,1.05,1.05,1.05,1.05,1
1519033800,1.05,1.05,1.05,1.05,1
1519033980,1.05,1.05,1.05,1.05,1
1519034640,1.05,1.05,1.05,1.05,1
1519034700,1.05,1.05,1.05,1.05,1
1519034940,1.05,1.05,1.05,1.05,2
1519035000,1.05,1.05,1.05,1.05,1
1519036440,1.05,1.05,1.05,1.05,1
1519036680,1.045,1.045,1.045,1.045,1
1519036980,1.035,1.035,1.035,1.035,1
1519040820,1.025,1.025,1.025,1.025,1
1519041060,1.04,1.04,1.04,1.04,1
1519117860,1.025,1.025,1.025,1.025,1
1519210560,1.01,1.015,1.015,1.01,2
1519210620,1.0,1.005,1.005,0.995,3
1519210680,0.985,0.985,0.985,0.985,1
1519212960,1.0,1.0,1.0,1.0,1
1519216080,1.0,1.0,1.0,1.0,1
1519744500,0.985,0.99,0.99,0.985,2
1519813380,1.01,1.01,1.01,1.01,1
1519831500,0.995,0.995,0.995,0.995,1
1519889040,0.985,0.985,0.985,0.985,3
1519917000,0.985,0.985,0.985,0.985,10
1519918020,0.995,0.995,0.995,0.995,1
1519974660,1.0,1.0,1.0,1.0,1
1520259120,1.01,1.01,1.01,1.01,1
1520320080,0.98,0.98,0.98,0.98,2
1520338740,1.015,1.015,1.015,1.015,1
1520412540,0.96,0.98,0.98,0.96,6
1520425920,1.025,1.015,1.025,1.015,5
1520437680,1.005,1.005,1.005,1.005,1
1520609220,1.005,1.005,1.005,1.005,1
1520847000,1.015,1.015,1.015,1.015,1
1520925120,0.995,0.995,0.995,0.995,1
1520925180,0.995,0.995,0.995,0.995,1
1520925300,1.01,1.01,1.01,1.01,1
1520951820,1.03,1.01,1.03,1.01,6
1521035940,1.015,1.015,1.015,1.015,1
1521042480,1.005,1.005,1.005,1.005,1
1521209940,1.005,1.005,1.005,1.005,1
1521211080,0.995,0.995,0.995,0.995,1
1521213540,0.995,0.995,0.995,0.995,2
1521470520,0.985,0.985,0.985,0.985,1
1521472320,0.985,0.985,0.985,0.985,1
1521529260,0.975,0.975,0.975,0.975,2
1521532260,0.975,0.975,0.975,0.975,1
1521536700,0.975,0.975,0.975,0.975,10
1521545640,0.975,0.975,0.975,0.975,2
1521727080,0.965,0.975,0.975,0.965,2
1521727140,0.96,0.96,0.96,0.96,2
1521727200,0.955,0.955,0.955,0.955,6
1521727260,0.915,0.945,0.945,0.915,8
1521727320,0.92,0.92,0.92,0.92,1
1521727380,0.92,0.92,0.92,0.92,5
1521727440,0.92,0.92,0.92,0.92,3
1521727620,0.92,0.92,0.92,0.92,2
1521728040,0.92,0.92,0.92,0.92,4
1521728160,0.93,0.93,0.93,0.93,1
1521731580,0.94,0.94,0.94,0.94,1
