time,close,open,high,low,volume
1514984520,0.98,0.98,0.98,0.98,1
1515051300,0.96,0.965,0.965,0.96,5
1515072300,0.97,0.97,0.97,0.97,1
1515072360,0.97,0.97,0.97,0.97,1
1515481620,0.96,0.97,0.97,0.96,9
1515481860,0.96,0.96,0.96,0.96,1
1515482880,0.95,0.955,0.955,0.95,13
1515483000,0.95,0.95,0.95,0.95,2
1515483060,0.95,0.95,0.95,0.95,8
1515483240,0.94,0.945,0.945,0.94,14
1515483360,0.94,0.94,0.94,0.94,3
1515483420,0.94,0.94,0.94,0.94,8
1515484140,0.93,0.935,0.935,0.93,35
1515484740,0.93,0.93,0.93,0.93,15
1515489240,0.95,0.95,0.95,0.95,3
1515574200,0.96,0.96,0.96,0.96,1
1515595500,0.955,0.955,0.955,0.955,1
1515596820,0.955,0.955,0.955,0.955,2
1515654840,0.97,0.97,0.97,0.97,1
1515657960,0.94,0.955,0.955,0.94,4
1515665340,0.955,0.945,0.955,0.945,5
1515665580,0.925,0.94,0.94,0.925,5
1515670020,0.945,0.945,0.945,0.945,1
1515742440,0.955,0.955,0.955,0.955,1
1515744360,0.96,0.96,0.96,0.96,3
1515744420,0.965,0.965,0.965,0.965,1
1515745860,0.97,0.97,0.97,0.97,3
1515747180,0.975,0.975,0.975,0.975,2
1515747240,0.975,0.975,0.975,0.975,1
1515748320,0.975,0.975,0.975,0.975,1
1515751200,0.995,0.975,0.995,0.97,25
1515751260,0.995,0.995,0.995,0.995,6
1515751440,1.0,1.0,1.01,1.0,5
1515751560,0.995,0.995,0.995,0.995,17
1515751740,0.995,0.995,0.995,0.995,10
1515753000,0.995,0.995,0.995,0.995,4
1515758820,0.99,0.99,0.99,0.99,1
1515763920,0.99,0.99,0.99,0.99,1
1515769980,0.99,0.99,0.99,0.99,1
1516030680,0.995,0.995,0.995,0.995,1
1516091400,1.01,1.01,1.01,1.01,1
1516098480,1.01,1.01,1.01,1.01,2
1516107000,1.025,1.01,1.025,1.01,6
1516108380,1.0,1.01,1.01,1.0,4
1516178100,0.995,0.995,0.995,0.995,1
1516287540,0.945,0.95,0.95,0.945,3
1516287600,0.98,0.98,0.98,0.98,1
1516349100,1.0,1.0,1.0,1.0,1
1516707660,0.95,0.95,0.95,0.95,2
1516711320,0.995,0.995,0.995,0.995,1
1516871280,1.005,1.01,1.01,1.005,2
1516871460,1.0,1.0,1.0,1.0,1
1516961280,1.0,1.0,1.0,1.0,1
1516961340,0.995,0.995,0.995,0.995,1
1516979520,1.005,1.005,1.005,1.005,1
1517394060,0.995,0.995,0.995,0.995,1
1517489160,0.99,0.99,0.99,0.99,1
1517498700,0.985,0.985,0.985,0.985,1
1517581080,0.98,0.98,0.98,0.98,1
1517906940,1.02,1.01,1.02,1.01,2
1517994540,0.995,0.995,0.995,0.995,1
1518075180,0.99,0.99,0.99,0.99,4
1518084900,0.99,0.99,0.99,0.99,1
1518085380,0.98,0.98,0.98,0.98,6
1518085440,0.98,0.98,0.98,0.98,1
1518163560,0.94,0.94,0.94,0.94,1
1518169500,1.03,0.995,1.03,0.995,7
1518774900,0.985,0.985,0.985,0.985,1
1518775500,0.98,0.98,0.98,0.98,2
1518775800,0.975,0.975,0.975,0.975,1
1519123440,0.99,0.99,0.99,0.99,1
1519210320,0.9,0.98,0.98,0.9,17
1519210380,0.955,0.96,0.96,0.955,2
1519210440,0.945,0.945,0.945,0.77,501
1519210500,0.9,0.905,0.905,0.9,15
1519210560,0.825,0.9,0.905,0.825,147
1519210620,0.885,0.885,0.885,0.885,3
1519210680,0.88,0.875,0.88,0.875,6
1519210740,0.88,0.88,0.88,0.88,6
1519210800,0.87,0.875,0.875,0.87,3
1519210920,0.87,0.87,0.87,0.87,2
1519210980,0.87,0.87,0.87,0.87,5
1519211040,0.87,0.87,0.87,0.87,1
1519211100,0.875,0.87,0.875,0.87,28
1519211160,0.88,0.875,0.88,0.875,12
1519211220,0.89,0.885,0.89,0.885,5
1519211280,0.89,0.89,0.89,0.89,6
1519212060,0.89,0.89,0.89,0.89,10
1519212180,0.895,0.89,0.895,0.89,32
1519212240,0.895,0.895,0.895,0.895,2
1519212960,0.895,0.9,0.9,0.895,19
1519213140,0.895,0.895,0.895,0.895,2
1519213200,0.9,0.9,0.9,0.9,1
1519213560,0.91,0.905,0.91,0.905,27
1519214700,0.915,0.915,0.915,0.915,2
1519215900,0.91,0.91,0.91,0.91,7
1519216560,0.915,0.915,0.915,0.915,1
1519217400,0.91,0.91,0.91,0.91,2
1519217460,0.915,0.915,0.915,0.915,3
1519218480,0.9,0.9,0.9,0.9,2
1519223520,0.915,0.915,0.915,0.915,3
1519225800,0.925,0.915,0.925,0.915,3
1519225860,0.925,0.92,0.925,0.92,2
