time,close,open,high,low,volume
1515486540,520,520,520,520,1
1515768240,530,530,530,530,1
1516721460,490,509,510,490,5
1516721580,548,510,548,510,12
1516788840,545,545,545,545,52
1517237580,495,496,496,495,3
1517413020,511,511,511,511,1
1517498160,510,510,510,510,1
1517828820,503,503,503,503,1
1517835720,520,520,520,520,1
1518420240,547,547,547,547,1
1519043340,496,496,496,496,1
1519116780,532,532,532,532,1
1519130220,520,520,520,520,1
1519130280,530,530,530,530,3
1519653180,520,520,520,520,1
1519718760,541,541,541,541,1
1519912560,538,504,538,504,2
1519992420,499,500,500,499,3
1520004600,496,496,496,496,12
1520322900,504,504,504,504,1
1520327580,504,504,504,504,1
1520609700,526,526,526,526,1
1520838240,490,450,490,450,2
1520838600,495,495,495,495,1
1520855940,495,495,495,495,4
1521462420,505,505,505,505,4
1521462960,500,500,500,500,1
1521638760,500,500,500,500,32
1521639300,500,500,500,500,2
1521704640,506,506,506,506,4
1521712140,485,485,485,485,1
1521799920,485,485,485,485,1
1521800700,490,490,490,490,1
1521801120,442,442,442,442,1
1521801540,480,480,480,480,2
1521801600,470,470,470,470,1
1521806280,498,498,498,498,1
1521811680,480,480,480,480,1
1521811920,482,482,482,482,1
1522049880,470,470,470,470,1
1522050720,471,471,471,471,1
1522051680,470,470,470,470,1
1522052880,490,499,499,480,3
1522054740,499,499,499,499,2
1522164660,480,470,480,470,2
1522399380,500,505,505,490,3
1522404300,505,505,505,505,1
1522680300,475,475,475,475,1
1522680900,490,490,490,490,1
1522830180,488,488,488,488,1
1523262180,499,499,499,499,2
1523263020,500,500,500,500,5
1523263080,505,500,505,500,5
1523266920,500,500,500,500,1
1523267100,500,500,500,500,4
1523267820,500,500,500,500,1
1523267940,500,500,500,500,1
1523268000,500,500,500,500,1
1523268120,500,500,500,500,1
1523520840,470,470,470,470,1
1523521380,490,490,490,490,1
1523524500,506,506,506,506,1
1525272660,515,515,515,515,1
1525419720,470,470,470,470,1
1525419840,506,506,506,506,1
1526998980,472,472,472,472,1
1526999640,504,504,504,504,1
1527239820,472,472,472,472,1
1527240540,505,505,505,505,1
1528197060,480,480,480,480,3
1528212540,506,506,506,506,1
1528881900,474,475,475,474,2
1528967700,488,488,488,488,1
1529049960,505,505,505,505,1
1533128640,530,530,530,530,1
1533728520,510,510,510,510,4
1533728580,500,500,500,500,1
1533800040,455,455,455,455,1
1533801120,490,490,490,490,1
1533801660,480,480,480,480,1
1533802320,470,470,470,470,1
1533888600,500,500,500,500,1
1533888660,500,480,500,480,3
1534260240,470,470,470,470,1
1534261140,490,490,490,490,1
1534498080,485,485,485,485,1
1534755720,480,475,480,475,2
1534755960,400,455,455,400,29
1534756020,460,470,470,460,2
1534756080,440,450,450,440,2
1534756140,430,430,430,430,1
1534765680,440,480,480,440,2
1534765740,450,450,450,450,1
1534767540,440,440,440,440,2
1534768020,440,440,440,440,5
1534768140,440,440,440,440,1
1534768320,440,440,440,440,1
1534768380,440,440,440,440,1
1534779540,450,495,495,450,2
1534779900,460,460,460,460,1
1534834800,450,440,450,410,11
1534838640,450,450,450,450,7
1534838760,460,460,460,460,1
1535014800,465,465,465,465,1
1535362440,420,440,440,420,3
1535362500,445,445,445,445,1
1535384340,485,485,485,485,1
1535619000,505,505,505,505,1
1535619060,450,450,450,450,1
1535619120,460,460,460,460,1
1535619180,470,470,470,470,1
1535705820,490,480,505,480,7
1535705880,500,500,500,500,1
