time,close,open,high,low,volume
1515657180,410,428,428,410,2
1515744780,401,401,401,401,1
1515760380,400,400,400,400,5
1515762240,400,402,402,400,103
1515762300,400,400,400,400,1
1516026600,400,400,400,400,300
1516026660,400,400,400,400,89
1516087260,408,408,408,408,1
1516284840,400,400,400,400,36
1516286280,400,400,400,400,26
1516711260,428,428,428,428,1
1517403420,449,449,449,449,1
1517403840,410,410,410,410,1
1517483160,405,405,405,405,2
1517498340,400,400,400,400,2
1518017340,410,414,414,400,3
1519714740,401,401,401,401,2
1519715520,400,400,400,400,6
1519716000,400,400,400,400,1
1520251200,402,402,402,402,1
1520254620,390,370,390,370,2
1520320020,381,381,381,381,1
1520323020,388,388,388,388,1
1520348400,387,390,390,387,2
1520926140,398,398,398,398,1
1521188760,400,400,400,400,6
1521454920,395,395,395,395,5
1521706440,395,395,395,395,1
1521795660,391,391,391,391,1
1522150980,321,391,391,321,36
1522151220,370,370,370,370,1
1522152360,376,376,376,376,1
1522155900,377,377,377,377,1
1522224240,378,378,378,378,1
1522246260,378,378,378,378,1
1522399020,400,393,400,393,6
1522399260,400,400,400,400,7
1522402920,400,400,400,400,1
1522407420,400,400,400,400,1
1523262600,400,400,400,400,182
1526038320,400,400,400,400,10
1526290020,400,399,400,399,13
1526292480,400,400,400,400,2
1526633580,390,376,390,376,2
1527075600,400,399,400,399,106
1527505260,400,399,400,399,100
1527506220,400,400,400,400,78
1527510900,400,400,400,400,1
1527666780,423,423,423,423,1
1527666840,410,410,410,410,1
1527667800,420,420,420,420,1
1527679440,420,420,420,420,2
1527680100,420,420,420,420,2
1527691560,420,420,420,420,6
1527862500,400,388,400,388,3
1528095600,390,362,390,362,8
1528123260,383,383,383,383,1
1528123320,380,382,382,380,3
1528123620,383,383,383,383,1
1528126620,378,378,378,378,1
1528183620,388,388,388,388,1
1528268400,380,362,380,362,6
1528276740,380,380,380,380,4
1528276800,362,370,370,362,10
1528363020,362,362,362,362,2
1528380240,362,362,362,362,5
1528731420,382,360,382,360,4
1528875360,400,384,400,384,50
1528875420,400,380,400,380,51
1528875480,400,399,400,399,64
1528875660,418,418,418,418,1
1528880880,405,405,405,405,1
1528882020,390,387,390,387,2
1528882140,380,390,390,380,5
1528882200,380,380,380,380,9
1528882260,380,380,380,380,9
1529313900,400,389,400,389,66
1530015420,380,380,380,380,3
1530015480,380,380,380,380,1
1530023580,380,380,380,380,6
1530027540,388,388,388,388,1
1530086280,380,380,380,380,1
1530270540,375,375,375,375,36
1530615900,385,385,385,385,37
1530696600,379,379,379,379,2
1530696660,379,379,379,379,1
1530891120,380,380,380,380,3
1531141140,377,377,377,377,1
1531494960,380,380,380,380,1
1531823340,384,384,384,384,1
1531985340,400,399,400,399,111
1531985520,400,390,400,390,3
1531987680,418,418,418,418,1
