time,close,open,high,low,volume
1515166140,20.4,20.4,20.4,20.4,1
1515166200,19.0,19.0,19.0,19.0,1
1515166320,19.5,19.5,19.5,19.5,1
1515488040,20.9,20.9,20.9,20.9,1
1515489360,20.0,20.0,20.0,20.0,1
1515745260,20.5,20.5,20.5,20.5,2
1516351620,20.5,21.0,21.0,20.5,3
1516353120,20.4,20.4,20.4,20.4,1
1516699980,21.4,21.4,21.4,21.4,1
1516786800,17.5,17.5,17.5,17.5,18
1516788720,19.0,19.0,19.0,19.0,1
1516789320,19.1,21.2,21.2,19.1,2
1516790460,19.2,19.2,19.2,19.2,1
1516791360,19.2,19.2,19.2,19.2,5
1516791420,19.2,19.2,19.2,19.2,1
1516791600,19.2,19.2,19.2,19.2,2
1516795260,19.2,19.4,19.4,19.2,3
1516801860,19.5,19.5,19.5,19.5,1
1516801920,19.5,19.5,19.5,19.5,1
1516807680,19.3,19.3,19.3,19.3,1
1516807800,19.3,19.3,19.3,19.3,1
1516807860,19.2,19.2,19.2,19.2,2
1516950900,20.6,20.6,20.6,20.6,1
1516955760,19.9,19.9,19.9,19.9,1
1516956840,21.8,20.0,21.8,20.0,10
1516960680,20.5,18.9,20.5,18.9,3
1517238420,19.5,18.9,19.5,18.9,2
1517323980,18.8,18.8,18.8,18.8,1
1517327100,19.1,19.1,19.1,19.1,1
1517383860,18.7,18.7,18.7,18.7,5
1517384040,18.7,18.7,18.7,18.7,5
1517397600,19.0,19.0,19.0,19.0,2
1517929140,18.3,18.3,18.3,18.3,1
1518169860,18.2,18.2,18.2,18.2,1
1518175800,19.1,19.1,19.1,19.1,2
1518175860,19.1,19.1,19.1,19.1,3
1518188460,18.7,18.7,18.7,18.7,1
1518440160,18.5,18.1,18.5,18.1,4
1518443700,18.4,18.4,18.4,18.4,1
1518617220,17.8,17.8,17.8,17.8,1
1518702120,18.2,18.2,18.2,18.2,1
1518791820,19.1,19.1,19.1,19.1,1
1519197480,19.9,19.8,19.9,19.8,5
1519197540,19.9,19.9,19.9,19.9,1
1519198560,20.0,20.2,20.2,20.0,2
1519199160,20.5,20.2,21.6,20.2,9
1519199220,21.7,21.0,21.7,21.0,3
1519199880,21.8,21.8,21.8,21.8,1
1519202100,22.1,22.1,22.1,22.1,1
1519211460,21.9,21.7,21.9,21.7,3
1519219140,21.7,20.0,21.7,20.0,4
1519223640,19.5,21.0,21.0,18.7,6
1519918260,19.5,19.5,19.5,19.5,1
1520319660,17.9,17.9,17.9,17.9,1
1520344320,19.0,19.0,19.0,19.0,1
1520425140,18.2,18.2,18.2,18.2,1
1520924340,18.2,18.2,18.2,18.2,1
1521112980,18.0,18.0,18.0,18.0,5
1521114120,17.5,17.7,17.7,17.5,3
1521457440,18.0,18.0,18.0,18.0,1
1521457500,17.0,17.0,17.0,17.0,3
1521466140,16.8,16.8,16.8,16.8,1
1521629940,18.7,18.7,18.7,18.7,1
1521630120,17.5,17.5,17.5,17.5,1
1521630180,18.0,18.0,18.0,18.0,1
1521630300,16.8,16.8,16.8,16.8,1
1521630360,16.6,16.6,16.6,16.6,2
1521630780,16.5,16.5,16.5,16.5,2
1521634140,17.5,17.5,17.5,17.5,1
1521639060,18.0,17.5,18.4,17.5,5
1521639120,17.0,17.0,17.0,17.0,1
1521639180,17.0,17.0,17.0,17.0,7
1521639240,17.0,17.0,17.0,17.0,26
1521639600,17.5,17.5,17.5,17.5,1
1522051260,18.6,18.5,18.6,18.5,2
1522051320,18.0,18.0,18.0,18.0,1
1522051380,18.5,18.5,18.5,18.5,1
1522057140,19.4,19.4,19.4,19.4,1
1522136340,19.0,19.5,20.0,19.0,6
1522136640,19.5,19.5,19.5,19.5,1
1522137240,20.2,19.8,20.2,19.8,6
1522137300,21.0,20.2,21.0,20.2,4
1522137720,21.4,21.4,21.4,21.4,1
1522137900,21.5,21.5,21.5,21.5,1
1522138380,21.3,21.3,21.3,21.3,1
1522139460,21.5,21.2,21.5,21.2,4
1522145760,21.0,19.0,21.0,19.0,6
1522147560,19.5,19.5,19.5,19.5,1
1522147800,20.0,20.0,20.0,20.0,1
1522147920,20.4,20.4,20.4,20.4,1
1522148940,19.2,19.2,19.2,19.2,1
1522149000,19.5,19.5,19.5,19.5,1
1522149360,19.1,19.2,19.2,19.1,3
1522149420,19.8,19.8,19.8,19.8,2
1522153320,19.0,19.0,19.0,19.0,1
1522153620,19.0,19.0,19.0,19.0,1
1522154940,19.0,19.0,19.0,19.0,1
1522155660,18.7,18.7,18.7,18.7,1
1522155720,18.7,18.7,18.7,18.7,1
1522156080,18.6,18.6,18.6,18.6,1
1522156380,18.5,18.5,18.5,18.5,1
1522163100,18.5,18.5,18.5,18.5,1
1522165500,19.1,19.1,19.1,19.1,1
1522224840,19.5,20.6,20.6,19.0,3
1522319580,20.0,21.2,21.5,20.0,4
1522321020,19.5,18.7,19.5,18.7,2
1522321080,19.0,19.0,19.0,19.0,1
1522323420,19.5,21.4,21.4,19.5,2
1522323480,20.0,20.0,20.0,20.0,1
1522937640,20.5,20.5,20.5,20.5,1
1523266860,18.0,18.0,18.0,18.0,1
1523268180,19.5,19.5,19.5,19.5,1
1523348820,17.9,17.9,17.9,17.9,1
1523354640,20.2,20.2,20.2,20.2,1
1523963460,20.6,20.5,20.6,20.5,2
1523971080,20.0,20.0,20.0,20.0,1
1524224640,20.8,20.8,20.8,20.8,1
1524571500,18.4,18.4,18.4,18.4,1
1524578160,20.3,20.3,20.3,20.3,1
1524578220,20.6,20.5,20.6,20.5,3
1524578280,20.7,20.7,20.7,20.7,1
1524578460,20.7,20.7,20.7,20.7,1
1524578880,20.7,20.7,20.7,20.7,1
1524579420,20.7,20.7,20.7,20.7,1
1524579660,20.7,20.7,20.7,20.7,2
1524654900,20.8,20.8,20.8,20.8,5
1524830100,20.4,20.4,20.4,20.4,1
1524920520,17.8,17.8,17.8,17.8,1
1524920580,20.0,20.0,20.0,20.0,1
1524920760,19.5,19.5,19.5,19.5,1
1524925020,20.8,20.8,20.8,20.8,1
1525433280,22.8,22.8,22.8,22.8,1
1525433340,20.0,20.0,20.0,20.0,1
1525678680,22.9,22.9,22.9,22.9,1
1525688160,20.4,20.4,20.4,20.4,3
1525689420,20.5,20.5,20.5,20.5,1
1525768080,20.0,20.0,20.0,20.0,2
1525768140,20.0,20.0,20.0,20.0,1
1526459640,23.8,23.8,23.8,23.8,1
1527492840,19.4,19.4,19.4,19.4,1
1528101120,21.0,21.0,21.0,21.0,1
1528447440,21.8,21.8,21.8,21.8,1
1528448940,20.5,20.5,20.5,20.5,1
1528450500,21.0,21.0,21.0,21.0,1
1528462500,21.0,21.1,21.1,21.0,4
1528463820,21.0,21.0,21.0,21.0,1
1528465620,21.0,21.1,21.1,21.0,19
1528467960,21.0,21.0,21.1,21.0,13
1528470120,21.0,21.0,21.0,21.0,1
1528540380,24.3,24.3,24.3,24.3,1
1528556040,21.5,21.5,21.5,21.5,1
1528705800,23.0,23.0,23.0,23.0,1
1529058660,23.8,23.8,23.8,23.8,1
1529409240,21.4,21.4,21.4,21.4,4
1529497020,20.9,20.7,20.9,20.7,7
1529503380,19.4,19.4,19.4,19.4,1
1529503440,20.0,20.5,20.5,20.0,2
1529506380,20.8,20.8,20.8,20.8,1
1529506500,19.7,19.7,19.7,19.7,1
1529507160,20.4,20.4,20.4,20.4,1
1529509080,20.5,20.5,20.5,20.5,1
1530002580,22.1,22.1,22.1,22.1,1
1530018000,17.9,17.9,17.9,17.9,1
1530084960,22.5,22.5,22.5,22.5,1
1530199860,19.4,19.4,19.4,19.4,1
1530255900,23.4,23.4,23.4,23.4,1
1530868260,21.1,21.1,21.1,21.1,1
1530868320,21.0,21.0,21.0,21.0,1
1530868560,22.5,22.5,22.5,22.5,1
1531141800,27.7,23.8,27.7,23.8,5
1531142820,21.2,22.5,22.5,21.2,2
1531226520,19.2,19.2,19.2,19.2,1
1531229640,22.7,22.7,22.7,22.7,1
1532619900,22.0,22.0,22.0,22.0,1
1533887460,20.0,20.0,20.0,20.0,4
1533887520,20.0,20.0,20.0,20.0,1
1533887700,20.0,20.0,20.0,20.0,1
1533889560,20.0,20.0,20.0,20.0,1
1533889680,20.0,20.0,20.0,20.0,3
1533891900,20.0,20.0,20.0,20.0,1
1533892200,20.0,20.0,20.0,20.0,2
1533895980,20.0,20.0,20.0,20.0,1
1533899100,20.0,20.0,20.0,20.0,1
1533899700,20.0,20.0,20.0,20.0,1
1533909960,20.2,20.2,20.2,20.2,1
1534149720,20.0,20.0,20.0,20.0,3
1534153080,20.0,20.0,20.0,20.0,2
1534154040,20.0,20.0,20.0,20.0,5
1534155120,20.0,20.0,20.0,20.0,5
1534156920,20.0,20.0,20.0,20.0,10
1534157280,20.0,20.0,20.0,20.0,10
1534157580,20.0,20.0,20.0,20.0,23
1535444280,21.0,21.0,21.0,21.0,1
1535444340,21.0,21.0,21.0,21.0,1
1535612640,21.8,21.8,21.8,21.8,1
1535626320,21.0,21.0,21.0,21.0,1
1537518900,22.0,22.0,22.0,22.0,1
1537538100,22.0,22.0,22.0,22.0,1
1538131200,20.2,20.2,20.2,20.2,1
1538149680,20.2,20.2,20.2,20.2,1
1538565960,22.2,22.2,22.2,22.2,1
1538733480,25.8,25.8,25.8,25.8,1
1538736600,22.0,22.0,22.0,22.0,1
1539069060,21.6,21.6,21.6,21.6,1
1539180360,21.6,21.6,21.6,21.6,1
1539186480,21.4,21.4,21.4,21.4,1
1539952560,22.0,22.0,22.0,22.0,1
1540826640,20.8,20.8,20.8,20.8,1
1540974960,28.0,28.0,28.0,28.0,1
1540993440,25.0,24.0,25.0,24.0,2
1541058660,23.0,22.0,23.0,21.8,3
1541067060,25.8,25.8,25.8,25.8,1
1541068380,25.0,25.0,25.0,25.0,1
1541068740,25.8,25.8,25.8,25.8,1
1541076660,23.0,23.0,23.0,23.0,1
1541077800,24.0,24.0,24.0,24.0,1
1541143800,26.4,26.4,26.4,26.4,1
1541597640,22.4,22.4,22.4,22.4,2
1541597940,23.0,23.0,23.0,23.0,1
1541599860,23.4,23.4,23.4,23.4,1
1541673840,23.8,23.8,23.8,23.8,2
1542107640,26.4,26.4,26.4,26.4,8
