time,close,open,high,low,volume
1515058560,2010,2010,2010,2010,1
1515061200,2010,2010,2010,2010,1
1515138060,2060,2030,2060,2030,5
1515155160,2050,2050,2050,2050,1
1515155820,2070,2070,2070,2070,2
1515155880,2080,2080,2080,2080,1
1515167100,2090,2090,2090,2090,2
1515569940,2060,2060,2060,2060,1
1515570000,2060,2060,2060,2060,1
1515570180,2050,2050,2050,2050,1
1515570480,2050,2050,2050,2050,1
1515571140,2040,2040,2040,2040,2
1515571200,2040,2040,2040,2040,1
1515571260,2030,2030,2030,2030,2
1515571620,2020,2020,2020,2020,3
1515571680,2020,2020,2020,2020,1
1515573180,2010,2010,2010,2010,2
1515573240,2010,2010,2010,2010,1
1515574020,2020,2020,2020,2020,1
1515574560,2020,2020,2020,2020,5
1515579060,2020,2020,2020,2020,10
1515579720,2000,2000,2000,2000,2
1515579900,2000,2000,2000,2000,2
1515580140,2000,2000,2000,2000,1
1515585120,1990,1990,1990,1990,2
1515585180,1990,1990,1990,1990,1
1515585360,1990,1990,1990,1990,4
1515585420,1990,1990,1990,1990,1
1515585780,1990,1990,1990,1990,2
1515588600,1990,1990,1990,1990,2
1515589020,1990,1990,1990,1990,8
1515592200,1990,1990,1990,1990,10
1515595740,1990,1990,1990,1990,10
1515596280,1990,1990,1990,1990,12
1515598680,1990,1990,1990,1990,9
1515598740,1990,1990,1990,1990,18
1515662640,1980,1980,1980,1980,1
1515678180,1990,1990,1990,1990,3
1515678780,1980,1980,1980,1980,1
1515679560,1980,1980,1980,1980,1
1515680340,2010,2010,2010,2010,2
1515763560,2040,2040,2040,2040,1
1515766020,2010,2010,2010,2010,1
1515766740,2000,2000,2000,2000,1
1515767400,1990,1990,1990,1990,1
1515770580,2000,2000,2000,2000,5
1515771180,1980,1990,1990,1980,2
1516092600,1970,1970,1970,1970,1
1516097100,1970,1970,1970,1970,1
1516113840,1970,1970,1970,1970,1
1516181880,1990,1990,1990,1990,11
1516181940,2010,2010,2010,2010,1
1516264020,2010,2010,2010,2010,1
1516885620,1990,2000,2000,1990,5
1516951140,2020,2020,2020,2020,1
1516952400,2020,2020,2020,2020,1
1516971840,2040,2030,2040,2030,3
1516976340,2110,2040,2110,2040,22
1516976400,2050,2050,2050,2050,1
1516976460,2120,2100,2120,2100,4
1516977120,2290,2120,2290,2120,19
1516977180,2230,2150,2230,2150,2
1516977240,2200,2200,2200,2200,1
1516977360,2230,2200,2230,2200,2
1516977420,2260,2260,2260,2260,1
1516977480,2240,2240,2240,2240,1
1516977660,2330,2250,2480,2250,22
1516977720,2290,2340,2350,2290,3
1516978140,2300,2300,2300,2300,1
1516978320,2260,2260,2260,2260,1
1516978440,2290,2290,2290,2290,1
1516978620,2530,2290,2530,2290,40
1516978680,2390,2420,2420,2390,4
1516979280,2400,2400,2400,2400,1
1516979520,2330,2370,2370,2330,2
1516979760,2180,2350,2350,2180,3
1516979820,2300,2300,2300,2300,1
1516980480,2250,2260,2260,2250,2
1517210640,2220,2220,2220,2220,1
1517214960,2250,2250,2250,2250,1
1517394540,2050,2190,2190,2050,6
1517394600,2200,2200,2200,2200,1
1517500080,2170,2170,2170,2170,1
1517555340,2160,2160,2160,2160,1
1517555400,2140,2140,2140,2140,2
1517830500,2170,2170,2170,2170,1
1517901840,2140,2140,2140,2140,1
1517916600,2110,2110,2110,2110,1
1517916840,2100,2070,2100,2070,2
1518077100,2020,2050,2050,2020,2
1518418860,2080,2080,2080,2080,1
1518621540,2050,2050,2050,2050,2
1518622620,2020,2020,2020,2020,1
1518623280,2080,2080,2080,2080,1
1518693780,2140,2140,2140,2140,1
1518693840,2100,2100,2100,2100,1
1519035000,2090,2100,2100,2090,2
1519040880,2120,2120,2120,2120,1
1519041000,2130,2130,2130,2130,1
1519110360,2120,2120,2120,2120,10
1519218240,2090,2100,2100,2090,2
1519636920,2130,2120,2130,2120,2
1519659120,2160,2160,2160,2160,1
1519719900,2100,2100,2100,2100,1
1519977600,2130,2130,2130,2130,1
1519982160,2200,2190,2350,2150,9
1519982220,2300,2240,2300,2240,3
1519982400,2270,2270,2270,2270,1
1519983960,2180,2190,2190,2180,2
1519984020,2110,2130,2130,2080,3
1519984380,2210,2160,2210,2160,2
1519986480,2240,2210,2240,2210,2
1519998420,2240,2240,2240,2240,1
1519998900,2240,2240,2240,2240,1
1520233740,2150,2150,2150,2150,1
1520238540,2150,2150,2150,2150,1
1520244720,2100,2100,2100,2100,1
1520258580,2100,2100,2100,2100,1
1520320080,2070,2080,2080,2070,2
1520321340,2060,2070,2070,2060,2
1520331120,2030,2030,2030,2030,1
1520331600,2050,2050,2050,2050,1
1520331660,2020,2020,2020,2020,2
1520331720,2020,2020,2020,2020,1
1520331840,2020,2020,2020,2020,1
1520336940,2050,2050,2050,2050,1
1520414820,2120,2090,2120,2090,2
1520603760,2130,2130,2130,2130,2
1520608920,2080,2100,2100,2080,4
1520853360,2000,2050,2050,2000,5
1520853420,2000,2000,2000,2000,1
1520858340,2070,2070,2070,2070,1
1520860920,2050,2050,2050,2050,1
1521011580,2040,2040,2040,2040,1
1521011640,2000,2000,2000,2000,1
1521012900,2320,2070,2320,2070,5
1521012960,2100,2100,2100,2100,1
1521014220,2050,2050,2050,2050,2
1521014280,2060,2080,2080,2060,2
1521014340,2050,2050,2050,2050,1
1521108240,2070,2070,2070,2070,1
1521122040,2030,2030,2030,2030,1
1521191940,2030,2030,2030,2030,2
1521459780,2020,2020,2020,2020,1
1521459840,2000,2000,2000,2000,3
1521467460,2030,2030,2030,2030,1
1521469380,2020,2020,2020,2020,2
1521473820,2010,2010,2010,2010,1
1521473940,2000,2000,2000,2000,1
1521540360,2000,2010,2010,2000,3
1521540420,2000,2000,2000,2000,1
1521639240,1990,1990,1990,1990,1
1521789240,2020,2020,2020,2020,1
1521789660,2020,2020,2020,2020,7
1521807420,2020,2020,2020,2020,1
1522052040,2030,2030,2030,2030,1
1522053780,2050,2050,2050,2050,1
1522655580,2100,2100,2100,2100,1
1522659300,2050,2050,2050,2050,1
1522676580,2090,2090,2090,2090,1
1522830840,2100,2100,2180,2100,4
1522830900,2130,2130,2130,2130,1
1522831380,2170,2150,2170,2150,3
1522837920,2140,2140,2140,2140,1
1522839480,2200,2170,2200,2170,2
1522919040,2190,2190,2190,2190,1
1522931700,2160,2160,2160,2160,1
1522932240,2140,2140,2140,2140,1
1522932420,2120,2120,2120,2120,1
1522941180,2150,2150,2150,2150,1
1523259960,2120,2120,2120,2120,1
1523269740,2100,2100,2100,2100,1
1523269800,2100,2100,2100,2100,1
1523279220,2070,2070,2070,2070,1
1523360040,2100,2100,2100,2100,1
1523619660,2130,2130,2130,2130,1
1523626380,2150,2150,2150,2150,1
1524039300,2160,2160,2160,2160,1
1524137940,2170,2170,2170,2170,2
1524219180,2180,2180,2180,2180,1
1524557700,2090,2090,2090,2090,1
1524645300,2120,2120,2120,2120,1
1524729720,2090,2090,2090,2090,1
1524929340,2120,2120,2120,2120,1
1524929940,2170,2170,2170,2170,1
1525096140,2070,2070,2070,2070,1
1525423500,2170,2170,2170,2170,1
1525683360,2180,2180,2180,2180,1
1525784160,2220,2160,2220,2160,10
1525784880,2250,2150,2250,2150,5
1525940340,2160,2160,2160,2160,1
1525941360,2190,2190,2190,2190,1
1525941420,2320,2320,2320,2320,1
1525941660,2250,2250,2250,2250,1
1525941780,2280,2280,2280,2280,1
1525944360,2280,2280,2280,2280,1
1526285340,2190,2190,2190,2190,1
