time,close,open,high,low,volume
1515152460,4200,3900,4200,3900,3
1515152520,3900,3900,3900,3900,1
1515165000,4000,4000,4000,4000,1
1515509520,4100,4100,4100,4100,1
1515569760,4000,4000,4000,4000,1
1515589140,4000,4000,4000,4000,1
1516101480,3900,3900,3900,3900,1
1516350960,4000,4000,4000,4000,1
1516362420,4000,4000,4000,4000,1
1516632240,3800,3800,3800,3800,2
1516634760,4000,4000,4000,4000,1
1516700220,4000,4000,4000,4000,1
1516785840,3900,3900,3900,3900,1
1516801260,4000,4000,4000,4000,1
1516978200,4100,4100,4200,4100,33
1516978320,4300,4200,4800,4200,17
1516978380,4500,4400,4500,4400,2
1516978560,4900,4500,4900,4500,18
1516978680,4900,4700,4900,4700,4
1516979340,4500,4200,4700,4000,17
1516979400,4600,4400,4600,4400,2
1516979520,4500,4300,4500,4300,3
1516979640,4500,4500,4500,4500,1
1516979760,4300,4300,4300,4300,1
1516979820,4200,4200,4200,4200,1
1516979940,4400,4200,4400,4000,19
1516980000,4100,4100,4100,4100,1
1516980240,4000,4000,4000,4000,7
1516980300,4000,4000,4000,4000,5
1516980480,4000,4000,4000,4000,18
1516981080,4000,4000,4000,4000,1
1516981680,4000,4000,4000,4000,1
1517215260,4000,4000,4000,4000,1
1517224140,3900,3900,3900,3900,1
1517224680,3900,3900,3900,3900,1
1517224860,3800,3800,3800,3800,3
1517224920,3800,3800,3800,3800,1
1517225220,3800,3800,3800,3800,1
1517225820,3700,3700,3700,3700,2
1517226540,3900,3900,3900,3900,1
1517233980,3900,3900,3900,3900,1
1517295900,4000,4000,4000,4000,1
1517305320,3900,3900,3900,3900,1
1517318400,4000,4000,4000,4000,2
1517324880,4000,4000,4000,4000,1
1517489100,3900,3900,3900,3900,2
1517493420,3900,3900,3900,3900,1
1517493480,3900,3900,3900,3900,1
1517555880,3900,3900,3900,3900,1
1517556360,3900,3900,3900,3900,1
1517559480,3800,3800,3800,3800,2
1517570340,3800,3800,3800,3800,1
1517574480,3900,3900,3900,3900,1
1517928000,3800,3800,3800,3800,1
1517928060,3800,3800,3800,3800,1
1518182640,3700,3700,3700,3700,1
1519715400,4000,4000,4000,4000,1
1519725600,4000,3900,4000,3900,5
1519746300,4000,4000,4000,4000,1
1519818900,3700,3700,3700,3700,1
1519820040,3900,3900,3900,3900,1
1519982520,4000,4000,4000,4000,1
1519982580,4000,4000,4000,4000,4
1520847600,4000,4000,4000,4000,3
1520947620,4000,4000,4000,4000,2
1521460500,3900,3800,3900,3800,3
1521472980,3900,3900,3900,3900,1
1521793500,4000,4000,4000,4000,1
1522056720,3900,3900,3900,3900,1
1522249380,3700,3700,3700,3700,2
1522249440,3800,3800,3800,3800,1
1522420740,3900,3900,3900,3900,1
1522655520,3900,3900,3900,3900,1
1522674420,3800,3800,3800,3800,1
1522677420,3800,3800,3800,3800,1
1522752360,3800,3800,3800,3800,1
1522766580,3800,3800,3800,3800,1
1522830780,3500,3600,3600,3500,2
1522830900,3700,3700,3700,3700,1
1522831380,3500,3600,3600,3500,2
1522839480,3500,3500,3500,3500,1
1522913040,3600,3700,3700,3600,2
1522914360,3700,3700,3700,3700,1
1522930500,3700,3700,3700,3700,1
1522930920,3500,3500,3500,3500,1
1523360160,4000,3900,4000,3900,2
1523368200,3800,3800,3800,3800,1
1523373960,3700,3700,3700,3700,1
1523455860,3500,3500,3500,3500,1
1523456340,3700,3700,3700,3700,1
1523547300,3500,3500,3500,3500,1
1523876700,3500,3500,3500,3500,1
1523951460,3700,3700,3700,3700,1
1523970960,3800,3800,3800,3800,1
1523971020,3800,3800,3800,3800,1
1524041160,3900,3800,3900,3800,2
1524047280,3400,3500,3500,3400,6
1524047820,3700,3700,3700,3700,1
1524052920,3600,3600,3600,3600,1
1524138000,3900,3800,3900,3800,2
1524150540,3600,3600,3600,3600,1
1524220980,3600,3600,3600,3600,1
1524229620,3700,3800,3800,3700,2
1524640320,3500,3500,3500,3500,1
1524640380,3600,3600,3600,3600,1
1524643800,3700,3700,3700,3700,2
1524650040,3700,3700,3700,3700,1
1524754140,3700,3700,3700,3700,1
1524836280,3600,3500,3600,3500,2
1524836580,3600,3600,3600,3600,1
1524838020,3600,3600,3600,3600,1
1524898860,3600,3600,3600,3600,1
1524903060,3600,3600,3600,3600,1
1525074060,3500,3500,3500,3500,2
1525074180,3500,3500,3500,3500,1
1525092480,3600,3700,3700,3600,2
1525100160,3600,3600,3600,3600,1
1525250640,3600,3600,3600,3600,1
1525251420,3500,3500,3500,3500,1
1525252920,3600,3600,3600,3600,1
1525255560,3600,3600,3600,3600,1
1525255620,3600,3600,3600,3600,1
1525348740,3700,3700,3700,3700,1
1525354620,3700,3700,3700,3700,1
1525438560,3500,3700,3700,3500,2
1525447080,3700,3700,3700,3700,1
1525708080,3800,3800,3800,3800,1
1525780800,3800,3800,3800,3800,5
1525781400,3900,3900,3900,3900,2
1525783620,4000,3900,4000,3900,2
1525784100,4000,4000,4000,4000,2
1525784160,4200,4200,4200,4200,1
1525787880,4000,4000,4000,4000,1
1526287980,4300,4100,4300,4100,7
1526289180,4400,4400,4400,4400,1
1526297220,4400,4200,4400,4200,7
1526297340,4400,4400,4400,4400,2
1526297700,4400,4400,4400,4400,1
1526298120,4100,4100,4100,4100,2
1526298180,4300,4300,4300,4300,1
1526304420,4000,4000,4000,4000,1
1526304480,4100,4100,4100,4100,1
1526305980,4000,4000,4000,4000,1
1526367720,4000,4000,4000,4000,1
1526368260,4000,4000,4000,4000,1
1526375760,4000,4000,4000,4000,1
1526375820,4000,4000,4000,4000,2
1526375940,4000,4000,4000,4000,1
1526377800,4000,4000,4000,4000,1
1526459700,3800,3800,3800,3800,1
1526460000,3900,3900,3900,3900,1
