time,close,open,high,low,volume
1514969040,7.3,7.3,7.3,7.3,2
1514986620,7.4,7.35,7.4,7.35,10
1514989500,7.25,7.25,7.25,7.25,1
1514989560,7.15,7.2,7.2,7.15,3
1515057000,7.25,7.25,7.25,7.25,1
1515057300,7.25,7.25,7.25,7.25,1
1515057420,7.3,7.3,7.3,7.3,1
1515057540,7.35,7.35,7.35,7.35,1
1515057660,7.45,7.4,7.45,7.4,10
1515066780,7.4,7.4,7.4,7.4,2
1515163800,7.4,7.4,7.4,7.4,1
1515165960,7.45,7.45,7.45,7.45,5
1515481440,7.35,7.35,7.35,7.35,1
1515481500,7.25,7.25,7.25,7.25,1
1515578820,7.4,7.4,7.4,7.4,2
1515584400,7.4,7.4,7.4,7.4,9
1515586440,7.4,7.4,7.4,7.4,6
1515586560,7.4,7.4,7.4,7.4,5
1515588480,7.4,7.4,7.4,7.4,5
1515590820,7.4,7.4,7.4,7.4,11
1515664260,7.4,7.4,7.4,7.4,4
1515678960,7.4,7.4,7.4,7.4,1
1515682920,7.4,7.4,7.4,7.4,12
1515741300,7.4,7.4,7.4,7.4,1
1515745200,7.4,7.4,7.4,7.4,2
1515747900,7.4,7.4,7.4,7.4,5
1515758100,7.4,7.4,7.4,7.4,4
1515759240,7.35,7.35,7.35,7.35,25
1515761100,7.4,7.4,7.4,7.4,8
1515764640,7.0,7.35,7.35,7.0,6126
1515764700,7.0,7.0,7.0,7.0,11
1515764760,7.0,7.0,7.0,7.0,5
1515764820,7.0,7.0,7.0,7.0,5
1515764940,7.0,7.0,7.0,7.0,5
1515765000,7.0,7.0,7.0,7.0,5
1515765240,7.0,7.0,7.0,7.0,738
1515765720,7.1,7.1,7.1,7.1,6
1515767340,7.1,7.1,7.1,7.1,1
1515768240,7.2,7.15,7.2,7.15,23
1515768540,7.25,7.2,7.25,7.2,10
1516001820,7.1,7.15,7.15,7.0,40
1516002060,7.1,7.1,7.1,7.1,2
1516002960,7.1,7.1,7.1,7.1,1
1516005420,7.1,7.1,7.1,7.1,1
1516005900,7.1,7.1,7.1,7.1,1
1516009080,7.1,7.1,7.1,7.1,1
1516025400,7.1,7.1,7.1,7.1,1
1516026360,7.1,7.1,7.1,7.1,1
1516029480,7.1,7.1,7.1,7.1,82
1516030260,7.25,7.15,7.25,7.15,16
1516085940,7.2,7.2,7.2,7.2,1
1516113360,7.2,7.2,7.2,7.2,1
1516183440,7.15,7.15,7.15,7.15,1
1516183800,7.1,7.1,7.1,7.1,4
1516202220,7.3,7.2,7.3,7.2,296
1516261800,7.35,7.3,7.35,7.3,6
1516264920,7.35,7.35,7.35,7.35,3
1516271820,7.35,7.35,7.35,7.35,8
1516272060,7.35,7.35,7.35,7.35,1
1516275540,7.4,7.4,7.4,7.4,2
1516287780,7.35,7.3,7.35,7.3,2
1516351860,7.4,7.35,7.4,7.35,9
1516356900,7.4,7.35,7.4,7.35,7
1516357440,7.25,7.25,7.25,7.25,3
1516357500,7.25,7.25,7.25,7.25,2
1516370580,7.25,7.25,7.25,7.25,1
1516373760,7.25,7.25,7.25,7.25,1000
1516373820,7.25,7.25,7.25,7.25,160
1516607820,7.4,7.4,7.4,7.4,4
1516627860,7.2,7.25,7.25,7.2,2
1516627920,7.2,7.2,7.2,7.2,3
1516630560,7.3,7.2,7.3,7.2,4
1516630620,7.35,7.35,7.35,7.35,1
1516634700,7.4,7.35,7.4,7.35,55
1516716960,7.2,7.25,7.25,7.2,2
1516717020,7.1,7.15,7.15,7.1,21
1516717080,7.05,7.1,7.1,7.05,13
1516717140,7.0,7.0,7.0,7.0,7
1516719180,7.25,7.1,7.25,7.1,23
1516780920,7.3,7.3,7.3,7.3,1
1516780980,7.35,7.35,7.35,7.35,3
1516804440,7.4,7.3,7.4,7.3,12
1516805520,7.2,7.25,7.25,7.2,2
1516805580,7.2,7.2,7.2,7.2,3
1516877340,7.25,7.25,7.25,7.25,1
1516885380,7.4,7.35,7.4,7.35,8
1516889700,7.4,7.4,7.4,7.4,20
1516894260,7.35,7.35,7.35,7.35,1
1516951200,7.35,7.35,7.35,7.35,2
1516970700,7.3,7.3,7.3,7.3,1
1517209320,7.3,7.3,7.3,7.3,1
1517209380,7.05,7.25,7.25,7.05,30
1517209440,7.15,7.15,7.15,7.15,1
1517210040,7.15,7.15,7.15,7.15,1
1517219520,7.25,7.2,7.25,7.2,6
1517231580,7.25,7.25,7.25,7.25,5
1517299140,7.35,7.25,7.35,7.25,3
1517301660,7.4,7.35,7.4,7.35,106
1517301720,7.25,7.3,7.3,7.25,2
1517312040,7.45,7.35,7.45,7.35,6
1517322060,7.45,7.45,7.45,7.45,7
1517322720,7.5,7.5,7.5,7.5,3
1517324400,7.5,7.5,7.5,7.5,4
1517383800,7.4,7.3,7.4,7.3,2
1517389020,7.6,7.5,7.6,7.5,7
1517390220,8.2,7.6,10.05,7.6,867
1517390280,8.4,8.2,8.4,8.2,7
1517390340,8.65,8.45,8.65,8.45,8
1517390460,8.85,8.7,8.85,8.7,10
1517390640,7.4,8.7,8.7,7.4,83
1517390700,7.4,7.4,7.4,7.4,25
1517390760,7.4,7.4,7.4,7.4,10
1517391240,7.4,7.4,7.4,7.4,100
1517391300,7.4,7.4,7.4,7.4,100
1517391360,7.4,7.4,7.4,7.4,1
1517391420,7.4,7.4,7.4,7.4,1
1517391660,7.4,7.4,7.4,7.4,7
1517392560,7.4,7.4,7.4,7.4,2
1517392620,7.4,7.4,7.4,7.4,5
1517393460,7.35,7.35,7.35,7.35,1
1517393940,7.35,7.35,7.35,7.35,3
1517394060,7.35,7.35,7.35,7.35,2
1517394180,7.35,7.35,7.35,7.35,10
1517394240,7.35,7.35,7.35,7.35,42
1517394360,7.4,7.4,7.4,7.4,10
1517394420,7.4,7.4,7.4,7.4,10
1517395440,7.4,7.4,7.4,7.4,3
1517395860,7.4,7.4,7.4,7.4,5
1517396100,7.4,7.4,7.4,7.4,1
1517397120,7.3,7.3,7.3,7.3,1
1517397180,7.2,7.25,7.25,7.2,5
1517397420,7.35,7.3,7.35,7.3,5
1517397480,7.4,7.4,7.4,7.4,2
