time,close,open,high,low,volume
1514989860,5.66,5.66,5.66,5.66,1
1515584640,5.75,5.75,5.75,5.75,5
1515660600,5.84,5.84,5.84,5.84,1
1516261080,5.86,6.0,6.0,5.86,2
1516275600,5.98,5.98,5.98,5.98,1
1516275660,6.0,6.0,6.0,6.0,1
1516281000,5.95,5.95,5.95,5.95,1
1516287420,5.95,5.95,5.95,5.95,1
1516346160,6.0,6.0,6.0,6.0,2
1516357320,5.9,5.9,5.9,5.9,1
1516374180,5.9,5.9,5.9,5.9,37
1516612140,6.04,6.04,6.04,6.04,1
1516626720,5.95,5.96,5.96,5.95,2
1516626780,5.95,5.95,5.95,5.95,1
1516632600,5.95,5.95,5.95,5.95,1
1516719720,5.91,5.91,5.91,5.91,1
1516778640,5.76,5.77,5.77,5.76,9
1516779000,5.8,5.8,5.8,5.8,1
1516786080,5.84,5.84,5.84,5.84,1
1516790040,5.9,5.9,5.9,5.9,13
1516793940,5.79,5.81,5.81,5.79,4
1516795020,5.8,5.8,5.8,5.8,7
1516797900,6.0,5.99,6.0,5.99,2
1516887720,6.0,6.0,6.0,6.0,5
1517301420,6.0,6.0,6.0,6.0,10
1517301540,6.0,6.0,6.0,6.0,1
1517301900,6.2,6.08,6.5,6.08,12
1517321100,6.03,6.03,6.03,6.03,1
1517390580,6.55,6.14,6.55,6.14,80
1517390640,6.0,6.27,6.27,6.0,5
1517390880,6.55,6.0,6.55,6.0,50
1517390940,6.2,6.2,6.2,6.2,1
1517392080,6.4,6.34,6.4,6.34,3
1517392320,6.58,6.55,6.58,6.55,2
1517393160,6.88,6.64,6.88,6.6,15
1517393520,6.71,6.71,6.71,6.71,1
1517393760,6.69,6.69,6.69,6.69,1
1517394540,6.69,6.6,6.69,6.6,50
1517394720,6.7,6.7,6.7,6.7,4
1517394840,6.7,6.7,6.7,6.7,4
1517395860,6.8,6.79,6.8,6.79,2
1517396880,6.44,6.44,6.44,6.44,1
1517397420,6.6,6.6,6.6,6.6,1
1517399580,6.43,6.43,6.43,6.43,2
1517400120,6.17,6.17,6.17,6.17,3
1517400180,6.0,6.01,6.01,6.0,3
1517400240,5.84,5.84,5.84,5.84,1
1517408700,5.95,5.95,5.95,5.95,1
1517470140,5.95,5.95,5.95,5.95,1
1517480280,6.08,6.08,6.08,6.08,1
1517487480,6.2,6.2,6.2,6.2,10
1517487540,6.2,6.2,6.2,6.2,1
1517900460,6.0,6.06,6.06,5.97,3
1518011040,5.8,5.87,5.87,5.55,12
1518011340,5.88,5.88,5.88,5.88,7
1518012540,5.88,5.88,5.88,5.88,2
