time,close,open,high,low,volume
1514967180,0.26,0.262,0.262,0.26,7
1514975760,0.26,0.26,0.26,0.26,3
1514976060,0.262,0.262,0.262,0.262,2
1514976840,0.26,0.26,0.26,0.26,146
1514982420,0.26,0.26,0.26,0.26,2
1514987640,0.259,0.259,0.259,0.259,1
1514990280,0.258,0.258,0.258,0.258,2
1514993940,0.26,0.26,0.26,0.26,1
1515052020,0.26,0.26,0.26,0.26,1
1515052440,0.261,0.26,0.261,0.26,2
1515053220,0.259,0.259,0.259,0.259,1
1515062460,0.26,0.26,0.26,0.26,1
1515075540,0.259,0.259,0.259,0.259,1
1515078420,0.259,0.259,0.259,0.259,1
1515142440,0.261,0.26,0.261,0.26,2
1515157380,0.26,0.26,0.26,0.26,1
1515161880,0.259,0.259,0.259,0.259,2
1515484920,0.258,0.259,0.259,0.258,2
1515493500,0.26,0.26,0.26,0.26,1
1515494340,0.26,0.26,0.26,0.26,4
1515494460,0.26,0.26,0.26,0.26,9
1515494520,0.26,0.26,0.26,0.26,3
1515495660,0.261,0.261,0.261,0.261,1
1515501540,0.26,0.26,0.26,0.26,1
1515504480,0.259,0.259,0.259,0.259,2
1515509160,0.259,0.259,0.259,0.259,2
1515567960,0.26,0.26,0.26,0.26,3
1515568020,0.261,0.262,0.262,0.261,2
1515568080,0.262,0.262,0.262,0.262,1
1515569580,0.261,0.261,0.261,0.261,2
1515570180,0.261,0.261,0.261,0.261,1
1515571680,0.261,0.261,0.261,0.261,4
1515573060,0.262,0.262,0.262,0.262,4
1515574260,0.262,0.262,0.262,0.262,1
1515574440,0.261,0.261,0.261,0.261,2
1515580920,0.261,0.261,0.261,0.261,4
1515585960,0.261,0.261,0.261,0.261,1
1515592920,0.261,0.261,0.261,0.261,4
1515662940,0.26,0.26,0.26,0.26,1
1515666120,0.26,0.26,0.26,0.26,3
1515667320,0.263,0.261,0.263,0.261,3
1515670860,0.261,0.261,0.261,0.261,2
1515671100,0.261,0.261,0.261,0.261,2
1515671160,0.26,0.26,0.26,0.26,1
1515671220,0.26,0.26,0.26,0.26,2
1515675180,0.262,0.262,0.262,0.262,2
1515746520,0.26,0.26,0.26,0.26,1
1515747840,0.261,0.261,0.261,0.261,1
1515749220,0.26,0.26,0.26,0.26,1
1515756120,0.261,0.261,0.261,0.261,2
1516000260,0.261,0.261,0.261,0.261,2
