time,close,open,high,low,volume
1514987100,0.251,0.251,0.251,0.251,1
1514987940,0.252,0.252,0.252,0.252,1
1514989380,0.25,0.251,0.251,0.25,3
1514989500,0.25,0.25,0.25,0.25,2
1514993460,0.254,0.253,0.254,0.253,2
1515066780,0.25,0.251,0.251,0.25,5
1515142440,0.254,0.254,0.254,0.254,2
1515158520,0.25,0.251,0.251,0.25,4
1515160680,0.25,0.25,0.25,0.25,1
1515162900,0.249,0.249,0.249,0.249,3
1515481140,0.249,0.249,0.249,0.249,1
1515483000,0.248,0.248,0.248,0.248,4
1515483660,0.248,0.248,0.248,0.248,1
1515487680,0.25,0.25,0.25,0.25,9
1515488100,0.25,0.25,0.25,0.25,11
1515501480,0.248,0.248,0.248,0.248,4
1515501540,0.248,0.248,0.248,0.248,1
1515504180,0.247,0.248,0.248,0.247,7
1515504240,0.247,0.247,0.247,0.247,13
1515504420,0.247,0.247,0.247,0.247,2
1515505260,0.247,0.247,0.247,0.247,2
1515505740,0.247,0.247,0.247,0.247,1
1515506340,0.247,0.247,0.247,0.247,1
1515507540,0.246,0.246,0.246,0.246,9
1515509400,0.247,0.247,0.247,0.247,1
1515571980,0.249,0.249,0.249,0.249,1
1515572820,0.25,0.25,0.25,0.25,6
1515573000,0.251,0.251,0.251,0.251,2
1515574020,0.252,0.252,0.252,0.252,7
1515574080,0.252,0.252,0.252,0.252,4
1515576120,0.252,0.252,0.252,0.252,5
1515577680,0.253,0.253,0.253,0.253,4
1515580620,0.253,0.253,0.253,0.253,2
1515588420,0.256,0.254,0.256,0.254,5
1515596760,0.256,0.256,0.256,0.256,1
1515661620,0.25,0.254,0.254,0.25,10
1515670140,0.252,0.252,0.252,0.252,1
1515670200,0.25,0.251,0.251,0.25,4
1515674340,0.251,0.251,0.251,0.251,1
1515681960,0.253,0.253,0.253,0.253,1
1515682200,0.253,0.253,0.253,0.253,1
1515684120,0.253,0.253,0.253,0.253,3
1515684240,0.251,0.251,0.251,0.251,1
1515744120,0.254,0.254,0.254,0.254,1
1515749340,0.254,0.254,0.254,0.254,1
1516004100,0.249,0.25,0.25,0.249,2
1516004400,0.249,0.249,0.249,0.249,1
1516004580,0.249,0.249,0.249,0.249,2
1516005480,0.249,0.249,0.249,0.249,1
1516007940,0.248,0.248,0.248,0.248,2
1516008540,0.248,0.248,0.248,0.248,1
1516009560,0.248,0.248,0.248,0.248,1
1516013160,0.249,0.249,0.249,0.249,2
1516023360,0.248,0.248,0.248,0.248,5
1516023960,0.253,0.253,0.253,0.253,1
1516024920,0.253,0.253,0.253,0.253,1
1516086060,0.25,0.25,0.25,0.25,2
1516086660,0.25,0.25,0.25,0.25,1
