time,close,open,high,low,volume
1514982240,88.5,88.5,88.5,88.5,1
1515078360,80.0,80.5,80.5,80.0,2
1515740520,105.0,105.0,105.0,105.0,1
1516188120,91.0,91.0,91.0,91.0,1
1516189500,102.5,102.5,102.5,102.5,1
1516198140,84.5,84.5,84.5,84.5,1
1516260120,97.0,97.0,97.0,97.0,1
1516619400,94.5,94.0,94.5,94.0,2
1516621680,99.0,99.0,99.0,99.0,1
1516624680,99.0,99.0,99.0,99.0,1
1516635540,93.0,93.0,93.0,93.0,1
1517396100,95.0,95.0,95.0,95.0,1
1517483340,91.0,91.0,91.0,91.0,1
1517900640,74.0,74.0,74.0,74.0,1
1517901120,95.0,95.0,95.0,95.0,1
1517905680,90.0,90.0,90.0,90.0,1
1517912220,90.0,90.0,90.0,90.0,1
1517913540,90.0,90.0,90.0,90.0,1
1518174960,100.0,100.0,100.0,100.0,1
1518175020,99.5,99.5,99.5,99.5,1
1518178380,99.5,99.5,99.5,99.5,1
1518770100,90.5,90.5,90.5,90.5,1
1518773100,97.0,97.0,97.0,97.0,1
1519221060,89.0,89.0,89.0,89.0,1
1519221120,89.0,89.0,89.0,89.0,1
1519221420,98.5,98.5,98.5,98.5,1
1520330700,92.0,92.0,92.0,92.0,1
1523021820,102.0,102.0,102.0,102.0,1
1523280960,79.5,79.5,79.5,79.5,1
1523281080,80.5,80.5,80.5,80.5,1
1524555240,72.0,73.0,73.0,72.0,4
1524556800,82.0,82.0,82.0,82.0,1
1526570460,65.5,65.5,65.5,65.5,40
1526571240,69.5,69.5,69.5,69.5,1
1526571300,70.0,70.0,70.0,70.0,3
1526571360,83.5,70.0,83.5,70.0,2
1526896080,68.0,70.0,70.0,68.0,2
1526896380,70.0,70.0,70.0,70.0,10
1526896560,71.0,71.0,71.0,71.0,1
1526897820,68.0,68.0,68.0,68.0,1
1526899140,68.0,68.0,68.0,68.0,1
1526910180,71.0,71.0,71.0,71.0,10
1526912640,70.0,70.0,70.0,70.0,1
1526912940,71.0,71.0,71.0,71.0,7
1526913780,68.5,70.0,70.0,68.5,2
1526914440,71.0,71.0,71.0,71.0,1
1526915400,68.5,68.5,68.5,68.5,1
1527061860,70.0,70.0,70.0,70.0,1
1527062280,70.0,70.0,70.0,70.0,1
1527075240,70.0,70.0,70.0,70.0,1
1527234840,72.5,72.5,72.5,72.5,1
1527495600,68.0,65.0,68.0,65.0,2
1527498600,70.0,70.0,70.0,70.0,1
1527515340,70.0,70.0,70.0,70.0,10
1528876800,65.5,65.5,65.5,65.5,2
1528904700,67.0,67.0,67.0,67.0,1
1529397300,70.0,72.5,72.5,70.0,2
1529397360,90.0,72.0,90.0,72.0,15
1529397420,76.0,76.0,76.0,76.0,1
1529397540,89.0,89.0,89.0,89.0,1
1529397780,92.5,85.0,92.5,85.0,4
1529401920,80.0,80.0,80.0,80.0,1
1529407860,81.0,81.0,81.0,81.0,2
1529410440,81.5,81.5,81.5,81.5,2
1529419620,83.0,83.0,83.0,83.0,2
1529484840,116.0,96.5,116.0,96.5,14
1529485200,86.5,86.5,86.5,86.5,1
1529485500,90.0,90.0,90.0,90.0,1
1529485860,95.0,112.0,116.0,95.0,4
1529486220,96.5,96.5,96.5,96.5,1
1529486280,99.0,99.0,99.0,99.0,1
1529488200,90.5,90.5,90.5,90.5,1
1529490120,104.0,104.0,104.0,104.0,1
1529490900,106.0,106.0,106.0,106.0,1
1529506260,100.0,100.0,100.0,100.0,1
1529508600,96.5,98.0,98.0,96.5,2
1529509140,115.0,100.0,115.0,100.0,15
1529564400,92.5,92.5,92.5,92.5,8
1529564820,112.0,112.0,112.0,112.0,5
1529564880,92.5,92.5,92.5,92.5,5
1529565120,95.5,95.5,95.5,95.5,1
1529565240,105.0,105.0,105.0,105.0,2
1529575800,105.0,105.0,105.0,105.0,1
1529586600,122.0,110.0,122.0,110.0,4
1529587320,92.0,102.5,102.5,92.0,10
1529588820,101.5,101.5,101.5,101.5,1
1529595540,121.0,102.0,121.0,102.0,12
1529650920,159.0,122.5,159.0,122.5,25
1529650980,159.0,130.0,159.0,130.0,10
1529651340,167.0,167.0,167.0,167.0,2
1529654040,157.0,157.0,157.0,157.0,3
1529656740,123.5,125.0,125.0,123.5,2
1529917560,120.0,120.0,120.0,120.0,2
1530263640,140.0,139.5,140.0,139.5,2
1530277440,144.0,143.0,144.0,143.0,2
1530277800,145.5,145.5,145.5,145.5,1
1531739100,103.5,103.5,103.5,103.5,1
1533280320,103.0,103.0,103.0,103.0,1
1533280380,103.0,103.0,103.0,103.0,1
1533565020,95.0,95.0,95.0,95.0,1
1533565200,98.0,98.0,98.0,98.0,1
1534317540,96.0,86.0,96.0,86.0,2
1538034300,105.0,121.0,124.0,105.0,5
1538034600,105.0,105.0,105.0,105.0,1
1538984520,97.0,97.0,97.0,97.0,2
1538993400,98.0,98.0,98.0,98.0,1
1541747640,77.0,83.0,83.0,77.0,2
1545982260,123.0,100.0,123.0,100.0,2
1545984720,100.0,100.0,100.0,100.0,1
1545985560,73.0,73.0,73.0,73.0,1
1548170220,90.0,90.0,90.0,90.0,1
1548170280,98.0,98.0,98.0,98.0,1
1548170580,98.0,96.0,98.0,96.0,2
1548171540,98.0,98.0,98.0,98.0,1
1548680760,119.0,119.0,119.0,119.0,1
1548853140,120.0,120.0,120.0,120.0,1
1548853320,110.0,110.0,110.0,110.0,1
1549448640,110.0,110.0,110.0,110.0,1
1550487780,116.0,116.0,116.0,116.0,1
1550487840,110.0,110.0,110.0,110.0,1
1550488080,118.0,116.0,118.0,116.0,2
1550488260,128.0,128.0,128.0,128.0,1
1550488380,130.0,130.0,130.0,130.0,1
1550488620,130.0,130.0,130.0,130.0,1
1550489940,140.0,128.0,140.0,128.0,2
1550490900,150.0,150.0,150.0,150.0,1
1550491200,150.0,150.0,150.0,150.0,1
1550494740,146.0,146.0,146.0,146.0,1
1550501340,146.0,146.0,146.0,146.0,1
1550504340,116.0,116.0,116.0,116.0,1
1550559600,150.0,150.0,150.0,150.0,1
1550560140,150.0,150.0,150.0,150.0,1
1550560500,160.0,150.0,160.0,150.0,2
1550560920,160.0,160.0,160.0,160.0,1
1550561100,162.0,162.0,162.0,162.0,1
1550561580,160.0,160.0,160.0,160.0,1
1550563200,158.0,158.0,158.0,158.0,1
1550563620,162.0,162.0,162.0,162.0,1
1550564100,160.0,160.0,160.0,160.0,3
1550564280,162.0,162.0,162.0,162.0,1
1550564400,160.0,160.0,160.0,160.0,3
1550564880,162.0,162.0,162.0,162.0,1
1550565420,160.0,160.0,160.0,160.0,1
1550565780,160.0,160.0,160.0,160.0,1
1550565900,160.0,160.0,160.0,160.0,1
1550566500,162.0,162.0,162.0,162.0,1
1550566740,160.0,160.0,160.0,160.0,1
1550566800,160.0,160.0,160.0,160.0,1
1550568600,160.0,162.0,162.0,160.0,2
1550569920,146.0,146.0,146.0,146.0,1
1550570280,150.0,150.0,150.0,150.0,1
1550570700,148.0,148.0,148.0,148.0,1
1550575560,138.0,138.0,138.0,138.0,1
1550575620,114.0,130.0,130.0,114.0,2
1550575980,112.0,114.0,114.0,112.0,2
1550576040,110.0,110.0,110.0,110.0,2
1550576340,142.0,142.0,142.0,142.0,1
1550576640,118.0,118.0,118.0,118.0,1
1550576700,146.0,146.0,146.0,146.0,1
1550577240,126.0,126.0,126.0,126.0,1
1550582160,150.0,150.0,150.0,150.0,1
1550646240,190.0,190.0,190.0,190.0,1
1550646300,180.0,180.0,180.0,180.0,1
1550646480,174.0,174.0,174.0,174.0,1
1550648340,158.0,158.0,158.0,158.0,1
1550651100,142.0,142.0,142.0,142.0,1
1550651280,140.0,140.0,140.0,140.0,5
1550651640,140.0,140.0,140.0,140.0,6
1550651700,140.0,140.0,140.0,140.0,1
1550657700,140.0,140.0,140.0,140.0,1
1550659080,140.0,140.0,140.0,140.0,1
1550660580,160.0,160.0,160.0,160.0,1
1553250120,160.0,160.0,160.0,160.0,3
1553266080,140.0,140.0,140.0,140.0,1
1553266320,130.0,130.0,130.0,130.0,1
1553266380,130.0,130.0,130.0,130.0,1
1553501340,108.0,114.0,114.0,108.0,7
1553523240,156.0,156.0,156.0,156.0,1
1553525700,108.0,112.0,112.0,108.0,4
1553525760,110.0,110.0,110.0,110.0,12
1553525820,110.0,110.0,110.0,110.0,2
1553526060,116.0,116.0,116.0,116.0,1
1553526180,116.0,116.0,116.0,116.0,1
1553584020,118.0,118.0,118.0,118.0,1
1553584200,120.0,120.0,120.0,120.0,1
1553584860,134.0,134.0,134.0,134.0,1
1553585040,134.0,134.0,134.0,134.0,1
1553585640,132.0,132.0,132.0,132.0,1
1553586060,132.0,132.0,132.0,132.0,2
1553586120,126.0,132.0,132.0,126.0,2
1553586300,132.0,132.0,132.0,132.0,1
1553586480,132.0,132.0,132.0,132.0,1
1553587620,132.0,132.0,132.0,132.0,1
1553588700,132.0,132.0,132.0,132.0,1
1553591040,120.0,120.0,120.0,120.0,1
1553685060,118.0,118.0,118.0,118.0,1
1553688540,118.0,118.0,118.0,118.0,1
1554191100,118.0,118.0,118.0,118.0,1
1555052760,160.0,160.0,160.0,160.0,2
1555053000,110.0,110.0,110.0,110.0,1
1555053900,118.0,118.0,118.0,118.0,1
1555056300,118.0,118.0,118.0,118.0,1
1555066800,118.0,118.0,118.0,118.0,1
1555068420,118.0,118.0,118.0,118.0,1
1555068480,114.0,114.0,114.0,114.0,1
1555312140,110.0,140.0,140.0,110.0,2
1555313460,134.0,134.0,134.0,134.0,1
1555315440,130.0,130.0,130.0,130.0,1
1555315560,130.0,130.0,130.0,130.0,1
1555315620,116.0,138.0,146.0,116.0,4
1555315980,130.0,130.0,130.0,130.0,1
1555316040,120.0,120.0,120.0,120.0,1
1555398480,140.0,140.0,140.0,140.0,1
1555399620,140.0,140.0,140.0,140.0,1
1555484580,170.0,154.0,170.0,154.0,2
1555484640,170.0,170.0,170.0,170.0,2
1555484820,170.0,170.0,170.0,170.0,1
1555484940,182.0,182.0,182.0,182.0,1
1555485660,180.0,180.0,180.0,180.0,2
1555486020,148.0,148.0,148.0,148.0,1
1555486500,148.0,148.0,148.0,148.0,1
1555486680,148.0,148.0,148.0,148.0,1
1555486860,166.0,166.0,166.0,166.0,1
1555487160,182.0,180.0,182.0,180.0,3
1555487880,154.0,154.0,154.0,154.0,2
1555488060,156.0,156.0,156.0,156.0,1
1555488720,176.0,176.0,176.0,176.0,1
1555490100,176.0,176.0,176.0,176.0,2
1555490640,174.0,174.0,174.0,174.0,1
1555492320,162.0,162.0,162.0,162.0,1
1555492380,162.0,162.0,162.0,162.0,1
1555492440,156.0,156.0,156.0,156.0,1
1555492500,154.0,154.0,154.0,154.0,1
1555492560,154.0,154.0,154.0,154.0,2
1555492680,176.0,160.0,176.0,160.0,4
1555503960,170.0,170.0,170.0,170.0,1
1555505760,174.0,174.0,174.0,174.0,1
1555505820,174.0,174.0,174.0,174.0,1
1555506000,180.0,180.0,180.0,180.0,1
1555506120,180.0,180.0,180.0,180.0,1
1555511520,180.0,180.0,180.0,180.0,1
1555513680,180.0,180.0,180.0,180.0,1
1555515480,182.0,180.0,182.0,180.0,2
1555571580,214.0,214.0,214.0,214.0,1
1555572480,214.0,214.0,214.0,214.0,2
1555573680,250.0,250.0,250.0,250.0,1
1555575420,180.0,180.0,180.0,180.0,1
1555576740,178.0,178.0,178.0,178.0,1
1555584000,178.0,178.0,178.0,178.0,1
1555661040,170.0,170.0,170.0,170.0,1
1555661700,190.0,190.0,190.0,190.0,1
1555662480,200.0,200.0,200.0,200.0,1
1555662660,212.0,212.0,212.0,212.0,1
1555662720,214.0,214.0,214.0,214.0,1
1555664580,214.0,214.0,214.0,214.0,1
1555665420,230.0,230.0,230.0,230.0,1
1555666020,240.0,240.0,240.0,240.0,1
1555669920,244.0,244.0,244.0,244.0,1
1555670280,220.0,220.0,220.0,220.0,1
1555683840,248.0,248.0,248.0,248.0,1
1555685040,172.0,216.0,216.0,172.0,4
1555687380,218.0,216.0,218.0,216.0,2
1555688340,192.0,192.0,192.0,192.0,1
1555918200,192.0,192.0,192.0,192.0,1
1555920600,182.0,184.0,184.0,182.0,2
1555923240,174.0,174.0,174.0,174.0,1
1555924320,164.0,174.0,174.0,164.0,3
1555925880,170.0,170.0,170.0,170.0,2
1555927200,170.0,170.0,170.0,170.0,2
1555927440,188.0,188.0,188.0,188.0,1
1555927560,172.0,172.0,172.0,172.0,1
1555928280,170.0,170.0,170.0,170.0,1
1555928340,172.0,172.0,172.0,172.0,1
1555928880,170.0,172.0,172.0,170.0,2
1555929180,172.0,172.0,172.0,172.0,1
1555941240,170.0,170.0,170.0,170.0,1
