time,close,open,high,low,volume
1515743040,98.9,98.9,98.9,98.9,1
1515744000,98.9,98.9,98.9,98.9,1
1515745680,98.9,98.9,98.9,98.9,1
1515761400,81.1,81.1,81.1,81.1,1
1515761580,96.7,96.7,96.7,96.7,1
1516020780,95.0,94.9,95.0,94.9,2
1516091100,103.9,103.9,103.9,103.9,1
1516365720,85.0,85.0,85.0,85.0,1
1516374480,98.0,98.0,98.0,98.0,1
1516626240,99.9,99.9,99.9,99.9,1
1516979880,101.1,101.1,101.1,101.1,1
1517396040,98.0,98.0,98.0,98.0,1
1517485260,88.0,90.0,90.0,88.0,3
1519215420,87.1,87.1,87.1,87.1,1
1519223220,85.0,80.1,85.0,80.0,12
1519646220,81.1,81.1,81.1,81.1,1
1519648740,86.9,86.9,86.9,86.9,1
1519650000,80.0,80.0,80.0,80.0,3
1519650060,80.0,80.0,80.0,80.0,1
1519650180,80.0,80.0,80.0,80.0,3
1520320080,75.0,80.0,80.0,75.0,3
1520323320,80.0,80.0,80.0,80.0,1
1520324520,80.0,80.0,80.0,80.0,1
1521732840,85.0,85.0,85.0,85.0,1
1521733080,84.0,84.0,84.0,84.0,1
1522421880,84.0,84.0,84.0,84.0,1
1522656660,77.1,77.1,77.1,77.1,1
1522656840,95.0,96.9,96.9,95.0,2
1522848360,77.4,77.4,77.4,77.4,1
1522849920,82.0,82.0,82.0,82.0,1
1522853760,92.7,92.7,92.7,92.7,1
1522919520,91.9,91.9,91.9,91.9,1
1522925520,80.0,80.0,80.0,80.0,4
1522925580,80.0,80.0,80.0,80.0,4
1522927800,81.0,81.0,81.0,81.0,1
1522929540,82.0,82.0,82.0,82.0,1
1522935240,81.0,81.0,81.0,81.0,1
1523000220,85.5,85.5,85.5,85.5,1
1523266380,78.4,78.4,78.4,78.4,1
1523275440,82.9,82.9,82.9,82.9,1
1524553800,77.0,77.0,77.0,77.0,4
1524555300,78.0,78.0,78.0,78.0,1
1524574200,77.9,77.9,77.9,77.9,1
1524839400,77.0,77.8,77.8,77.0,3
1524843360,76.0,75.0,76.0,67.0,11
1524844140,70.4,70.4,70.4,70.4,1
1524898980,80.0,80.0,80.0,80.0,1
1524899040,78.0,76.0,78.0,76.0,2
1524899340,79.5,79.5,79.5,79.5,1
1525771440,70.0,70.0,70.0,70.0,7
1525771620,75.8,75.8,75.8,75.8,2
1525793940,71.9,71.9,71.9,71.9,2
1525936620,77.5,77.5,77.5,77.5,1
1527231960,63.9,64.2,64.2,63.9,2
1527232020,68.0,68.0,68.0,68.0,1
1527521880,70.0,70.0,70.0,70.0,2
1529397120,97.0,77.0,97.0,77.0,20
1529397300,96.5,78.0,96.5,78.0,5
1529397480,82.0,82.0,82.0,82.0,2
1529398440,84.0,97.0,97.0,84.0,2
1529398500,97.0,86.0,97.0,86.0,3
1529410920,93.0,93.0,93.0,93.0,1
1529484900,124.0,90.0,124.0,90.0,21
1529485860,127.7,124.0,127.7,124.0,2
1529564760,161.0,123.7,161.0,123.7,56
1529565420,100.3,100.3,100.3,100.3,1
1529575200,103.0,103.2,103.2,103.0,4
1529575260,103.0,103.0,103.0,103.0,1
1529586480,122.6,119.9,122.6,119.9,4
1529595300,122.6,122.0,122.6,122.0,4
1529656740,104.0,107.0,107.0,104.0,6
1529656800,104.0,104.0,104.0,104.0,1
1529656920,104.0,104.0,104.0,104.0,1
1529656980,104.0,104.0,104.0,104.0,1
1529657040,104.0,104.0,104.0,104.0,12
1529659380,110.0,110.0,110.0,110.0,1
1529670180,106.3,106.3,106.3,106.3,1
1529672400,106.4,106.4,106.4,106.4,1
1529923500,110.9,110.9,110.9,110.9,1
1529997840,111.1,111.0,111.1,111.0,7
1530107280,112.5,112.4,112.5,112.4,2
1530113160,113.6,113.4,113.6,113.4,3
1530786780,94.1,94.1,94.1,94.1,2
1531728540,97.5,97.5,97.5,97.5,1
1531928220,95.0,95.0,95.0,95.0,3
1532355060,94.1,94.1,94.1,94.1,1
1532357160,94.0,94.0,94.0,94.0,1
1536045720,92.0,88.0,94.0,88.0,5
1536047040,90.0,90.0,90.0,90.0,1
1536828960,88.0,87.0,88.0,87.0,2
1537785360,84.0,81.0,84.0,81.0,4
1537796100,75.0,76.0,76.0,75.0,3
1537799160,80.0,80.0,80.0,80.0,1
1540288800,80.0,80.0,80.0,80.0,1
1540366380,87.0,87.0,87.0,87.0,1
1540566900,74.0,74.0,74.0,74.0,1
1541514420,77.0,77.0,77.0,77.0,1
1541518500,78.0,78.0,78.0,78.0,2
1541772840,74.0,70.0,74.0,70.0,2
1542197580,74.0,65.0,74.0,65.0,2
1543244400,72.0,67.0,72.0,67.0,2
1544110680,67.0,67.0,67.0,67.0,1
1544110740,68.0,70.0,70.0,68.0,2
1544177940,69.0,69.0,69.0,69.0,1
1545726600,66.0,65.0,66.0,57.0,9
1545924960,62.0,62.0,62.0,62.0,1
1545925500,64.0,64.0,64.0,64.0,1
1545982320,70.0,70.0,70.0,70.0,1
1545982380,66.0,66.0,66.0,66.0,1
1545982740,68.0,68.0,68.0,68.0,1
1545982860,71.0,70.0,71.0,70.0,2
1545983340,75.0,75.0,75.0,75.0,4
1545983400,75.0,75.0,75.0,75.0,1
1545984780,81.0,75.0,81.0,75.0,3
1545997080,77.0,77.0,77.0,77.0,1
1545997140,78.0,78.0,78.0,78.0,1
1546000680,76.0,68.0,76.0,68.0,3
1546001220,74.0,74.0,74.0,74.0,1
1546003320,73.0,73.0,73.0,73.0,1
1546007220,74.0,74.0,74.0,74.0,1
1546007700,74.0,74.0,74.0,74.0,1
1546012080,74.0,74.0,74.0,74.0,3
1546068600,66.0,68.0,68.0,55.0,27
1546068780,60.0,64.0,64.0,60.0,6
1546068840,62.0,62.0,62.0,62.0,2
1546069020,62.0,62.0,62.0,62.0,3
1546069620,63.0,63.0,63.0,63.0,1
1546075980,66.0,66.0,66.0,66.0,1
1546077180,66.0,66.0,66.0,66.0,1
1546077300,66.0,66.0,66.0,66.0,1
1546077480,66.0,66.0,66.0,66.0,1
1546080660,66.0,66.0,66.0,66.0,1
1546097280,68.0,68.0,68.0,68.0,1
1546097460,67.0,67.0,67.0,67.0,2
1546931160,67.0,67.0,67.0,67.0,1
1546939020,69.0,68.0,69.0,68.0,3
1546939080,70.0,70.0,70.0,70.0,4
1547796960,64.0,64.0,64.0,64.0,3
1547797140,64.0,64.0,64.0,64.0,1
1547797380,64.0,64.0,64.0,64.0,1
1547800320,67.0,67.0,67.0,67.0,1
1547800380,68.0,68.0,68.0,68.0,1
1547804160,67.0,67.0,67.0,67.0,2
1547810520,67.0,67.0,67.0,67.0,2
1548082560,63.0,63.0,63.0,63.0,1
1548142200,62.0,62.0,62.0,62.0,2
1548143580,63.0,63.0,63.0,63.0,1
1548156120,63.0,63.0,63.0,63.0,1
1548170340,66.0,65.0,66.0,65.0,2
1548171420,66.0,66.0,66.0,66.0,1
1548171900,68.0,68.0,68.0,68.0,1
1548239880,68.0,68.0,68.0,68.0,1
1548240600,68.0,68.0,68.0,68.0,1
1548240780,68.0,68.0,68.0,68.0,1
1548251160,68.0,68.0,68.0,68.0,1
1548251520,68.0,68.0,68.0,68.0,1
1548316500,73.0,73.0,73.0,73.0,1
1548317880,70.0,70.0,70.0,70.0,1
1548318060,69.0,69.0,69.0,69.0,1
1548329460,69.0,69.0,69.0,69.0,1
1548338040,69.0,69.0,69.0,69.0,1
1548408480,68.0,68.0,68.0,68.0,1
1548422820,68.0,68.0,68.0,68.0,1
1548671640,68.0,68.0,68.0,68.0,1
1548684420,69.0,69.0,69.0,69.0,7
1548918780,61.0,61.0,61.0,61.0,1
1548923760,66.0,66.0,66.0,66.0,2
1549465680,68.0,69.0,69.0,68.0,2
1549540380,66.0,66.0,66.0,66.0,2
1549880280,70.0,72.0,72.0,70.0,2
1549880340,72.0,72.0,72.0,72.0,1
1549882440,72.0,72.0,72.0,72.0,1
1549888920,72.0,72.0,72.0,72.0,1
1549895160,73.0,73.0,73.0,73.0,3
1549898760,74.0,74.0,74.0,74.0,1
1549957380,74.0,75.0,75.0,74.0,3
1549972140,74.0,74.0,74.0,74.0,1
1549979160,74.0,74.0,74.0,74.0,2
1549979220,69.0,69.0,69.0,69.0,1
1549982100,72.0,72.0,72.0,72.0,1
1550488200,72.0,71.0,72.0,71.0,4
1550488320,72.0,72.0,72.0,72.0,1
1550488440,75.0,72.0,75.0,72.0,4
1550489700,76.0,76.0,76.0,76.0,1
1550490000,78.0,76.0,85.0,76.0,17
