time,close,open,high,low,volume
1712923740,235.0,235.0,235.0,235.0,59868
1712923800,232.85,235.0,235.0,228.0,41728
1712923860,234.6,232.5,236.65,232.25,26291
1712923920,235.0,234.6,235.0,234.15,17262
1712923980,231.25,235.0,235.0,230.3,20303
1712924040,233.5,231.0,234.0,230.6,10300
1712924100,233.75,233.5,234.35,233.05,10347
1712924160,234.9,233.85,234.9,233.6,5688
1712924220,234.9,234.75,235.0,234.55,3802
1712924280,234.65,234.85,234.95,234.15,4386
1712924340,234.1,234.75,234.8,234.05,3235
1712924400,234.0,234.15,234.3,234.0,5061
1712924460,233.65,234.1,234.25,233.3,5758
1712924520,233.25,233.4,233.7,233.15,2737
1712924580,233.4,233.35,233.75,233.15,3373
1712924640,234.0,233.4,234.0,233.25,2070
1712924700,234.15,234.0,234.3,233.9,2220
1712924760,234.5,234.2,234.55,234.0,2078
1712924820,234.6,234.5,234.7,234.3,2394
1712924880,234.6,234.6,234.65,234.5,1503
1712924940,234.45,234.55,234.6,234.3,2093
1712925000,234.35,234.4,234.5,234.3,1932
1712925060,234.35,234.35,234.4,234.3,2580
1712925120,234.35,234.35,234.4,234.3,2267
1712925180,234.4,234.35,234.4,234.35,1999
1712925240,234.5,234.45,234.6,234.4,1382
1712925300,234.55,234.55,234.6,234.45,970
1712925360,234.75,234.5,234.85,234.5,2095
1712925420,234.8,234.75,234.95,234.65,4001
1712925480,234.9,234.75,235.0,234.7,2225
1712925540,234.9,234.85,234.95,234.8,923
1712925600,234.95,234.85,235.0,234.8,2981
1712925660,235.8,234.95,235.9,234.9,12960
1712925720,235.45,235.85,236.5,235.1,14516
1712925780,235.75,235.35,235.8,235.0,10971
1712925840,235.65,235.8,235.8,235.25,1651
1712925900,237.0,235.65,237.0,235.55,9750
1712925960,238.0,237.0,238.0,236.5,7911
1712926020,238.95,238.0,239.9,237.6,18087
1712926080,237.8,238.95,239.25,236.55,6599
1712926140,238.9,237.9,239.0,236.75,6014
1712926200,239.4,238.9,239.8,238.4,4435
1712926260,239.2,239.25,239.5,239.0,3680
1712926320,238.4,239.05,239.45,238.05,4494
1712926380,237.5,238.1,238.45,237.15,2414
1712926440,238.25,237.3,238.35,237.25,3328
1712926500,239.55,238.25,239.8,238.05,5787
1712926560,239.6,239.55,239.65,238.6,1530
1712926620,238.8,239.65,239.65,238.6,2360
1712926680,238.8,238.8,238.85,238.4,1318
1712926740,238.85,238.8,239.0,238.6,2073
1712926800,238.0,238.9,239.0,238.0,4252
1712926860,238.0,238.0,238.1,238.0,1712
1712926920,238.05,238.05,238.15,237.55,3502
1712926980,238.35,238.15,238.45,238.05,989
1712927040,238.6,238.45,238.65,238.05,1710
1712927100,238.5,238.4,238.9,238.3,1359
1712927160,238.3,238.45,238.5,238.3,813
1712927220,237.55,238.35,238.4,237.5,3081
1712927280,237.3,237.75,237.9,237.2,1295
1712927340,237.5,237.3,237.6,237.25,697
