time,close,open,high,low,volume
1514971320,980,970,980,970,3
1514971620,965,965,965,965,1
1514974200,970,970,970,970,25
1514975340,970,970,970,970,1
1514981880,1090,980,1090,980,50
1514981940,1040,1040,1040,1040,1
1514982120,1055,1055,1055,1055,1
1514982540,1090,1060,1090,1060,24
1514982840,1090,1090,1090,1090,2
1514982900,1095,1090,1095,1090,3
1514983440,1100,1075,1100,1075,21
1514983740,1075,1085,1085,1075,3
1514985480,1075,1075,1075,1075,1
1514988420,1065,1070,1070,1065,2
1514990700,1065,1065,1065,1065,1
1514992140,1060,1060,1060,1060,1
1515072900,1070,1070,1070,1070,1
1515080160,1060,1060,1060,1060,1
1515080340,1075,1075,1075,1075,1
1515155400,1060,1060,1060,1060,2
1515162360,1055,1060,1060,1055,2
1515162720,1050,1050,1050,1050,1
1515162960,1045,1045,1045,1045,1
1515163080,1035,1040,1040,1035,3
1515499440,1030,1030,1030,1030,1
1515569880,1030,1030,1030,1030,1
1515569940,1020,1025,1025,1020,8
1515571140,1030,1030,1030,1030,5
1515571200,1030,1030,1030,1030,4
1515571800,1020,1020,1020,1020,1
1515572280,1030,1030,1030,1030,9
1515580440,1020,1020,1020,1020,2
1515597180,1015,1020,1020,1015,2
1515667920,1015,1015,1015,1015,3
1515673740,1030,1030,1030,1030,1
1515741660,1045,1040,1045,1040,9
1515741720,1055,1050,1055,1050,9
1515743160,1040,1040,1040,1040,1
1515752040,1055,1055,1055,1055,52
1515754080,1055,1055,1055,1055,3
1515755340,1060,1060,1060,1060,1
1515759180,1090,1065,1090,1065,63
1515759300,1090,1090,1090,1090,5
1515759960,1090,1090,1090,1090,10
1515760260,1090,1090,1090,1090,5
1515760440,1090,1090,1090,1090,5
1515760800,1095,1095,1095,1095,1
1515761040,1090,1090,1090,1090,20
1515761100,1090,1090,1090,1090,30
1515764880,1085,1085,1085,1085,2
1515768540,1100,1100,1100,1100,1
1515768660,1100,1100,1100,1100,1
1515769080,1110,1105,1110,1105,2
1515769500,1085,1095,1095,1085,3
1515769680,1085,1085,1085,1085,10
1516000380,1105,1105,1105,1105,1
1516000500,1115,1110,1115,1110,2
1516000560,1190,1120,1190,1120,21
1516000620,1200,1190,1200,1190,45
1516000740,1210,1200,1210,1200,7
1516000800,1225,1215,1225,1215,4
1516000860,1195,1230,1230,1195,20
1516000920,1190,1190,1190,1190,1
1516001040,1185,1185,1185,1185,1
1516001160,1165,1185,1185,1165,5
1516002180,1165,1165,1165,1165,1
1516002300,1165,1165,1165,1165,1
1516002840,1165,1165,1165,1165,1
1516014420,1120,1125,1125,1120,6
1516014660,1150,1150,1150,1150,1
1516018860,1100,1120,1120,1100,50
1516019820,1100,1100,1100,1100,76
1516019880,1100,1100,1100,1100,168
1516020840,1090,1090,1090,1090,1
1516088400,1115,1115,1115,1115,7
1516091700,1120,1120,1120,1120,5
1516093920,1150,1150,1150,1150,1
1516094640,1150,1150,1150,1150,4
1516094700,1140,1145,1145,1140,2
1516097040,1135,1135,1135,1135,1
1516100940,1130,1130,1130,1130,1
1516176720,1125,1125,1125,1125,1
1516185480,1125,1125,1125,1125,1
1516186260,1125,1125,1125,1125,1
1516195140,1100,1120,1120,1100,5
1516195320,1095,1095,1095,1095,1
1516196700,1090,1090,1090,1090,1
1516196760,1085,1085,1085,1085,1
1516196820,1080,1080,1080,1080,1
1516196880,1075,1075,1075,1075,1
1516197000,1070,1070,1070,1070,1
1516197120,1065,1065,1065,1065,1
1516197600,1085,1080,1085,1080,2
1516197960,1075,1085,1085,1075,2
1516198020,1065,1070,1070,1065,2
1516202700,1080,1080,1080,1080,1
1516261440,1085,1085,1085,1085,1
1516282020,1090,1090,1090,1090,1
1516346760,1045,1050,1050,1045,8
1516350240,1085,1085,1085,1085,1
1516350420,1090,1085,1090,1085,16
1516364220,1095,1095,1095,1095,1
1516606140,1100,1100,1100,1100,25
1516607220,1100,1100,1100,1100,8
1516607340,1100,1100,1100,1100,5
1516607520,1100,1100,1100,1100,7
1516612500,1070,1070,1070,1070,20
1516628640,1100,1100,1100,1100,32
1516629960,1100,1100,1100,1100,26
1516630200,1100,1100,1100,1100,30
1516630440,1100,1100,1100,1100,45
1516630500,1100,1100,1100,1100,55
1516630860,1100,1100,1100,1100,50
1516630920,1100,1100,1100,1100,25
1516630980,1100,1100,1100,1100,50
1516631040,1100,1100,1100,1100,15
1516631100,1100,1100,1100,1100,15
1516631400,1100,1100,1100,1100,10
1516631460,1100,1100,1100,1100,20
1516632480,1100,1100,1100,1100,50
1516632600,1100,1100,1100,1100,40
1516632720,1100,1100,1100,1100,25
1516787100,1050,1070,1070,1050,6
1516788540,1110,1110,1110,1110,1
1516792140,1050,1050,1050,1050,13
1516801260,1050,1050,1050,1050,20
1516801860,1050,1050,1050,1050,4
1516807380,1040,1040,1040,1040,1
1516807680,1050,1050,1050,1050,1
1516807740,1075,1075,1075,1075,1
1516807800,1075,1050,1075,1050,2
1516863720,1120,1050,1120,1050,2
1516864200,1055,1055,1055,1055,1
1516866960,1100,1095,1100,1095,2
1516869780,1100,1100,1100,1100,15
1516878720,1100,1100,1100,1100,1
1516882320,1090,1095,1095,1090,2
1516892760,1090,1090,1090,1090,1
1516892880,1070,1085,1085,1070,4
1516951020,1060,1085,1085,1055,25
1516951260,1000,1050,1050,1000,523
1516951320,1050,1050,1050,1050,1
1516951380,1070,1050,1070,1050,14
1516953240,1050,1055,1055,1050,15
1516953840,1050,1050,1050,1050,2
1516954500,1065,1065,1065,1065,1
1516964940,1050,1050,1050,1050,1
1516967820,1050,1065,1065,1050,2
1516967940,1050,1050,1050,1050,1
1516968000,1050,1050,1050,1050,1
1516968780,1050,1050,1050,1050,1
1516969200,1050,1050,1050,1050,1
1516973700,1045,1045,1045,1045,4
1516976220,1000,1045,1045,1000,100
1516976280,1005,1005,1005,1005,30
1516976760,1010,1010,1010,1010,1
1516976820,1010,1010,1010,1010,3
1516976880,1040,1040,1040,1040,3
1516977420,1000,1000,1000,1000,8
1516977600,1000,1000,1000,1000,1
1516978140,1000,1000,1000,1000,5
1516978200,1000,1000,1000,1000,1
1516978860,1000,1000,1000,1000,3
1516978920,1000,1000,1000,1000,1
1516979520,1000,1000,1000,1000,1
1516980660,1025,1025,1025,1025,1
1516981080,1000,1000,1000,1000,10
1517209860,1045,1050,1050,1045,13
1517209980,1050,1050,1050,1050,21
1517211360,1010,1010,1010,1010,1
1517212080,1040,1040,1040,1040,1
1517216220,1000,1030,1030,1000,20
1517217300,1010,1010,1010,1010,3
1517217360,1010,1025,1025,1010,6
1517217420,1025,1025,1025,1010,9
1517217480,1010,1010,1010,1010,3
1517217540,1010,1025,1025,1010,6
1517217600,1025,1025,1025,1025,3
1517220300,1000,1005,1005,1000,6
1517222160,1030,1025,1030,1025,10
1517224500,1030,1015,1030,1015,14
1517224560,1030,1015,1030,1015,14
1517224620,1015,1015,1015,1015,7
1517224680,1030,1030,1030,1030,7
1517224740,1030,1015,1030,1015,14
1517224800,1030,1015,1030,1015,14
1517231340,1020,1020,1020,1020,1
1517234820,1025,1025,1025,1025,1
1517236740,1000,1015,1015,1000,10
1517238540,1005,1005,1005,1005,1
1517301480,1020,1020,1020,1020,1
1517311980,1005,1005,1005,1005,1
1517324220,1000,1005,1005,1000,50
1517326620,1015,1015,1015,1015,1
1517383260,1020,1020,1020,1020,1
1517386380,1000,1010,1010,1000,4
1517386800,1000,1000,1000,1000,10
1517387040,1000,1000,1000,1000,5
1517388000,1000,1000,1000,1000,1
1517388720,1025,1010,1025,1010,5
1517389080,1030,1030,1030,1030,12
1517396280,1000,1015,1015,1000,100
1517411580,1000,1005,1005,1000,15
1517470800,1015,1015,1015,1015,1
1517478660,1000,1015,1015,1000,40
1517481480,1000,1000,1000,1000,110
1517483100,1025,1010,1025,1010,5
1517483580,1010,1010,1010,1010,60
1517483640,1000,1010,1010,1000,9
1517483760,1000,1000,1000,1000,1
1517483820,1005,1005,1005,1005,40
1517484000,1020,1015,1020,1015,2
1517484840,1025,1025,1025,1025,1
1517494440,1015,1015,1015,1015,1
1517554860,1060,1060,1060,1060,9
1517555400,1030,1030,1030,1030,1
1517556360,1035,1035,1035,1035,2
1517557260,1040,1040,1040,1040,2
1517561820,1030,1030,1030,1030,1
1517564940,1020,1025,1025,1020,153
1517565000,1015,1015,1015,1015,1
1517565420,1020,1020,1020,1020,100
1517565540,1020,1020,1020,1020,100
1517565600,1020,1020,1020,1020,50
1517565720,1020,1020,1020,1020,100
1517565780,1020,1020,1020,1020,50
1517565960,1020,1020,1020,1020,150
1517566140,1020,1020,1020,1020,100
1517566260,1020,1020,1020,1020,30
1517566320,1020,1020,1020,1020,30
1517566440,1020,1020,1020,1020,462
1517566500,1020,1020,1020,1020,100
1517566560,1020,1020,1020,1020,30
