time,close,open,high,low,volume
1514982840,4.5,4.5,4.5,4.5,1
1514989440,4.5,4.5,4.5,4.5,3
1515056040,4.5,4.5,4.5,4.5,2
1515060960,4.57,4.57,4.57,4.57,1
1515061140,4.56,4.56,4.56,4.56,2
1515071700,4.56,4.56,4.56,4.56,2
1515074220,4.62,4.62,4.62,4.62,1
1515074820,4.59,4.59,4.59,4.59,1
1515076020,4.6,4.6,4.6,4.6,1
1515079320,4.68,4.68,4.68,4.68,1
1515079380,4.7,4.71,4.71,4.7,2
1515080280,4.6,4.6,4.6,4.6,1
1515136260,4.79,4.79,4.79,4.79,2
1515147480,4.6,4.6,4.6,4.6,3
1515155400,4.71,4.71,4.71,4.71,2
1515155760,4.66,4.66,4.66,4.66,5
1515163380,4.67,4.67,4.67,4.67,1
1515164640,4.6,4.6,4.6,4.6,1
1515165120,4.59,4.59,4.59,4.59,4
1515484440,4.67,4.67,4.67,4.67,1
1515484680,4.66,4.66,4.66,4.66,2
1515485520,4.67,4.67,4.67,4.67,1
1515486720,4.72,4.72,4.72,4.72,1
1515486780,4.7,4.7,4.7,4.7,1
1515487020,4.66,4.66,4.66,4.66,1
1515487080,4.73,4.73,4.73,4.73,1
1515487980,4.73,4.73,4.73,4.73,1
1515493440,4.66,4.66,4.66,4.66,1
1515497160,4.64,4.66,4.66,4.64,8
1515497220,4.53,4.63,4.63,4.53,17
1515498720,4.63,4.63,4.63,4.63,1
1515504480,4.6,4.6,4.6,4.6,2
1515569100,4.52,4.62,4.62,4.52,18
1515569160,4.52,4.52,4.52,4.52,3
1515572040,4.52,4.52,4.52,4.52,1
1515583080,4.52,4.52,4.52,4.52,5
1515589380,4.52,4.52,4.52,4.52,1
1515592080,4.52,4.52,4.52,4.52,20
1515593580,4.51,4.51,4.51,4.51,2
1515594720,4.55,4.54,4.55,4.54,3
1515594780,4.56,4.55,4.56,4.55,5
1515597780,4.54,4.54,4.54,4.54,3
1515598620,4.58,4.55,4.58,4.55,6
1515656040,4.54,4.54,4.54,4.54,5
1515656160,4.54,4.54,4.54,4.54,5
1515656460,4.54,4.54,4.54,4.54,3
1515656520,4.5,4.51,4.51,4.5,6
1515657540,4.54,4.54,4.54,4.54,2
1515667140,4.54,4.54,4.54,4.54,2
1515670560,4.54,4.54,4.54,4.54,1
1515674580,4.54,4.54,4.54,4.54,1
1515676380,4.54,4.54,4.54,4.54,2
1515679800,4.51,4.51,4.51,4.51,3
1515681360,4.5,4.5,4.5,4.5,5
1515681420,4.48,4.48,4.48,4.48,4
1515681720,4.48,4.48,4.48,4.48,2
1515682320,4.42,4.42,4.42,4.42,2
1515684180,4.5,4.49,4.5,4.49,5
1515746160,4.47,4.47,4.47,4.47,1
1515751260,4.46,4.46,4.46,4.46,1
1515751320,4.45,4.45,4.45,4.45,3
1515751440,4.44,4.45,4.45,4.44,2
1515751500,4.43,4.43,4.43,4.43,2
1515751680,4.42,4.42,4.42,4.42,1
1515751740,4.35,4.41,4.41,4.35,26
1515751800,4.31,4.33,4.33,4.31,4
1515751860,4.52,4.52,4.52,4.52,1
1515752340,4.3,4.34,4.34,4.3,15
1515752400,4.23,4.3,4.3,4.23,7
1515753180,4.25,4.26,4.26,4.25,4
1515753540,4.38,4.38,4.38,4.38,1
1515755280,4.38,4.38,4.38,4.38,7
1515755340,4.39,4.39,4.39,4.39,1
1515755580,4.39,4.39,4.39,4.39,1
1515756780,4.39,4.39,4.39,4.39,1
1515756960,4.38,4.38,4.38,4.38,5
1515758160,4.32,4.33,4.33,4.32,3
1515767700,4.37,4.37,4.37,4.37,1
1515770820,4.37,4.37,4.37,4.37,1
1515771900,4.37,4.37,4.37,4.37,4
1515999600,4.41,4.41,4.41,4.41,1
1516000800,4.31,4.31,4.31,4.31,5
1516001580,4.31,4.31,4.31,4.31,3
1516002300,4.3,4.3,4.3,4.3,1
1516002480,4.25,4.27,4.27,4.25,10
1516002900,4.25,4.26,4.26,4.25,4
1516002960,4.25,4.25,4.25,4.25,2
1516003500,4.34,4.34,4.34,4.34,1
1516003740,4.34,4.34,4.34,4.34,1
1516005600,4.38,4.38,4.38,4.38,1
1516006260,4.26,4.34,4.34,4.26,4
1516008360,4.34,4.34,4.34,4.34,1
1516008900,4.39,4.39,4.39,4.39,4
1516019220,4.32,4.32,4.32,4.32,2
1516028580,4.39,4.38,4.39,4.38,2
1516029420,4.33,4.33,4.33,4.33,1
1516029660,4.39,4.39,4.39,4.39,1
1516030500,4.33,4.33,4.33,4.33,1
1516090200,4.33,4.33,4.33,4.33,2
1516094880,4.33,4.33,4.33,4.33,2
1516096440,4.39,4.38,4.39,4.38,2
1516098300,4.34,4.34,4.34,4.34,1
1516105020,4.37,4.37,4.37,4.37,1
1516112580,4.41,4.41,4.41,4.41,1
1516112820,4.4,4.4,4.4,4.4,1
1516115760,4.37,4.37,4.37,4.37,1
1516172820,4.33,4.33,4.33,4.33,1
1516176960,4.38,4.38,4.38,4.38,1
1516177020,4.42,4.42,4.42,4.42,1
1516177140,4.45,4.42,4.45,4.42,3
1516177680,4.45,4.45,4.45,4.45,1
1516182720,4.51,4.51,4.51,4.51,1
1516182780,4.5,4.5,4.5,4.5,1
1516187700,4.5,4.5,4.5,4.5,1
1516188480,4.5,4.5,4.5,4.5,1
1516188600,4.43,4.43,4.43,4.43,1
1516190520,4.43,4.43,4.43,4.43,2
1516190640,4.4,4.41,4.41,4.4,6
1516191000,4.46,4.46,4.46,4.46,1
1516196160,4.5,4.5,4.5,4.5,1
1516199400,4.46,4.46,4.46,4.46,1
1516203300,4.49,4.49,4.49,4.49,3
1516204080,4.5,4.5,4.5,4.5,1
1516261860,4.49,4.49,4.49,4.49,1
1516265880,4.48,4.48,4.48,4.48,1
1516266000,4.46,4.46,4.46,4.46,1
1516269780,4.44,4.44,4.44,4.44,1
1516280280,4.44,4.44,4.44,4.44,3
1516345200,4.53,4.52,4.53,4.52,2
1516351860,4.49,4.49,4.49,4.49,1
1516353300,4.5,4.5,4.5,4.5,4
1516354440,4.45,4.45,4.45,4.45,1
1516354680,4.42,4.42,4.42,4.42,1
1516361160,4.33,4.42,4.42,4.33,26
1516361280,4.33,4.33,4.33,4.33,2
1516361340,4.24,4.32,4.32,4.24,19
1516361400,4.24,4.24,4.24,4.24,3
1516361520,4.24,4.24,4.24,4.24,5
1516361760,4.24,4.24,4.24,4.24,1
1516361880,4.24,4.24,4.24,4.24,3
1516361940,4.24,4.24,4.24,4.24,1
1516362060,4.24,4.24,4.24,4.24,31
1516362120,4.24,4.24,4.24,4.24,37
1516362360,4.26,4.26,4.26,4.26,1
1516362660,4.24,4.24,4.24,4.24,1
1516362720,4.24,4.24,4.24,4.24,1
1516362840,4.23,4.23,4.23,4.23,1
1516363020,4.22,4.22,4.22,4.22,1
1516363380,4.32,4.31,4.32,4.31,5
1516363560,4.32,4.32,4.32,4.32,11
1516370340,4.32,4.32,4.32,4.32,1
1516370400,4.33,4.33,4.33,4.33,7
1516370640,4.3,4.3,4.3,4.3,1
1516374180,4.32,4.32,4.32,4.32,2
1516376700,4.3,4.3,4.3,4.3,4
1516604640,4.11,4.18,4.18,4.11,7
1516605540,4.29,4.29,4.29,4.29,1
1516606680,4.28,4.28,4.28,4.28,1
1516609080,4.31,4.31,4.31,4.31,1
1516609500,4.33,4.33,4.33,4.33,1
1516613040,4.35,4.35,4.35,4.35,1
1516614420,4.27,4.3,4.3,4.27,6
1516616340,4.24,4.26,4.26,4.24,6
1516616700,4.24,4.24,4.24,4.24,5
1516616760,4.23,4.23,4.23,4.23,2
1516616820,4.22,4.22,4.22,4.22,3
1516619220,4.26,4.26,4.26,4.26,1
1516620600,4.26,4.26,4.26,4.26,4
1516620780,4.26,4.26,4.26,4.26,2
1516622040,4.26,4.26,4.26,4.26,1
1516623780,4.22,4.23,4.23,4.22,4
1516623960,4.26,4.26,4.26,4.26,1
1516626840,4.24,4.24,4.24,4.24,1
1516629900,4.26,4.26,4.26,4.26,37
1516632000,4.29,4.29,4.29,4.29,1
1516635480,4.29,4.29,4.29,4.29,1
1516691940,4.29,4.29,4.29,4.29,3
1516694940,4.25,4.27,4.27,4.25,10
1516697880,4.25,4.25,4.25,4.25,1
1516707600,4.32,4.32,4.32,4.32,1
1516708380,4.34,4.33,4.34,4.33,2
1516708860,4.37,4.34,4.37,4.34,3
1516709880,4.35,4.35,4.35,4.35,1
1516711140,4.3,4.31,4.31,4.3,18
1516711680,4.25,4.26,4.26,4.25,19
1516721460,4.28,4.28,4.28,4.28,1
1516721760,4.26,4.26,4.26,4.26,1
1516721940,4.31,4.31,4.31,4.31,1
1516777200,4.3,4.3,4.3,4.3,1
1516781400,4.3,4.3,4.3,4.3,1
1516782060,4.27,4.28,4.28,4.27,6
1516782360,4.27,4.27,4.27,4.27,2
1516783380,4.26,4.26,4.26,4.26,3
1516784760,4.26,4.26,4.26,4.26,2
1516787880,4.25,4.26,4.26,4.25,4
1516788240,4.25,4.25,4.25,4.25,19
1516788540,4.25,4.25,4.25,4.25,1
1516788720,4.25,4.25,4.25,4.25,4
1516789560,4.29,4.29,4.29,4.29,1
1516799280,4.18,4.24,4.24,4.18,38
1516799460,4.19,4.19,4.19,4.19,1
1516799640,4.19,4.19,4.19,4.19,1
1516799820,4.2,4.2,4.2,4.2,1
1516799940,4.2,4.2,4.2,4.2,1
1516800000,4.18,4.18,4.18,4.18,2
1516804140,4.2,4.2,4.2,4.2,1
1516805820,4.2,4.2,4.2,4.2,1
1516806000,4.2,4.2,4.2,4.2,2
1516807020,4.2,4.2,4.2,4.2,2
1516807380,4.2,4.2,4.2,4.2,2
1516807680,4.2,4.2,4.2,4.2,1
1516808160,4.2,4.2,4.2,4.2,1
1516865820,4.25,4.25,4.25,4.25,1
1516867800,4.27,4.27,4.27,4.27,2
1516879860,4.23,4.23,4.23,4.23,1
1516886460,4.22,4.22,4.22,4.22,1
1516886640,4.21,4.21,4.21,4.21,3
1516886760,4.16,4.17,4.17,4.16,2
1516889340,4.22,4.21,4.22,4.21,2
1516889400,4.24,4.22,4.24,4.22,5
1516889460,4.25,4.25,4.25,4.25,1
1516889520,4.28,4.28,4.28,4.28,2
1516889580,4.3,4.28,4.3,4.28,5
1516892760,4.3,4.3,4.3,4.3,1
1516893840,4.18,4.2,4.2,4.18,5
1516950960,4.22,4.22,4.22,4.22,1
1516954560,4.21,4.21,4.21,4.21,3
1516957860,4.22,4.22,4.22,4.22,1
1516961520,4.15,4.19,4.19,4.15,14
1516961580,4.15,4.15,4.15,4.15,16
1516963560,4.19,4.19,4.19,4.19,1
1516964700,4.2,4.2,4.2,4.2,3
1516965120,4.17,4.17,4.17,4.17,1
1516965720,4.2,4.2,4.2,4.2,1
1516965780,4.2,4.2,4.2,4.2,1
1516967100,4.21,4.21,4.21,4.21,1
1516970340,4.17,4.17,4.17,4.17,1
1516979040,4.19,4.19,4.19,4.19,1
1516979580,4.18,4.18,4.18,4.18,1
1516980420,4.22,4.21,4.22,4.21,2
1517217360,4.22,4.22,4.22,4.22,7
1517219160,4.16,4.19,4.19,4.16,10
1517219340,4.21,4.21,4.21,4.21,1
1517220300,4.21,4.21,4.21,4.21,1
1517220420,4.21,4.21,4.21,4.21,3
1517220660,4.12,4.16,4.16,4.12,9
1517220840,4.13,4.13,4.13,4.13,1
1517221140,4.13,4.13,4.13,4.13,2
1517221260,4.13,4.13,4.13,4.13,1
1517221380,4.12,4.13,4.13,4.12,2
1517221560,4.13,4.13,4.13,4.13,10
1517221620,4.13,4.13,4.13,4.13,2
1517222040,4.13,4.13,4.13,4.13,7
1517222520,4.12,4.12,4.12,4.12,2
1517223840,4.04,4.11,4.11,4.04,30
1517224020,3.96,4.04,4.04,3.95,52
1517224140,3.86,4.0,4.0,3.86,43
1517224200,3.88,3.86,3.88,3.86,13
1517224440,4.16,4.11,4.16,4.11,11
1517224800,4.03,4.04,4.04,4.03,8
1517225460,4.04,4.04,4.04,4.04,1
1517226540,4.07,4.07,4.07,4.07,2
1517227680,4.05,4.05,4.05,4.05,1
1517227800,4.05,4.05,4.05,4.05,1
1517228400,4.03,4.03,4.03,4.03,3
1517228460,4.0,4.01,4.01,4.0,3
1517229300,4.05,4.05,4.05,4.05,2
1517231340,4.05,4.05,4.05,4.05,1
1517231820,3.95,3.99,3.99,3.95,7
1517231940,3.94,3.95,3.95,3.94,4
1517232240,4.05,4.05,4.05,4.05,1
1517232600,4.1,4.1,4.1,4.1,1
1517232660,4.07,4.07,4.07,4.07,1
1517236260,4.04,4.04,4.04,4.04,1
1517236500,4.08,4.08,4.08,4.08,9
1517236560,4.1,4.1,4.1,4.1,2
1517236620,4.12,4.12,4.12,4.12,1
1517238480,4.11,4.11,4.11,4.11,1
1517240700,4.11,4.11,4.11,4.11,1
1517240880,4.11,4.11,4.11,4.11,1
1517295660,4.06,4.06,4.06,4.06,1
1517297340,4.06,4.07,4.07,4.06,4
1517297400,4.05,4.05,4.05,4.05,1
1517314380,4.09,4.09,4.09,4.09,2
1517314980,4.11,4.11,4.11,4.11,5
1517315520,4.14,4.14,4.14,4.14,1
1517322960,4.18,4.18,4.18,4.18,1
1517325840,4.18,4.18,4.18,4.18,3
1517325900,4.03,4.1,4.1,4.03,10
1517394780,4.13,4.13,4.13,4.13,1
1517397420,4.14,4.14,4.14,4.14,1
1517397480,4.17,4.17,4.17,4.17,1
1517404380,4.17,4.17,4.18,4.17,4
1517404800,4.07,4.18,4.25,4.07,9
1517406000,4.23,4.15,4.23,4.15,4
1517406060,4.31,4.23,4.31,4.23,12
1517406180,4.31,4.31,4.31,4.31,3
1517406360,4.23,4.23,4.23,4.23,3
1517406780,4.23,4.23,4.23,4.23,1
1517411640,4.28,4.28,4.28,4.28,1
1517411700,4.3,4.3,4.3,4.3,1
1517412000,4.29,4.29,4.29,4.29,2
1517412120,4.29,4.29,4.29,4.29,3
1517413680,4.3,4.3,4.3,4.3,6
1517468580,4.4,4.4,4.4,4.4,2
1517468640,4.4,4.4,4.4,4.4,1
1517468700,4.4,4.4,4.4,4.4,1
1517471040,4.41,4.3,4.41,4.3,8
1517471160,4.41,4.41,4.41,4.41,7
1517471400,4.41,4.41,4.41,4.41,5
1517472300,4.32,4.32,4.32,4.32,4
1517472360,4.31,4.31,4.31,4.31,1
1517472660,4.32,4.32,4.32,4.32,1
1517473140,4.31,4.31,4.31,4.31,1
1517473200,4.3,4.3,4.3,4.3,3
1517478360,4.31,4.31,4.31,4.31,1
1517478480,4.3,4.31,4.31,4.3,2
1517482380,4.34,4.34,4.34,4.34,1
1517485080,4.39,4.39,4.39,4.39,4
1517485800,4.4,4.4,4.4,4.4,11
1517487660,4.45,4.4,4.45,4.4,4
1517487720,4.45,4.45,4.45,4.45,1
1517487780,4.45,4.45,4.45,4.45,2
1517487840,4.45,4.45,4.45,4.45,27
1517487900,4.45,4.45,4.45,4.45,10
1517490060,4.45,4.45,4.45,4.45,6
1517490180,4.45,4.45,4.45,4.45,1
1517490480,4.45,4.45,4.45,4.45,11
1517490600,4.45,4.45,4.45,4.45,2
1517490840,4.45,4.45,4.45,4.45,3
1517491140,4.46,4.46,4.46,4.46,1
1517491680,4.45,4.45,4.45,4.45,3
1517491860,4.5,4.47,4.5,4.47,53
1517491920,4.5,4.5,4.5,4.5,1
1517493000,4.45,4.45,4.45,4.45,24
1517493540,4.5,4.45,4.5,4.45,20
1517493780,4.59,4.54,4.59,4.54,10
1517496060,4.61,4.58,4.61,4.58,5
1517497020,4.46,4.46,4.5,4.46,6
1517497080,4.4,4.4,4.4,4.4,2
1517497140,4.41,4.41,4.41,4.41,3
1517497320,4.41,4.41,4.41,4.41,1
1517500080,4.41,4.41,4.41,4.41,1
1517555640,4.5,4.5,4.5,4.5,1
1517557020,4.59,4.59,4.59,4.59,2
1517557080,4.6,4.6,4.6,4.59,4
1517557320,4.6,4.6,4.6,4.6,5
1517557440,4.88,4.6,4.88,4.59,35
1517557500,4.6,4.7,4.7,4.6,11
1517557980,4.89,4.78,4.89,4.78,16
1517558100,5.0,4.87,5.0,4.87,23
1517558160,5.09,5.08,5.09,5.07,3
1517558220,5.2,5.1,5.2,5.1,25
1517558280,5.09,5.15,5.2,5.09,22
1517558340,5.09,5.09,5.09,5.09,2
1517558700,5.11,5.1,5.16,5.1,26
1517558760,5.27,5.15,5.27,5.0,41
1517558820,5.0,5.15,5.15,5.0,38
1517558880,5.0,5.0,5.0,5.0,6
1517559360,5.13,5.13,5.13,5.13,10
1517559420,5.15,5.14,5.15,5.14,8
1517559540,5.19,5.14,5.19,5.14,9
1517559600,5.18,5.2,5.2,5.18,14
1517559720,5.24,5.2,5.24,5.2,7
1517559780,5.25,5.24,5.25,5.24,6
1517559840,5.27,5.25,5.27,5.25,9
1517559900,5.29,5.25,5.29,5.25,16
1517559960,5.25,5.3,5.3,5.25,17
1517560020,5.24,5.24,5.24,5.24,3
1517560080,5.19,5.1,5.19,5.1,14
1517560140,5.19,5.18,5.19,5.06,8
1517560260,5.15,5.15,5.15,5.15,4
1517560320,5.2,5.15,5.2,5.15,17
1517560380,5.2,5.2,5.25,5.2,11
1517560440,5.2,5.2,5.2,5.2,4
1517560500,5.24,5.24,5.24,5.24,1
1517560560,5.25,5.25,5.25,5.25,7
1517560620,5.33,5.25,5.33,5.25,10
1517560680,5.33,5.33,5.33,5.33,4
