symbol,shortName,description,exchange,market,type,lotSize,faceValue,cfiCode,cancellation,minStep,roundTo,rating,marginBuy,marginSell,marginRate,priceStep,priceMax,priceMin,theorPrice,theorPriceLimit,volatility,currency,nominalCurrency,settlementCurrency,underlyingCurrency,ISIN,yield,board,primaryBoard,tradingStatus,tradingStatusInfo,complexProductCategory,priceMultiplier,priceShownUnits
LQDT,LQDT ETF,БПИФ Ликвидность УК ВИМ,MOEX,FOND,MF,1,0.0,EUXXXX,9999-12-31T23:59:59.9999999,0.0001,4,6739487369,1.3639,1.4099,0.0,0,1.4534,1.3672,0,0,0,RUB,RUB,RUB,RUB,RU000A1014L8,,TQTF,TQTF,17,нормальный период торгов,,1.0,1
TMOS,TMOS ETF,БПИФ ТИНЬКОФФ ИНДЕКС МОСБИРЖИ,MOEX,FOND,MF,1,0.0,EUXXXX,9999-12-31T23:59:59.9999999,0.01,2,161829040,6.29,7.27,0.0,0,7.4,5.76,0,0,0,RUB,RUB,RUB,RUB,RU000A101X76,,TQTF,TQTF,17,нормальный период торгов,,1.0,1
TRUR,TRUR ETF,БПИФ ТИНЬКОФФ ВЕЧНЫЙ ПОРТФ РУБ,MOEX,FOND,MF,1,0.0,EUXXXX,9999-12-31T23:59:59.9999999,0.01,2,150946059,6.84,8.1,0.0,0,8.36,6.77,0,0,0,RUB,RUB,RUB,RUB,RU000A1011U5,,TQTF,TQTF,17,нормальный период торгов,,1.0,1
SBMM,SBMM ETF,БПИФ Первая Сберегательный,MOEX,FOND,MF,1,0.0,EUXXXX,9999-12-31T23:59:59.9999999,0.0005,4,136965089,12.91,13.3205,0.0,0,13.614,12.5515,0,0,0,RUB,RUB,RUB,RUB,RU000A103RF1,,TQTF,TQTF,17,нормальный период торгов,,1.0,1
AKMB,ETF AKMB,БПИФ Альфа Управляем облигации,MOEX,FOND,MF,1,0.0,EUXXXX,9999-12-31T23:59:59.9999999,0.0002,4,91656418,1.3456,1.4,0.0,0,1.89,0.81,0,0,0,RUB,RUB,RUB,RUB,RU000A101PN3,,TQTF,TQTF,17,нормальный период торгов,,1.0,1
GRNT,ГИТ ао,ГородскиеИнновацТехнологии ао,MOEX,FOND,CS,1,1.0,ESXXXX,9999-12-31T23:59:59.9999999,0.0001,4,45581711,0.0757,0.0999,0.0,0,0.112,0.048,0,0,0,RUB,RUB,RUB,RUB,RU000A0JV532,,MTQR,MTQR,17,нормальный период торгов,0,1.0,1
VTBR,ВТБ ао,ао ПАО Банк ВТБ,MOEX,FOND,CS,10000,0.01,ESXXXX,9999-12-31T23:59:59.9999999,5e-06,6,39677046,0.01855,0.02201,0.0,0,0.02163,0.01822,0,0,0,RUB,RUB,RUB,RUB,RU000A0JP5V6,,TQBR,TQBR,17,нормальный период торгов,,1.0,1
GOLD,GOLD ETF,БПИФ Золото.Биржевой УК ВИМ,MOEX,FOND,MF,1,0.0,EUXXXX,9999-12-31T23:59:59.9999999,0.0005,4,32591323,1.657,1.815,0.0,0,2.019,1.402,0,0,0,RUB,RUB,RUB,USD,RU000A101NZ2,,TQTF,TQTF,17,нормальный период торгов,,1.0,1
RNFT,РуссНфт ао,РуссНефть НК ПАО ао,MOEX,FOND,CS,1,0.5,ESXXXX,9999-12-31T23:59:59.9999999,0.1,1,15578568,181.2,233.0,0.0,0,221.9,172.5,0,0,0,RUB,RUB,RUB,RUB,RU000A0JSE60,,TQBR,TQBR,17,нормальный период торгов,,1.0,1
MTLR,Мечел ао,Мечел ПАО ао,MOEX,FOND,CS,1,10.0,ESXXXX,9999-12-31T23:59:59.9999999,0.01,2,13912055,178.27,281.0,0.0,0,270.63,162.01,0,0,0,RUB,RUB,RUB,RUB,RU000A0DKXV5,,TQBR,TQBR,17,нормальный период торгов,,1.0,1
